taxonomy	S1_S1	S2_S3	S3_S5	S4_S7
o__NRP-J_unclassified	5	2	0	9
c__MBGB_unclassified	0	0	390	0
c__MCG_unclassified	0	0	0	1
o__B10_unclassified	0	0	41	0
o__pGrfC26_unclassified	0	0	9	15
c__MHVG_unclassified	0	0	0	1
c__Thaumarchaeota_unclassified	1	1	0	0
f__Cenarchaeaceae_unclassified	0	0	5	4
s__symbiosum	0	0	36	2
f__SAGMA-X_unclassified	0	7	0	145
s__devanaterra	0	1	0	70
o__Cenarchaeales_unclassified	0	0	3	1
g__Candidatus_Nitrososphaera_unclassified	43	11	0	8
p__Crenarchaeota_unclassified	0	0	4	1
f__Halobacteriaceae_unclassified	69	7	2530	8
g__ArcF12_unclassified	0	0	1	0
g__Haladaptatus_unclassified	0	0	1	0
g__Haloarcula_unclassified	0	0	10	0
g__Halobacteriaceae_unclassified	0	0	15	0
g__Halobacterium_unclassified	1	0	55	0
g__Halobaculum_unclassified	0	0	1	0
g__Haloferax_unclassified	0	0	7	0
g__Halogranum_unclassified	0	0	2	0
g__Halolamina_unclassified	0	0	3	0
g__Halomicrobium_unclassified	0	0	3	0
g__Haloplanus_unclassified	0	1	27	0
g__Halorhabdus_unclassified	38	2	563	3
s__rarus	0	0	2	0
g__Natronomonas_unclassified	3	0	85	0
s__Cry7_9.1	0	0	1	0
f__MSP41_unclassified	0	0	24	0
o__Halobacteriales_unclassified	0	0	5	0
f__MSBL1_unclassified	0	0	20	0
g__DL1A-100_unclassified	8	1	374	0
g__Methanobacterium_unclassified	0	0	0	11
o__Methanobacteriales_unclassified	1	0	7	0
c__Methanomicrobia_unclassified	0	0	1	0
g__Methanocella_unclassified	0	1	1	0
g__Methanosaeta_unclassified	0	0	0	1
g__Methanosarcina_unclassified	0	0	0	1
c__Thermoplasmata_unclassified	0	0	1	1
f__CCA47_unclassified	0	0	1	0
f__DHVEG-1_unclassified	0	1	521	0
f__[Methanomassiliicoccaceae]_unclassified	2	0	15	1
g__Methanomassiliicoccus_unclassified	0	0	1	0
o__E2_unclassified	0	0	11	0
p__Euryarchaeota_unclassified	5	2	233	11
o__WCHD3-30_unclassified	1	1	46	5
o__YLA114_unclassified	1	1	21	21
c__HDBW-WB69_unclassified	0	0	0	1
c__ABS-6_unclassified	145	97	1	5
c__JG37-AG-4_unclassified	37	19	0	1
c__AT-s2-57_unclassified	0	0	1	0
c__AT-s54_unclassified	3	1	0	0
c__Acidobacteria-5_unclassified	128	106	1	13
c__Acidobacteria-6_unclassified	0	1	0	0
o__BPC015_unclassified	1	0	0	2
o__CCU21_unclassified	14	20	0	5
f__RB40_unclassified	22	7	0	12
f__mb2424_unclassified	8	0	0	2
o__iii1-15_unclassified	585	331	3	191
f__Acidobacteriaceae_unclassified	17	22	1	90
g__Edaphobacter_unclassified	2	0	0	2
g__Terriglobus_unclassified	0	1	0	0
f__Koribacteraceae_unclassified	764	713	4	529
g__Candidatus_Koribacter_unclassified	173	151	0	361
o__Acidobacteriales_unclassified	54	64	0	75
o__B110_unclassified	0	0	36	5
o__MVS-40_unclassified	0	10	5	26
c__DA052_unclassified	2	0	0	0
o__E29_unclassified	0	0	0	1
o__Ellin6513_unclassified	419	143	0	214
c__EC1113_unclassified	1	7	0	17
f__Holophagaceae_unclassified	0	1	0	0
s__foetida	0	0	0	1
c__PAUC37f_unclassified	8	3	0	3
c__RB25_unclassified	9	5	0	6
c__S035_unclassified	13	13	0	7
c__Solibacteres_unclassified	1	2	0	1
o__JH-WHS99_unclassified	4	15	0	7
f__AKIW659_unclassified	4	9	11	27
f__MVS-65_unclassified	8	6	0	13
f__PAUC26f_unclassified	0	1	0	6
f__PK34_unclassified	1	0	0	0
g__Candidatus_Solibacter_unclassified	131	76	1	57
o__Solibacterales_unclassified	132	76	2	99
o__Sva0725_unclassified	11	0	1	13
c__TM1_unclassified	59	19	2	100
