taxonomy	S1_S1	S2_S3	S3_S5	S4_S7
p__Crenarchaeota	0.0041521905	0.0021194605	0.0456458704	0.0238559361
p__Euryarchaeota	0.0107617998	0.0014450867	0.4228790572	0.0034345122
p__[Parvarchaeota]	0.0001694772	0.0001926782	0.0062669535	0.002413441
p__AC1	0	0	0	9.28247E-5
p__AD3	0.0154224218	0.0111753372	9.35366E-5	0.0005569479
p__Acidobacteria	0.2478603508	0.2119460501	0.0066411	0.1934465794
p__Actinobacteria	0.0720277943	0.0841040462	0.0053315873	0.0601503759
p__AncK6	0	0	0	0.0001856493
p__Armatimonadetes	0.0016947716	0.0027938343	9.35366E-5	0.0025062657
p__BRC1	8.47386E-5	0	0.0002806099	0.000278474
p__Bacteroidetes	0.0179645793	0.016088632	0.0890468618	0.0401930753
p__Caldithrix	0	0	0.0006547563	0
p__Chlamydiae	0.0007626472	0.0006743738	0.0002806099	0.0017636684
p__Chlorobi	0.0002542157	0.0009633911	0.0004676831	0.0047340574
p__Chloroflexi	0.0595712228	0.0630057803	0.0415302591	0.0354590179
p__Cyanobacteria	0.001016863	0.003371869	0.0010289028	0.0049197067
p__Deferribacteres	8.47386E-5	0	0.001964269	0
p__Elusimicrobia	0.0042369291	0.0031791908	0	0.0035273369
p__FBP	8.47386E-5	0	0	0
p__FCPU426	0	0	9.35366E-5	0.0001856493
p__Fibrobacteres	0	9.63391E-5	0.0005612197	0.0004641233
p__Firmicutes	0.0089822896	0.0096339114	0.0246936676	0.0093752901
p__GAL15	0.0004236929	0.0002890173	0	0
p__GN02	0	0	0	9.28247E-5
p__GN04	0	0	0.0003741465	0.0001856493
p__Gemmatimonadetes	0.0222015083	0.0360308285	0.0770741745	0.019586002
p__NC10	0	0.0063583815	0	0.0009282465
p__NKB19	8.47386E-5	0	0.0001870732	0
p__Nitrospirae	0.0161850691	0.0232177264	0.0002806099	0.0064049011
p__OD1	0.0002542157	0.0007707129	0.0005612197	0.0009282465
p__OP1	0.0013558173	9.63391E-5	0.0630436816	9.28247E-5
p__OP11	0	9.63391E-5	9.35366E-5	0
p__OP3	0.0001694772	0.0001926782	0.0001870732	0.0006497726
p__OP8	0	0	0.000748293	0
p__PAUC34f	0	0	0.0001870732	0
p__Planctomycetes	0.0312685366	0.0331406551	0.0072023197	0.0224635663
p__Proteobacteria	0.3565799509	0.3461464355	0.1714526237	0.482409728
p__SAR406	0.0004236929	0	0.0057057338	0
p__SBR1093	0.0001694772	0	0.0017771958	9.28247E-5
p__Spirochaetes	0.0005931701	0.0006743738	0.0193620803	0.0012995452
p__Synergistetes	0	0	9.35366E-5	0
p__TM6	0.001016863	0.0001926782	9.35366E-5	0.0009282465
p__TM7	0.0008473858	0.0003853565	9.35366E-5	0.000278474
p__Tenericutes	0	9.63391E-5	0	0.0001856493
p__Thermotogae	8.47386E-5	0	0	0
p__Verrucomicrobia	0.1182103212	0.1352601156	0.0013095127	0.069525666
p__WPS-2	0.0011016016	9.63391E-5	0	0.000278474
p__WS1	8.47386E-5	0	0.0002806099	0
p__WS2	0	0	0	0.000278474
p__WS3	0.0035590204	0.005973025	9.35366E-5	0.0056623039
p__WS4	0	0.0001926782	9.35366E-5	9.28247E-5
p__[Thermi]	0.0002542157	0	0.0021513423	9.28247E-5
