taxon	soils1_1	soils2_1	soils3_1	soils4_1
o__NRP-J_unclassified	5	2	0	9
c__MBGB_unclassified	0	0	391	0
c__MCG_unclassified	0	0	0	1
o__B10_unclassified	0	0	43	0
o__pGrfC26_unclassified	0	0	9	16
c__MHVG_unclassified	0	0	0	1
c__Thaumarchaeota_unclassified	0	1	0	0
f__Cenarchaeaceae_unclassified	0	0	3	4
g__Cenarchaeum	0	0	36	1
g__Nitrosopumilus	0	0	0	1
f__SAGMA-X_unclassified	0	6	0	144
g__Nitrosotalea	0	2	0	71
o__Cenarchaeales_unclassified	0	0	4	1
g__Candidatus_Nitrososphaera	45	11	0	8
p__Crenarchaeota_unclassified	1	0	8	0
f__Halobacteriaceae_unclassified	70	7	2615	8
g__ArcF12	0	0	1	0
g__Haladaptatus	0	0	1	0
g__Haloarcula	0	0	11	0
g__Halobacteriaceae	0	0	13	0
g__Halobacterium	1	0	62	0
g__Halobaculum	0	0	1	0
g__Haloferax	0	0	7	0
g__Halogranum	0	0	2	0
g__Halolamina	0	0	3	0
g__Halomicrobium	0	0	3	0
g__Haloplanus	0	1	27	0
g__Halorhabdus	38	1	590	3
g__Halorussus	0	0	2	0
g__Natronomonas	3	1	93	0
g__haloarchaeon	0	0	1	0
f__MSP41_unclassified	0	0	23	0
o__Halobacteriales_unclassified	0	0	4	0
f__MSBL1_unclassified	0	0	20	0
g__DL1A-100	9	1	395	0
g__Methanobacterium	0	0	0	11
o__Methanobacteriales_unclassified	0	0	10	0
g__Methanocella	0	1	1	0
g__Methanosaeta	0	0	0	1
g__Methanosarcina	0	0	0	1
c__Thermoplasmata_unclassified	0	0	3	1
f__CCA47_unclassified	0	0	1	0
f__DHVEG-1_unclassified	0	1	535	0
f__[Methanomassiliicoccaceae]_unclassified	2	0	14	1
g__Methanomassiliicoccus	0	0	1	0
o__E2_unclassified	0	0	14	0
p__Euryarchaeota_unclassified	5	3	231	12
o__WCHD3-30_unclassified	1	1	36	4
o__YLA114_unclassified	1	1	17	22
p__[Parvarchaeota]_unclassified	0	0	0	1
c__HDBW-WB69_unclassified	0	0	0	1
c__ABS-6_unclassified	163	103	1	5
c__JG37-AG-4_unclassified	39	22	0	1
c__AT-s2-57_unclassified	0	0	1	0
c__AT-s54_unclassified	3	0	0	1
c__Acidobacteria-5_unclassified	133	110	1	13
c__Acidobacteria-6_unclassified	1	0	0	0
o__BPC015_unclassified	1	0	0	2
o__CCU21_unclassified	14	20	0	5
f__RB40_unclassified	22	7	0	11
f__mb2424_unclassified	8	1	0	2
o__iii1-15_unclassified	612	352	3	208
f__Acidobacteriaceae_unclassified	17	23	1	96
g__Acidopila	0	0	0	2
g__Edaphobacter	1	0	0	2
g__Terriglobus	0	1	0	0
