taxon	soils1_1	soils2_1	soils3_1	soils4_1
p__Crenarchaeota	51	22	494	257
p__Euryarchaeota	128	16	4684	38
p__[Parvarchaeota]	2	2	53	27
p__AC1	0	0	0	1
p__AD3	202	125	1	6
p__Acidobacteria	3088	2325	72	2214
p__Actinobacteria	907	935	56	699
p__AncK6	0	0	0	2
p__Armatimonadetes	22	28	1	26
p__BRC1	1	0	4	2
p__Bacteroidetes	216	171	1013	441
p__Caldithrix	0	0	6	0
p__Chlamydiae	10	6	2	23
p__Chlorobi	4	10	7	57
p__Chloroflexi	728	685	459	420
p__Cyanobacteria	8	28	8	39
p__Deferribacteres	1	0	21	0
p__Elusimicrobia	48	35	0	39
p__FBP	1	0	0	0
p__FCPU426	0	0	1	2
p__Fibrobacteres	0	1	6	5
p__Firmicutes	107	111	262	108
p__GAL15	5	3	0	0
p__GN02	0	0	0	1
p__GN04	0	0	3	2
p__Gemmatimonadetes	271	399	817	227
p__NC10	0	72	0	10
p__NKB19	1	0	2	0
p__Nitrospirae	210	255	3	71
p__OD1	3	8	6	11
p__OP1	17	1	674	1
p__OP11	0	1	4	0
p__OP3	2	2	2	6
p__OP8	0	0	10	0
p__PAUC34f	0	0	2	0
p__Planctomycetes	376	356	74	248
p__Proteobacteria	4376	3749	1874	5457
p__SAR406	4	0	60	0
p__SBR1093	2	0	20	1
p__Spirochaetes	7	7	205	15
p__Synergistetes	0	0	1	0
p__TM6	12	3	0	10
p__TM7	10	4	1	3
p__Tenericutes	0	1	0	2
p__Thermotogae	1	0	0	0
p__Verrucomicrobia	1430	1405	16	800
p__WPS-2	13	0	0	3
p__WS1	1	0	3	0
p__WS2	0	0	0	3
p__WS3	44	68	1	59
p__WS4	0	2	1	1
p__[Thermi]	3	0	22	1
