taxon	soils1_1	soils2_1	soils3_1	soils4_1
Crenarchaeota	0.414230019	0.203026947	4.511003561	2.266713706
Euryarchaeota	1.039636127	0.147655962	42.77234956	0.335156112
[Parvarchaeota]	0.016244314	0.018456995	0.483974066	0.238137238
Acidobacteria	25.08122157	21.45625692	0.657474203	19.52725348
Actinobacteria	7.366796621	8.628645257	0.511368825	6.165108485
Armatimonadetes	0.178687459	0.258397933	0.009131586	0.22931734
Bacteroidetes	1.754385965	1.57807309	9.250296777	3.889574881
Caldithrix	0	0	0.054789517	0
Chlamydiae	0.081221572	0.055370986	0.018263172	0.202857647
Chlorobi	0.032488629	0.092284976	0.063921103	0.502734168
Chloroflexi	5.912930474	6.321520856	4.191398046	3.704357029
Cyanobacteria	0.064977258	0.258397933	0.073052689	0.34397601
Deferribacteres	0.008122157	0	0.191763309	0
Elusimicrobia	0.389863548	0.322997416	0	0.34397601
Fibrobacteres	0	0.009228498	0.054789517	0.044099488
Firmicutes	0.869070825	1.024363234	2.392475573	0.95254895
Gemmatimonadetes	2.201104613	3.682170543	7.46050589	2.002116775
Nitrospirae	1.705653021	2.353266888	0.027394758	0.626212736
Planctomycetes	3.053931124	3.285345146	0.675737376	2.187334627
Proteobacteria	35.5425601	34.5976375	17.11259246	48.13018169
SAR406	0.032488629	0	0.547895169	0
Spirochaetes	0.056855101	0.064599483	1.871975162	0.132298465
Synergistetes	0	0	0.009131586	0
Tenericutes	0	0.009228498	0	0.017639795
Thermotogae	0.008122157	0	0	0
Verrucomicrobia	11.61468486	12.96603913	0.146105379	7.055918151
[Thermi]	0.024366472	0	0.200894895	0.008819898
other phylum	2.550357375	2.667035807	6.711715825	1.093474
