Level_1	Level_2	soils1	soils2	Parent seq. 1	Parent seq. 2	Rel. freq. 1 (%)	Rel. freq. 2 (%)	p-values	p-values (corrected)	Effect size	95.0% lower CI	95.0% upper CI	Power (alpha = 0.05)	Equal sample size (alpha = 0.05; power = 0.80)	
Cellular Processes	Cell Motility	642495	555447	20803093	17608470	3.08845900944	3.15443079382	0.0	0.0	-0.0659717843801	-0.0770150671698	-0.0549319487334	N/A	N/A	
Cellular Processes	Cell Growth and Death	115814	95003	20803093	17608470	0.556715292289	0.539530123855	6.75459688182e-13	6.75459688182e-13	0.0171851684333	0.0125005463379	0.0218664903489	N/A	N/A	
Cellular Processes	Cell Communication	33	45	20803093	17608470	0.000158630257529	0.000255558830495	0.0473809511698	0.0473809511698	-9.69285729651e-05	-0.00019462884846	-5.93093482745e-06	N/A	N/A	
Cellular Processes and Signaling	Cellular Processes and Signaling_Unclassified	728656	625262	20803093	17608470	3.50263299789	3.55091612162	6.66133814775e-16	6.66133814775e-16	-0.0482831237252	-0.0599950503985	-0.0365745716329	N/A	N/A	
Environmental Information Processing	Membrane Transport	2254888	1848346	20803093	17608470	10.839195883	10.4969142691	0.0	0.0	0.342281613936	0.322699083681	0.361861409253	N/A	N/A	
Environmental Information Processing	Signal Transduction	468873	404104	20803093	17608470	2.25386196178	2.29494101418	0.0	0.0	-0.0410790524058	-0.0505464793724	-0.0316151233736	N/A	N/A	
Environmental Information Processing	Signaling Molecules and Interaction	45797	37095	20803093	17608470	0.220145148608	0.210665662604	2.80766632166e-10	2.80766632166e-10	0.00947948600401	0.0065380063625	0.0124177353278	N/A	N/A	
Genetic Information Processing	"Folding, Sorting and Degradation"	477207	414985	20803093	17608470	2.29392331227	2.3567351394	0.0	0.0	-0.062811827127	-0.0723838967338	-0.053243304208	N/A	N/A	
Genetic Information Processing	Translation	872785	758254	20803093	17608470	4.19545785812	4.30618901018	0.0	0.0	-0.110731152058	-0.123543805656	-0.097921877967	N/A	N/A	
Genetic Information Processing	Replication and Repair	1412035	1223424	20803093	17608470	6.78762047547	6.94792903642	0.0	0.0	-0.160308560949	-0.176368655562	-0.14425161665	N/A	N/A	
Genetic Information Processing	Transcription	553580	461825	20803093	17608470	2.66104660494	2.62274348652	1.65978342181e-13	1.65978342181e-13	0.0383031184295	0.0281256170713	0.0484773386324	N/A	N/A	
Human Diseases	Neurodegenerative Diseases	55285	42191	20803093	17608470	0.265753751137	0.239606280387	0.0	0.0	0.0261474707503	0.0229665303158	0.0293255978981	N/A	N/A	
Human Diseases	Cardiovascular Diseases	5065	3254	20803093	17608470	0.024347341042	0.0184797429873	0.0	0.0	0.0058675980547	0.00494323714552	0.00679036483506	N/A	N/A	
Human Diseases	Cancers	25364	19559	20803093	17608470	0.121924177333	0.111077225903	0.0	0.0	0.0108469514295	0.0086845688973	0.0130064447176	N/A	N/A	
Human Diseases	Infectious Diseases	88851	73197	20803093	17608470	0.427104757932	0.415691993683	5.41027231904e-08	5.41027231904e-08	0.0114127642493	0.00730201203831	0.0155201799143	N/A	N/A	
Human Diseases	Immune System Diseases	10044	8786	20803093	17608470	0.048281282019	0.0498964418828	0.0247663344673	0.0247663344673	-0.00161515986382	-0.00302400490673	-0.000210094999605	N/A	N/A	
Metabolism	Metabolism of Other Amino Acids	379297	314331	20803093	17608470	1.82327214516	1.78511250552	0.0	0.0	0.0381596396407	0.029713855258	0.0466021304612	N/A	N/A	
Metabolism	Energy Metabolism	1182424	1014865	20803093	17608470	5.68388556452	5.76350472244	0.0	0.0	-0.0796191579265	-0.0943680232496	-0.0648734972815	N/A	N/A	
Metabolism	Xenobiotics Biodegradation and Metabolism	681004	558726	20803093	17608470	3.27357090602	3.17305251393	0.0	0.0	0.100518392086	0.089314256065	0.111719375552	N/A	N/A	
Metabolism	Amino Acid Metabolism	2224099	1867895	20803093	17608470	10.6911938528	10.6079347042	1.11022302463e-16	1.11022302463e-16	0.0832591486094	0.0636825636248	0.102832952382	N/A	N/A	
Metabolism	Glycan Biosynthesis and Metabolism	502504	431920	20803093	17608470	2.41552542211	2.45291044594	6.82787160144e-14	6.82787160144e-14	-0.0373850238297	-0.0471708038384	-0.0276027131581	N/A	N/A	
Metabolism	Metabolism of Cofactors and Vitamins	839237	718782	20803093	17608470	4.03419337692	4.08202416224	7.12763181809e-14	7.12763181809e-14	-0.047830785318	-0.0603587327203	-0.0353061615492	N/A	N/A	
Metabolism	Biosynthesis of Other Secondary Metabolites	250577	207811	20803093	17608470	1.20451800124	1.18017635831	4.42068603945e-12	4.42068603945e-12	0.0243416429321	0.0174539243638	0.0312260261114	N/A	N/A	
Metabolism	Nucleotide Metabolism	647404	553803	20803093	17608470	3.11205646199	3.14509437788	4.62849514271e-09	4.62849514271e-09	-0.0330379158875	-0.0440910310141	-0.0219881890675	N/A	N/A	
