metagenome	level 1	level 2	level 3	function	abundance	avg eValue	avg %ident	# proteins	
4441682.3	RNA Metabolism	RNA processing and modification	16S rRNA modification within P site of ribosome	Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	10	0.666667	79.1322	9	
4441682.3	RNA Metabolism	RNA processing and modification	16S rRNA modification within P site of ribosome	Cell division protein MraZ	3	-1.33333	78.1067	3	
4441682.3	RNA Metabolism	RNA processing and modification	16S rRNA modification within P site of ribosome	Penicillin-binding protein 2B	1	-1	64	1	
4441682.3	RNA Metabolism	RNA processing and modification	16S rRNA modification within P site of ribosome	Penicillin-binding protein 2 (PBP-2)	4	-2.25	72.415	4	
4441682.3	RNA Metabolism	RNA processing and modification	16S rRNA modification within P site of ribosome	rRNA small subunit methyltransferase H	12	-2.91667	76.8708	12	
4441682.3	RNA Metabolism	RNA processing and modification	16S rRNA modification within P site of ribosome	rRNA small subunit methyltransferase I	6	-0.833333	78.1467	6	
4441682.3	RNA Metabolism	RNA processing and modification	16S rRNA modification within P site of ribosome	Stage V sporulation protein D (Sporulation-specific penicillin-binding protein)	1	3	78.57	1	
4441682.3	Carbohydrates	Monosaccharides	2-Ketogluconate Utilization	2-ketogluconate 6-phosphate reductase (EC 1.1.1.43)	1	-3	54.29	1	
4441682.3	Carbohydrates	Monosaccharides	2-Ketogluconate Utilization	Epimerase KguE	1	3	100	1	
4441682.3	Carbohydrates	Organic acids	2-methylcitrate to 2-methylaconitate metabolism cluster	2-Methylcitrate dehydratase AcnD	1	1	63.64	1	
4441682.3	DNA Metabolism	DNA repair	2-phosphoglycolate salvage	Phosphoglycolate phosphatase (EC 3.1.3.18)	6	0.833333	73.3683	5	
4441682.3	DNA Metabolism	DNA repair	2-phosphoglycolate salvage	Putative phosphatase YqaB	2	1	84.925	2	
4441682.3	DNA Metabolism	DNA repair	2-phosphoglycolate salvage	Similar to phosphoglycolate phosphatase, clustered with ubiquinone biosynthesis SAM-dependent O-methyltransferase	1	3	84.62	1	
4441682.3	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	4-Hydroxyphenylacetic acid catabolic pathway	2-hydroxyhepta-2,4-diene-1,7-dioate isomerase (EC 5.3.3.-)	1	-8	84.85	1	
4441682.3	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	4-Hydroxyphenylacetic acid catabolic pathway	5-carboxymethyl-2-hydroxymuconate delta-isomerase (EC 5.3.3.10)	1	-8	84.38	1	
4441682.3	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	4-Hydroxyphenylacetic acid catabolic pathway	5-carboxymethyl-2-oxo-hex-3- ene-1,7-dioate decarboxylase (EC 4.1.1.68)	1	-8	84.85	1	
4441682.3	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)	6	-1.16667	76.73	6	
4441682.3	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	2	-1	76.725	2	
4441682.3	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Alcohol dehydrogenase (EC 1.1.1.1)	10	-3.7	79.889	9	
4441682.3	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Alternative dihydrofolate reductase 2	1	3	100	1	
4441682.3	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Butyryl-CoA dehydrogenase (EC 1.3.99.2)	10	-4.1	85.971	9	
4441682.3	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Dihydrofolate reductase (EC 1.5.1.3)	1	1	85.71	1	
4441682.3	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	4	0	87.2575	4	
4441682.3	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	7	-2.14286	72.2814	7	
4441682.3	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Formate--tetrahydrofolate ligase (EC 6.3.4.3)	13	-4.92308	83.7738	12	
4441682.3	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Formyltetrahydrofolate deformylase (EC 3.5.1.10)	1	-3	62.5	1	
4441682.3	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	H4MPt-dependent SHMT	1	-1	88.24	1	
4441682.3	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Hydroxyethylthiazole kinase (EC 2.7.1.50)	1	-4	76.67	1	
4441682.3	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	9	-6.55556	85.4589	9	
4441682.3	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5) / Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	6	-5.16667	75.0817	5	
4441682.3	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Phosphomethylpyrimidine kinase (EC 2.7.4.7)	1	-3	78.57	1	
4441682.3	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)	5	-4.6	82.998	5	
4441682.3	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)	4	-2.75	76.765	4	
