	sequences per sample	iteration	D1af	D3af	D5bf	D1bf	C12	C11
alpha_rarefaction_10_0.txt	10	0	1.24078	1.02231	1.63254	0.55781	0.00071	0.36278
alpha_rarefaction_10_1.txt	10	1	0.83972	0.43598	1.30108	0.56154	0.0325	0.00071
alpha_rarefaction_10_2.txt	10	2	1.24654	0.79297	0.96375	0.94818	0.00071	0.00085
alpha_rarefaction_10_3.txt	10	3	1.28827	0.43936	0.94665	0.74686	0.00071	0.00071
alpha_rarefaction_10_4.txt	10	4	1.06109	0.80627	1.20125	0.56271	0.00071	0.42093
alpha_rarefaction_10_5.txt	10	5	0.98848	1.01773	0.9687	0.55767	0.00071	0.00071
alpha_rarefaction_10_6.txt	10	6	1.41756	0.65449	0.96101	0.73212	0.00071	0.00071
alpha_rarefaction_10_7.txt	10	7	1.06461	0.52831	0.83233	0.56533	0.00071	0.36292
alpha_rarefaction_10_8.txt	10	8	1.18784	1.09948	0.69761	0.55767	0.01607	0.00071
alpha_rarefaction_10_9.txt	10	9	1.46293	1.0366	1.53746	0.55767	0.00071	0.01248
alpha_rarefaction_356_0.txt	356	0	4.09183	2.69054	5.21636	1.59406	0.45397	1.2206
alpha_rarefaction_356_1.txt	356	1	4.01856	2.07289	5.22458	2.09817	0.48931	0.78099
alpha_rarefaction_356_2.txt	356	2	4.17744	2.51441	4.76017	2.11341	0.74474	0.70315
alpha_rarefaction_356_3.txt	356	3	4.36835	2.67519	5.19764	1.66726	0.663	1.43436
alpha_rarefaction_356_4.txt	356	4	3.91198	3.05967	5.41756	1.54986	1.28013	0.74513
alpha_rarefaction_356_5.txt	356	5	4.69789	3.06287	4.9516	2.2785	1.25361	1.5779
alpha_rarefaction_356_6.txt	356	6	3.56442	2.41466	5.30548	1.89349	1.06252	1.7313
alpha_rarefaction_356_7.txt	356	7	4.26275	2.54962	4.59592	2.4451	0.70561	0.87582
alpha_rarefaction_356_8.txt	356	8	4.72648	2.67075	5.56631	1.80759	0.47289	0.91885
alpha_rarefaction_356_9.txt	356	9	5.11619	3.19681	5.51173	1.88147	0.36944	1.35322
alpha_rarefaction_702_0.txt	702	0	5.33666	3.11312	5.88985	3.0505	1.2604	1.76807
alpha_rarefaction_702_1.txt	702	1	5.57982	2.66651	6.15828	2.28392	1.05022	1.6728
alpha_rarefaction_702_2.txt	702	2	5.50641	3.18785	5.09329	2.25051	0.88042	1.36792
alpha_rarefaction_702_3.txt	702	3	5.46032	3.28142	5.71496	2.55259	0.95067	1.53022
alpha_rarefaction_702_4.txt	702	4	5.30908	3.06257	5.98709	2.33519	0.81966	1.79093
alpha_rarefaction_702_5.txt	702	5	5.64079	3.50332	5.39345	2.35022	1.11382	1.77204
alpha_rarefaction_702_6.txt	702	6	5.48135	3.34976	6.03462	2.79941	1.18646	2.28761
alpha_rarefaction_702_7.txt	702	7	5.53492	3.61112	5.70739	2.43596	1.38958	1.43435
alpha_rarefaction_702_8.txt	702	8	5.8217	3.4269	6.14818	2.53882	1.30736	1.37576
alpha_rarefaction_702_9.txt	702	9	5.12721	3.03622	6.06025	2.83799	1.09479	2.0098
alpha_rarefaction_1048_0.txt	1048	0	5.70991	3.55082	5.96364	3.44239	1.55895	1.95753
alpha_rarefaction_1048_1.txt	1048	1	5.72886	3.43796	5.71041	3.07774	1.33867	1.99229
alpha_rarefaction_1048_2.txt	1048	2	6.88558	3.04831	6.13404	3.06537	1.39937	2.16626
alpha_rarefaction_1048_3.txt	1048	3	6.11108	3.28981	5.9344	3.16488	1.81464	2.21797
alpha_rarefaction_1048_4.txt	1048	4	5.60186	3.59583	6.0189	2.88147	1.49302	2.27975
alpha_rarefaction_1048_5.txt	1048	5	6.53006	3.35245	6.26558	3.08096	1.71991	2.0859
alpha_rarefaction_1048_6.txt	1048	6	6.18576	3.64807	5.93222	3.00131	1.67812	2.07127
alpha_rarefaction_1048_7.txt	1048	7	6.16396	3.27146	6.35199	2.85514	1.47116	1.88942
alpha_rarefaction_1048_8.txt	1048	8	6.3765	3.625	5.8831	2.75987	1.46069	2.09422
alpha_rarefaction_1048_9.txt	1048	9	5.79428	3.62765	6.00777	3.37681	1.00194	2.11125
alpha_rarefaction_1394_0.txt	1394	0	6.324	3.66919	6.31445	3.55207	1.38875	1.91221
alpha_rarefaction_1394_1.txt	1394	1	6.77121	3.73544	6.11968	3.14665	1.4956	2.03626
alpha_rarefaction_1394_2.txt	1394	2	6.90984	3.68337	6.28453	3.60399	1.78721	1.99632
alpha_rarefaction_1394_3.txt	1394	3	6.95045	3.82433	6.20238	3.41394	1.60935	2.0331
alpha_rarefaction_1394_4.txt	1394	4	6.03487	3.58112	6.44481	3.08543	1.72669	1.76666
alpha_rarefaction_1394_5.txt	1394	5	6.94041	3.77636	6.43992	2.56736	1.48619	1.9239
alpha_rarefaction_1394_6.txt	1394	6	6.53719	3.69003	6.69741	3.72499	1.1145	2.16325
alpha_rarefaction_1394_7.txt	1394	7	6.23237	3.77901	6.29079	3.39877	1.53884	2.12159
alpha_rarefaction_1394_8.txt	1394	8	6.48442	4.12512	6.36522	3.20347	1.13049	2.09642
alpha_rarefaction_1394_9.txt	1394	9	6.53614	3.737	6.44703	3.12292	1.36955	2.09932
alpha_rarefaction_1740_0.txt	1740	0	6.88963	3.72522	6.43804	3.50768	1.53422	2.26449
alpha_rarefaction_1740_1.txt	1740	1	6.51735	3.31585	6.0972	3.46933	1.68913	1.98167
alpha_rarefaction_1740_2.txt	1740	2	6.81039	4.0108	6.262	3.49974	1.7971	2.20381
alpha_rarefaction_1740_3.txt	1740	3	6.94945	4.03609	6.46991	3.55325	1.61397	2.16462
alpha_rarefaction_1740_4.txt	1740	4	6.86193	3.9551	6.20297	3.1771	1.75685	2.05503
alpha_rarefaction_1740_5.txt	1740	5	6.98364	3.98119	6.51034	3.36412	1.91024	2.52744
alpha_rarefaction_1740_6.txt	1740	6	6.83524	3.60477	6.3767	3.51472	1.83456	2.4063
alpha_rarefaction_1740_7.txt	1740	7	6.84955	3.80544	6.43095	3.42978	1.42844	2.38156
alpha_rarefaction_1740_8.txt	1740	8	6.71251	3.99817	6.66604	3.39658	1.75944	2.43354
alpha_rarefaction_1740_9.txt	1740	9	6.58927	3.68559	6.57333	3.64727	1.33309	2.00287
alpha_rarefaction_2086_0.txt	2086	0	7.02311	3.73148	6.65964	3.75712	1.56212	2.41824
alpha_rarefaction_2086_1.txt	2086	1	6.89049	3.86208	6.50179	3.39992	1.63336	2.28322
alpha_rarefaction_2086_2.txt	2086	2	7.00046	3.64373	6.67621	3.67197	1.69196	2.74421
alpha_rarefaction_2086_3.txt	2086	3	7.11826	3.5065	6.54156	3.6609	1.95222	2.35502
alpha_rarefaction_2086_4.txt	2086	4	6.37895	3.82364	6.84024	3.82382	1.97054	2.79938
alpha_rarefaction_2086_5.txt	2086	5	6.66148	3.77717	6.49079	3.73132	1.71968	2.4129
alpha_rarefaction_2086_6.txt	2086	6	6.44938	3.81572	6.52435	3.60437	1.52228	2.46622
