	sequences per sample	iteration	D1af	D3af	D5bf	D1bf	C12	C11
alpha_rarefaction_10_0.txt	10	0	22.0	7.0	22.0	4.0	1.0	2.0
alpha_rarefaction_10_1.txt	10	1	5.0	4.0	9.0	5.0	2.0	1.0
alpha_rarefaction_10_2.txt	10	2	12.0	4.0	9.0	8.0	1.0	2.0
alpha_rarefaction_10_3.txt	10	3	8.0	4.0	4.5	4.5	1.0	1.0
alpha_rarefaction_10_4.txt	10	4	4.5	7.0	8.5	4.0	1.0	2.0
alpha_rarefaction_10_5.txt	10	5	6.5	4.0	11.0	3.0	1.0	1.0
alpha_rarefaction_10_6.txt	10	6	22.0	4.0	4.5	5.33333333333	1.0	1.0
alpha_rarefaction_10_7.txt	10	7	12.0	4.0	6.5	5.33333333333	1.0	4.0
alpha_rarefaction_10_8.txt	10	8	12.0	9.0	5.0	3.0	2.0	1.0
alpha_rarefaction_10_9.txt	10	9	29.0	11.0	13.0	3.0	1.0	4.0
alpha_rarefaction_356_0.txt	356	0	113.5	49.9090909091	60.0	54.2	30.0	35.5
alpha_rarefaction_356_1.txt	356	1	80.25	37.8	66.0	78.0	55.0	20.0
alpha_rarefaction_356_2.txt	356	2	161.5	95.1666666667	56.3333333333	53.0	41.5	29.75
alpha_rarefaction_356_3.txt	356	3	135.75	44.0769230769	67.0	50.6666666667	17.25	16.0
alpha_rarefaction_356_4.txt	356	4	124.125	50.9090909091	101.142857143	34.2	81.0	14.0
alpha_rarefaction_356_5.txt	356	5	130.363636364	73.0	73.0909090909	72.0	25.0	34.3333333333
alpha_rarefaction_356_6.txt	356	6	76.25	52.1538461538	65.5	46.75	13.3333333333	46.25
alpha_rarefaction_356_7.txt	356	7	116.5	61.5	60.0	223.0	25.0	48.0
alpha_rarefaction_356_8.txt	356	8	108.8	77.4285714286	69.0	42.1666666667	13.0	22.3333333333
alpha_rarefaction_356_9.txt	356	9	110.882352941	46.0	74.0	71.5	38.0	28.0
alpha_rarefaction_702_0.txt	702	0	154.714285714	63.8333333333	108.111111111	102.375	35.3333333333	40.2
alpha_rarefaction_702_1.txt	702	1	140.0	60.6875	75.8333333333	55.0	21.0	30.25
alpha_rarefaction_702_2.txt	702	2	121.0	84.0	68.5	49.5	18.5	51.3333333333
alpha_rarefaction_702_3.txt	702	3	129.0	81.0	85.6666666667	80.5	33.0	30.875
alpha_rarefaction_702_4.txt	702	4	134.047619048	62.5454545455	79.8823529412	89.0	60.0	43.0
alpha_rarefaction_702_5.txt	702	5	126.15	84.0	103.428571429	66.25	22.1428571429	46.0
alpha_rarefaction_702_6.txt	702	6	128.833333333	75.0	68.7142857143	54.4285714286	155.0	50.6666666667
alpha_rarefaction_702_7.txt	702	7	145.882352941	72.0	73.4285714286	61.4285714286	96.0	29.4285714286
alpha_rarefaction_702_8.txt	702	8	166.0	72.0909090909	83.2307692308	78.5	30.0	29.25
alpha_rarefaction_702_9.txt	702	9	102.789473684	51.0769230769	92.0	147.5	39.0	65.0
alpha_rarefaction_1048_0.txt	1048	0	152.130434783	109.428571429	89.0	101.333333333	41.2	41.0
alpha_rarefaction_1048_1.txt	1048	1	136.05	76.25	94.25	89.625	26.0	78.5
alpha_rarefaction_1048_2.txt	1048	2	152.535714286	78.4615384615	91.0833333333	102.166666667	48.0	44.125
alpha_rarefaction_1048_3.txt	1048	3	156.260869565	77.1	82.2142857143	93.4285714286	32.4285714286	46.9090909091
alpha_rarefaction_1048_4.txt	1048	4	141.047619048	67.0	117.0	99.25	40.125	51.0
alpha_rarefaction_1048_5.txt	1048	5	124.615384615	83.2307692308	93.4	143.0	37.0	89.0
alpha_rarefaction_1048_6.txt	1048	6	149.0	68.9090909091	86.1111111111	89.0	65.0	50.8571428571
alpha_rarefaction_1048_7.txt	1048	7	147.045454545	71.2727272727	113.857142857	101.5	46.75	46.0
alpha_rarefaction_1048_8.txt	1048	8	145.045454545	86.1176470588	84.7692307692	78.0	36.5	64.6666666667
alpha_rarefaction_1048_9.txt	1048	9	119.315789474	95.5	86.0	108.8	38.1666666667	44.3333333333
alpha_rarefaction_1394_0.txt	1394	0	132.666666667	73.3636363636	94.1428571429	108.0	30.8571428571	38.75
alpha_rarefaction_1394_1.txt	1394	1	142.533333333	69.0	97.25	126.333333333	43.1666666667	41.375
alpha_rarefaction_1394_2.txt	1394	2	183.142857143	70.5	81.0	97.4615384615	48.75	47.5
alpha_rarefaction_1394_3.txt	1394	3	153.5	83.375	87.0	110.75	32.8571428571	61.5
alpha_rarefaction_1394_4.txt	1394	4	123.7	83.0909090909	114.25	81.5555555556	27.6	46.6
alpha_rarefaction_1394_5.txt	1394	5	188.956521739	88.0	100.0	96.0	31.1666666667	52.0
alpha_rarefaction_1394_6.txt	1394	6	156.3	65.75	119.833333333	111.75	43.5	44.6666666667
alpha_rarefaction_1394_7.txt	1394	7	125.035714286	82.375	93.0	95.9090909091	41.6	75.0
alpha_rarefaction_1394_8.txt	1394	8	137.428571429	90.3125	90.6153846154	86.2	54.2	41.6666666667
alpha_rarefaction_1394_9.txt	1394	9	164.041666667	81.1538461538	91.3529411765	123.428571429	42.5	57.2
