	sequences per sample	iteration	D1af	D3af	D5bf	D1bf	C12	C11
alpha_rarefaction_10_0.txt	10	0	7.0	4.0	7.0	4.0	1.0	2.0
alpha_rarefaction_10_1.txt	10	1	4.0	3.0	6.0	4.0	2.0	1.0
alpha_rarefaction_10_2.txt	10	2	7.0	3.0	6.0	5.0	1.0	2.0
alpha_rarefaction_10_3.txt	10	3	5.0	3.0	4.0	4.0	1.0	1.0
alpha_rarefaction_10_4.txt	10	4	4.0	4.0	7.0	4.0	1.0	2.0
alpha_rarefaction_10_5.txt	10	5	5.0	3.0	5.0	3.0	1.0	1.0
alpha_rarefaction_10_6.txt	10	6	7.0	3.0	4.0	5.0	1.0	1.0
alpha_rarefaction_10_7.txt	10	7	6.0	3.0	5.0	5.0	1.0	3.0
alpha_rarefaction_10_8.txt	10	8	7.0	6.0	4.0	3.0	2.0	1.0
alpha_rarefaction_10_9.txt	10	9	8.0	5.0	8.0	3.0	1.0	3.0
alpha_rarefaction_356_0.txt	356	0	54.0	36.0	43.0	27.0	12.0	13.0
alpha_rarefaction_356_1.txt	356	1	51.0	30.0	51.0	27.0	16.0	13.0
alpha_rarefaction_356_2.txt	356	2	59.0	41.0	45.0	29.0	14.0	16.0
alpha_rarefaction_356_3.txt	356	3	57.0	36.0	46.0	28.0	12.0	13.0
alpha_rarefaction_356_4.txt	356	4	54.0	37.0	51.0	21.0	15.0	9.0
alpha_rarefaction_356_5.txt	356	5	63.0	43.0	48.0	34.0	13.0	16.0
alpha_rarefaction_356_6.txt	356	6	47.0	39.0	48.0	24.0	10.0	20.0
alpha_rarefaction_356_7.txt	356	7	57.0	33.0	43.0	34.0	11.0	12.0
alpha_rarefaction_356_8.txt	356	8	56.0	38.0	46.0	27.0	8.0	13.0
alpha_rarefaction_356_9.txt	356	9	65.0	34.0	49.0	33.0	10.0	17.0
alpha_rarefaction_702_0.txt	702	0	84.0	48.0	63.0	48.0	17.0	22.0
alpha_rarefaction_702_1.txt	702	1	91.0	50.0	60.0	36.0	14.0	22.0
alpha_rarefaction_702_2.txt	702	2	80.0	54.0	51.0	32.0	15.0	21.0
alpha_rarefaction_702_3.txt	702	3	88.0	48.0	54.0	43.0	22.0	24.0
alpha_rarefaction_702_4.txt	702	4	89.0	47.0	65.0	39.0	20.0	26.0
alpha_rarefaction_702_5.txt	702	5	81.0	54.0	57.0	40.0	17.0	26.0
alpha_rarefaction_702_6.txt	702	6	81.0	52.0	59.0	35.0	19.0	28.0
alpha_rarefaction_702_7.txt	702	7	85.0	51.0	54.0	37.0	18.0	23.0
alpha_rarefaction_702_8.txt	702	8	82.0	53.0	62.0	41.0	15.0	18.0
alpha_rarefaction_702_9.txt	702	9	75.0	46.0	65.0	46.0	17.0	27.0
alpha_rarefaction_1048_0.txt	1048	0	101.0	63.0	68.0	53.0	23.0	28.0
alpha_rarefaction_1048_1.txt	1048	1	93.0	57.0	68.0	49.0	20.0	31.0
alpha_rarefaction_1048_2.txt	1048	2	107.0	59.0	70.0	48.0	24.0	31.0
