	sequences per sample	iteration	D1af	D3af	D5bf	D1bf	C12	C11
alpha_rarefaction_10_0.txt	10	0	6.0	3.0	6.0	1.0	0.0	1.0
alpha_rarefaction_10_1.txt	10	1	2.0	2.0	4.0	2.0	1.0	0.0
alpha_rarefaction_10_2.txt	10	2	5.0	2.0	4.0	3.0	0.0	0.0
alpha_rarefaction_10_3.txt	10	3	3.0	2.0	2.0	2.0	0.0	0.0
alpha_rarefaction_10_4.txt	10	4	2.0	3.0	4.0	1.0	0.0	1.0
alpha_rarefaction_10_5.txt	10	5	3.0	2.0	4.0	0.0	0.0	0.0
alpha_rarefaction_10_6.txt	10	6	6.0	2.0	2.0	2.0	0.0	0.0
alpha_rarefaction_10_7.txt	10	7	4.0	2.0	3.0	2.0	0.0	2.0
alpha_rarefaction_10_8.txt	10	8	5.0	4.0	2.0	0.0	1.0	0.0
alpha_rarefaction_10_9.txt	10	9	7.0	4.0	6.0	0.0	0.0	2.0
alpha_rarefaction_356_0.txt	356	0	35.0	18.0	18.0	17.0	9.0	10.0
alpha_rarefaction_356_1.txt	356	1	27.0	13.0	21.0	18.0	13.0	8.0
alpha_rarefaction_356_2.txt	356	2	41.0	26.0	17.0	16.0	11.0	11.0
alpha_rarefaction_356_3.txt	356	3	36.0	15.0	22.0	17.0	7.0	6.0
alpha_rarefaction_356_4.txt	356	4	34.0	18.0	27.0	12.0	12.0	5.0
alpha_rarefaction_356_5.txt	356	5	39.0	25.0	24.0	20.0	9.0	11.0
alpha_rarefaction_356_6.txt	356	6	27.0	19.0	21.0	14.0	5.0	15.0
alpha_rarefaction_356_7.txt	356	7	35.0	19.0	18.0	28.0	8.0	9.0
alpha_rarefaction_356_8.txt	356	8	33.0	24.0	23.0	14.0	5.0	8.0
alpha_rarefaction_356_9.txt	356	9	40.0	16.0	25.0	22.0	8.0	11.0
alpha_rarefaction_702_0.txt	702	0	45.0	20.0	29.0	30.0	11.0	14.0
alpha_rarefaction_702_1.txt	702	1	49.0	19.0	20.0	20.0	8.0	12.0
alpha_rarefaction_702_2.txt	702	2	41.0	25.0	15.0	15.0	7.0	14.0
alpha_rarefaction_702_3.txt	702	3	42.0	22.0	20.0	25.0	12.0	11.0
alpha_rarefaction_702_4.txt	702	4	44.0	19.0	23.0	25.0	16.0	17.0
alpha_rarefaction_702_5.txt	702	5	43.0	21.0	26.0	21.0	9.0	16.0
alpha_rarefaction_702_6.txt	702	6	42.0	24.0	17.0	17.0	17.0	17.0
alpha_rarefaction_702_7.txt	702	7	46.0	21.0	17.0	19.0	13.0	10.0
alpha_rarefaction_702_8.txt	702	8	49.0	21.0	24.0	25.0	10.0	10.0
alpha_rarefaction_702_9.txt	702	9	33.0	12.0	27.0	29.0	12.0	20.0
alpha_rarefaction_1048_0.txt	1048	0	49.0	26.0	21.0	30.0	14.0	14.0
alpha_rarefaction_1048_1.txt	1048	1	42.0	22.0	21.0	26.0	9.0	20.0
alpha_rarefaction_1048_2.txt	1048	2	51.0	23.0	23.0	26.0	16.0	15.0
alpha_rarefaction_1048_3.txt	1048	3	50.0	19.0	19.0	26.0	12.0	18.0
alpha_rarefaction_1048_4.txt	1048	4	44.0	16.0	25.0	28.0	15.0	16.0
alpha_rarefaction_1048_5.txt	1048	5	37.0	24.0	24.0	33.0	14.0	19.0
alpha_rarefaction_1048_6.txt	1048	6	45.0	18.0	20.0	27.0	16.0	18.0
alpha_rarefaction_1048_7.txt	1048	7	46.0	20.0	25.0	30.0	14.0	15.0
alpha_rarefaction_1048_8.txt	1048	8	43.0	26.0	22.0	26.0	12.0	20.0
alpha_rarefaction_1048_9.txt	1048	9	35.0	24.0	20.0	33.0	14.0	16.0
alpha_rarefaction_1394_0.txt	1394	0	37.0	17.0	20.0	33.0	11.0	13.0
alpha_rarefaction_1394_1.txt	1394	1	44.0	14.0	22.0	34.0	14.0	14.0
alpha_rarefaction_1394_2.txt	1394	2	52.0	15.0	16.0	30.0	14.0	15.0
alpha_rarefaction_1394_3.txt	1394	3	46.0	19.0	21.0	34.0	11.0	19.0
alpha_rarefaction_1394_4.txt	1394	4	34.0	21.0	30.0	29.0	9.0	17.0
alpha_rarefaction_1394_5.txt	1394	5	56.0	22.0	23.0	27.0	11.0	16.0
alpha_rarefaction_1394_6.txt	1394	6	44.0	15.0	29.0	34.0	13.0	15.0
alpha_rarefaction_1394_7.txt	1394	7	34.0	19.0	22.0	29.0	13.0	21.0
alpha_rarefaction_1394_8.txt	1394	8	41.0	26.0	20.0	28.0	17.0	15.0
alpha_rarefaction_1394_9.txt	1394	9	50.0	21.0	21.0	31.0	13.0	17.0
alpha_rarefaction_1740_0.txt	1740	0	47.0	22.0	22.0	36.0	9.0	15.0
alpha_rarefaction_1740_1.txt	1740	1	36.0	17.0	25.0	35.0	12.0	15.0
alpha_rarefaction_1740_2.txt	1740	2	31.0	24.0	14.0	31.0	14.0	21.0
alpha_rarefaction_1740_3.txt	1740	3	41.0	23.0	25.0	32.0	13.0	16.0
alpha_rarefaction_1740_4.txt	1740	4	39.0	17.0	29.0	31.0	12.0	14.0
alpha_rarefaction_1740_5.txt	1740	5	37.0	25.0	26.0	33.0	18.0	21.0
alpha_rarefaction_1740_6.txt	1740	6	46.0	18.0	26.0	25.0	18.0	14.0
alpha_rarefaction_1740_7.txt	1740	7	49.0	11.0	27.0	29.0	15.0	21.0
alpha_rarefaction_1740_8.txt	1740	8	42.0	21.0	27.0	28.0	15.0	18.0
alpha_rarefaction_1740_9.txt	1740	9	44.0	14.0	22.0	34.0	13.0	18.0
alpha_rarefaction_2086_0.txt	2086	0	38.0	14.0	24.0	33.0	12.0	15.0
alpha_rarefaction_2086_1.txt	2086	1	38.0	19.0	26.0	30.0	10.0	12.0
alpha_rarefaction_2086_2.txt	2086	2	34.0	11.0	31.0	37.0	17.0	20.0
alpha_rarefaction_2086_3.txt	2086	3	33.0	17.0	22.0	33.0	13.0	14.0
alpha_rarefaction_2086_4.txt	2086	4	29.0	15.0	24.0	33.0	16.0	22.0
alpha_rarefaction_2086_5.txt	2086	5	43.0	22.0	29.0	29.0	14.0	12.0
alpha_rarefaction_2086_6.txt	2086	6	35.0	13.0	26.0	30.0	10.0	20.0
alpha_rarefaction_2086_7.txt	2086	7	34.0	16.0	15.0	29.0	13.0	20.0
alpha_rarefaction_2086_8.txt	2086	8	39.0	15.0	17.0	35.0	13.0	18.0
alpha_rarefaction_2086_9.txt	2086	9	35.0	18.0	25.0	30.0	13.0	17.0
alpha_rarefaction_2432_0.txt	2432	0	29.0	19.0	23.0	28.0	7.0	12.0
alpha_rarefaction_2432_1.txt	2432	1	37.0	20.0	26.0	29.0	13.0	13.0
alpha_rarefaction_2432_2.txt	2432	2	34.0	23.0	29.0	28.0	12.0	14.0
alpha_rarefaction_2432_3.txt	2432	3	31.0	15.0	26.0	35.0	11.0	19.0
alpha_rarefaction_2432_4.txt	2432	4	38.0	14.0	36.0	30.0	16.0	15.0
alpha_rarefaction_2432_5.txt	2432	5	39.0	14.0	27.0	33.0	13.0	14.0
alpha_rarefaction_2432_6.txt	2432	6	37.0	18.0	35.0	30.0	14.0	24.0
alpha_rarefaction_2432_7.txt	2432	7	34.0	13.0	25.0	36.0	13.0	18.0
alpha_rarefaction_2432_8.txt	2432	8	36.0	15.0	19.0	27.0	10.0	19.0
alpha_rarefaction_2432_9.txt	2432	9	31.0	11.0	23.0	31.0	12.0	15.0
alpha_rarefaction_2778_0.txt	2778	0	32.0	14.0	24.0	28.0	16.0	13.0
alpha_rarefaction_2778_1.txt	2778	1	30.0	14.0	24.0	31.0	11.0	18.0
alpha_rarefaction_2778_2.txt	2778	2	34.0	14.0	32.0	29.0	18.0	16.0
alpha_rarefaction_2778_3.txt	2778	3	27.0	15.0	27.0	33.0	15.0	18.0
alpha_rarefaction_2778_4.txt	2778	4	34.0	16.0	22.0	32.0	8.0	17.0
alpha_rarefaction_2778_5.txt	2778	5	27.0	13.0	31.0	34.0	15.0	15.0
alpha_rarefaction_2778_6.txt	2778	6	27.0	14.0	35.0	36.0	13.0	20.0
alpha_rarefaction_2778_7.txt	2778	7	28.0	18.0	31.0	31.0	10.0	12.0
alpha_rarefaction_2778_8.txt	2778	8	33.0	13.0	32.0	30.0	12.0	16.0
alpha_rarefaction_2778_9.txt	2778	9	38.0	18.0	28.0	30.0	13.0	21.0
alpha_rarefaction_3124_0.txt	3124	0	29.0	17.0	31.0	31.0	13.0	19.0
alpha_rarefaction_3124_1.txt	3124	1	27.0	11.0	32.0	28.0	14.0	24.0
alpha_rarefaction_3124_2.txt	3124	2	31.0	16.0	18.0	30.0	13.0	24.0
alpha_rarefaction_3124_3.txt	3124	3	21.0	15.0	34.0	28.0	14.0	16.0
alpha_rarefaction_3124_4.txt	3124	4	27.0	16.0	32.0	28.0	15.0	16.0
alpha_rarefaction_3124_5.txt	3124	5	31.0	15.0	31.0	33.0	15.0	18.0
alpha_rarefaction_3124_6.txt	3124	6	31.0	18.0	19.0	31.0	13.0	20.0
alpha_rarefaction_3124_7.txt	3124	7	25.0	16.0	30.0	26.0	12.0	15.0
alpha_rarefaction_3124_8.txt	3124	8	15.0	14.0	31.0	28.0	14.0	16.0
alpha_rarefaction_3124_9.txt	3124	9	20.0	18.0	22.0	32.0	11.0	15.0
alpha_rarefaction_3470_0.txt	3470	0	30.0	14.0	27.0	27.0	14.0	13.0
alpha_rarefaction_3470_1.txt	3470	1	35.0	15.0	29.0	26.0	14.0	17.0
alpha_rarefaction_3470_2.txt	3470	2	25.0	12.0	34.0	27.0	14.0	15.0
alpha_rarefaction_3470_3.txt	3470	3	20.0	16.0	27.0	28.0	14.0	11.0
alpha_rarefaction_3470_4.txt	3470	4	30.0	13.0	25.0	28.0	14.0	15.0
alpha_rarefaction_3470_5.txt	3470	5	32.0	17.0	28.0	27.0	14.0	19.0
alpha_rarefaction_3470_6.txt	3470	6	24.0	12.0	24.0	27.0	14.0	23.0
alpha_rarefaction_3470_7.txt	3470	7	30.0	12.0	30.0	26.0	14.0	14.0
alpha_rarefaction_3470_8.txt	3470	8	23.0	13.0	24.0	27.0	14.0	24.0
alpha_rarefaction_3470_9.txt	3470	9	28.0	12.0	22.0	27.0	14.0	16.0
