taxonomy	S1_1_16s	S2_1_16s	S3_1_16s	S4_1_16s
Crenarchaeota	0.4152190492	0.2121095256	4.5924117205	2.3911425381
Euryarchaeota	1.0761799847	0.1446201311	42.4305033809	0.3535541496
[Parvarchaeota]	0.0169477163	0.0192826841	0.5634861007	0.2419054708
AC1	0	0	0	0.0093040566
AD3	1.5422421829	1.156961049	0.009391435	0.0465202828
Acidobacteria	24.7267180747	21.3266486695	0.6386175808	19.371045776
Actinobacteria	7.2536225744	8.4940223679	0.5540946657	6.0197245999
AncK6	0	0	0	0.0186081131
Armatimonadetes	0.1610033048	0.260316236	0.009391435	0.2512095274
BRC1	0.0084738581	0	0.028174305	0.0279121697
Bacteroidetes	1.7964579273	1.6101041265	8.9218632607	4.0565686639
Caldithrix	0	0	0.0563486101	0
Chlamydiae	0.0847385815	0.0385653683	0.028174305	0.1860811314
Chlorobi	0.0254215744	0.0964134207	0.0469571751	0.474506885
Chloroflexi	5.9825438522	6.2186656383	4.1134485349	3.4983252698
Cyanobacteria	0.0677908652	0.2795989202	0.0751314801	0.3535541496
Deferribacteres	0.0084738581	0	0.1690458302	0
Elusimicrobia	0.4067451911	0.3181642885	0	0.344250093
FBP	0.0084738581	0	0	0
FCPU426	0	0	0.009391435	0.0186081131
Fibrobacteres	0	0.0096413421	0.0563486101	0.0465202828
Firmicutes	0.8728073892	0.9737755496	2.3948159279	0.9304056569
GAL15	0.0423692907	0.0289240262	0	0
GN02	0	0	0	0.0093040566
GN04	0	0	0.03756574	0.0186081131
Gemmatimonadetes	2.237098551	3.6347859622	7.6352366642	2.0096762188
NC10	0	0.6363285769	0	0.0930405657
NKB19	0.0084738581	0	0.01878287	0
Nitrospirae	1.6269807643	2.3042807559	0.028174305	0.6326758467
OD1	0.0338954326	0.0771307366	0.0563486101	0.1023446223
OP1	0.1355817304	0.0096413421	6.3673929376	0.0093040566
OP11	0	0.0096413421	0.009391435	0
OP3	0.0169477163	0.0192826841	0.01878287	0.0558243394
OP8	0	0	0.0751314801	0
PAUC34f	0	0	0.01878287	0
Planctomycetes	3.1692229472	3.3262630158	0.7231404959	2.242277633
Proteobacteria	35.6410473689	34.535287312	17.2145003757	48.3717901005
SAR406	0.0338954326	0	0.5822689707	0
SBR1093	0.0169477163	0	0.1784372652	0
Spirochaetes	0.0423692907	0.0578480524	1.9064613073	0.130256792
Synergistetes	0	0	0.009391435	0
TM6	0.1016862978	0.0289240262	0	0.0930405657
TM7	0.0847385815	0.0385653683	0.009391435	0.0279121697
Tenericutes	0	0.0096413421	0	0.0186081131
Thermotogae	0.0084738581	0	0	0
Verrucomicrobia	11.8464536904	13.5171615889	0.1502629602	6.9036099739
WPS-2	0.1101601559	0.0096413421	0	0.0279121697
WS1	0.0084738581	0	0.028174305	0
WS2	0	0	0	0.0186081131
WS3	0.3559020422	0.5784805245	0.009391435	0.5768515073
WS4	0	0.0192826841	0.009391435	0.0093040566
[Thermi]	0.0254215744	0	0.2160030053	0.0093040566
