taxonomy	S1_1_16s	S2_1_16s	S3_1_16s	S4_1_16s
Crenarchaeota	0.4150783566	0.2125809257	4.5645870358	2.3898084434
Euryarchaeota	1.0758153325	0.1449415402	42.2785520531	0.3440580249
[Parvarchaeota]	0.0169419737	0.0193255387	0.5425123936	0.2696671006
AC1	0	0	0	0.0092988655
AD3	1.5078356629	1.1402067833	0.009353662	0.0557931932
Acidobacteria	24.7606946209	21.1228137984	0.6547563371	19.3881346476
Actinobacteria	7.234222787	8.4742487197	0.5518660556	5.9698716757
AncK6	0	0	0	0.0185977311
Armatimonadetes	0.1694197374	0.2802203111	0.009353662	0.2510693695
BRC1	0.0084709869	0	0.0374146478	0.0092988655
Bacteroidetes	1.8043202033	1.6136824814	9.0824057619	4.0357076437
Caldithrix	0	0	0.0561219718	0
Chlamydiae	0.0847098687	0.0579766161	0.0280609859	0.1859773108
Chlorobi	0.0254129606	0.0966276935	0.0561219718	0.4742421425
Chloroflexi	5.9551037696	6.2614745386	4.1717332336	3.4591779803
Cyanobacteria	0.0762388818	0.2802203111	0.0748292957	0.3347591594
Deferribacteres	0.0084709869	0	0.2057805631	0
Elusimicrobia	0.4150783566	0.3092086192	0	0.3533568905
FBP	0.0084709869	0	0	0
FCPU426	0	0	0.009353662	0.0185977311
Fibrobacteres	0	0.0096627693	0.0561219718	0.0464943277
Firmicutes	0.8979246082	0.9759397043	2.4132447853	0.9019899572
GAL15	0.0423549343	0.028988308	0	0
GN02	0	0	0	0.0092988655
GN04	0	0	0.0374146478	0.0185977311
Gemmatimonadetes	2.2363405337	3.6332012755	7.6700028061	1.9899572252
NC10	0	0.6474055464	0	0.1022875209
NKB19	0.0084709869	0	0.0187073239	0
Nitrospirae	1.6433714528	2.2997391052	0.0280609859	0.6974149154
OD1	0.0254129606	0.0773021548	0.0561219718	0.0836897898
OP1	0.1355357899	0.0096627693	6.332429146	0.0092988655
OP11	0	0.0096627693	0.0374146478	0
OP3	0.0169419737	0.0193255387	0.0187073239	0.0557931932
OP8	0	0	0.0748292957	0
PAUC34f	0	0	0.0187073239	0
Planctomycetes	3.1342651419	3.2660160402	0.682817323	2.2410265948
Proteobacteria	35.7052096569	34.6990047348	17.1359087083	48.3912962619
SAR406	0.0338839475	0	0.5986343654	0
SBR1093	0.0169419737	0	0.1964269011	0.0092988655
Spirochaetes	0.0508259212	0.0676393854	1.8707323917	0.1487818486
Synergistetes	0	0	0.009353662	0
TM6	0.1016518424	0.028988308	0	0.1022875209
TM7	0.0847098687	0.0483138467	0.009353662	0.0278965966
Tenericutes	0	0.0096627693	0	0.0185977311
Thermotogae	0.0084709869	0	0	0
Verrucomicrobia	11.791613723	13.5278770896	0.1309512674	6.9462525572
WPS-2	0.1101228293	0.0096627693	0	0.0278965966
WS1	0.0084709869	0	0.0280609859	0
WS2	0	0	0	0.0278965966
WS3	0.3557814485	0.5990916997	0.009353662	0.5579319323
WS4	0	0.0193255387	0.009353662	0.0092988655
[Thermi]	0.0254129606	0	0.224487887	0.0092988655
