	observed_species	chao1	simpson	shannon	goods_coverage	observed	singles	doubles
T1	119.0	131.666666667	0.903979457963	4.34597353047	0.997468033928	119.0	20.0	14.0
TS4	99.0	112.153846154	0.839638414474	3.58832402362	0.997594632232	99.0	19.0	12.0
T9	121.0	131.5	0.896590341785	4.38266746037	0.998101025446	121.0	15.0	9.0
T2	133.0	147.0	0.912987731023	4.63217269393	0.997341435625	133.0	21.0	14.0
MN15	112.0	141.076923077	0.808970179777	3.68131336896	0.9964552475	112.0	28.0	12.0
MN12	125.0	137.75	0.91016070548	4.42746127161	0.997721230536	125.0	18.0	11.0
SM2	58.0	66.6666666667	0.627201909357	1.97687291383	0.998354222053	58.0	13.0	8.0
MN13	90.0	113.75	0.840378579413	3.60423962608	0.997468033928	90.0	20.0	7.0
MT213	85.0	89.5833333333	0.737878060174	2.87437575305	0.998607418661	85.0	11.0	11.0
TL1	106.0	110.090909091	0.907624508246	4.4288102906	0.998734016964	106.0	10.0	10.0
SM4	104.0	111.583333333	0.752637284353	3.08229599982	0.99822762375	104.0	14.0	11.0
MT210	59.0	94.0	0.529008681432	1.76830621095	0.997341435625	59.0	21.0	5.0
MT209	73.0	86.2	0.7523401093	2.94560954964	0.998480820357	73.0	12.0	4.0
TS6	67.0	101.5	0.700338033017	2.33561471978	0.996961640714	67.0	24.0	7.0
TS8	80.0	92.1578947368	0.436046484512	1.87764610438	0.997214837321	80.0	22.0	18.0
TL2	114.0	135.0	0.90150195208	4.27519589731	0.997341435625	114.0	21.0	9.0
SM5	41.0	54.0	0.595337634021	1.69816141761	0.998354222053	41.0	13.0	5.0
TL3	99.0	106.5	0.875717087875	4.13143681318	0.998734016964	99.0	10.0	5.0
