	sequences per sample	iteration	T1	TS4	T9	T2	MN15	MN12	SM2	MN13	MT213	TL1	SM4	MT210	MT209	TS6	TS8	TL2	SM5	TL3
alpha_rarefaction_10_0.txt	10	0	1.34785	0.39511	1.73123	1.8023	1.38412	1.15151	0.01165	1.28986	0.95856	1.60024	0.85846	0.15612	0.93059	0.16319	0.45562	1.87225	0.02085	2.2961
alpha_rarefaction_10_1.txt	10	1	1.5216	0.41353	1.3815	1.75002	1.42206	1.76993	0.16319	1.17013	0.74135	1.65257	0.36188	0.02085	0.66266	0.21801	0.37439	1.16747	0.01165	1.93786
alpha_rarefaction_10_2.txt	10	2	1.15548	0.49899	1.0883	1.69449	0.83127	1.12462	0.02645	1.31229	1.0632	2.057	0.50127	0.01165	0.81142	0.83673	0.88503	1.34029	0.03565	1.74988
alpha_rarefaction_10_3.txt	10	3	1.87857	0.36847	1.32009	1.80331	1.39325	1.11924	0.69664	1.54139	1.41809	1.97245	0.6166	0.23085	0.28277	0.36537	0.37094	1.53338	0.08475	1.46276
alpha_rarefaction_10_4.txt	10	4	1.19181	0.35341	1.89803	1.9752	1.53914	1.12767	0.56178	1.15816	0.02085	1.52144	1.03716	0.02085	1.17872	0.16319	0.15667	1.71207	0.01165	1.50495
alpha_rarefaction_10_5.txt	10	5	1.00332	0.38383	0.91185	1.70183	1.30444	1.37354	0.57625	1.31096	0.28978	1.62873	1.39188	0.01165	1.48383	0.39539	0.35751	1.73473	0.02085	1.49385
alpha_rarefaction_10_6.txt	10	6	0.95901	0.36014	1.86031	1.35626	1.3495	1.16597	0.16319	1.79824	0.94438	1.79891	0.06249	0.23085	1.04571	0.17079	0.88571	1.68136	0.01165	2.05336
alpha_rarefaction_10_7.txt	10	7	1.86153	1.04087	1.18751	1.69192	1.47048	1.28079	0.02645	1.43852	0.94438	1.49899	1.43148	0.56213	0.63258	0.16319	0.44065	1.52708	0.02085	2.10284
alpha_rarefaction_10_8.txt	10	8	0.45402	0.55552	1.37528	1.89357	1.27646	1.23818	0.02645	1.35828	0.95358	1.43831	0.80331	0.57022	0.55301	0.45174	1.10332	1.78009	0.02085	1.53317
alpha_rarefaction_10_9.txt	10	9	1.42546	1.07178	1.17905	1.76908	0.82001	1.50238	0.91379	1.50818	0.56549	1.89941	0.61313	0.02645	0.56178	0.16319	0.36935	1.58226	0.10738	1.94256
alpha_rarefaction_798_0.txt	798	0	7.35448	5.21852	6.42729	7.70816	5.02859	5.1129	2.20443	4.149	4.79842	7.29194	5.07936	3.01959	4.34335	3.48329	3.82187	7.20032	1.6892	8.16099
