	sequences per sample	iteration	T1	TS4	T9	T2	MN15	MN12	SM2	MN13	MT213	TL1	SM4	MT210	MT209	TS6	TS8	TL2	SM5	TL3
alpha_rarefaction_10_0.txt	10	0	22.0	13.0	29.0	23.0	12.0	8.0	2.0	29.0	4.5	6.5	6.5	2.0	5.0	3.0	7.0	29.0	3.0	23.0
alpha_rarefaction_10_1.txt	10	1	12.0	12.0	29.0	12.0	11.0	55.0	3.0	6.5	5.33333333333	8.5	4.0	3.0	7.0	5.0	3.0	5.33333333333	2.0	23.0
alpha_rarefaction_10_2.txt	10	2	23.0	9.0	7.0	12.0	4.5	13.0	3.0	6.5	4.5	23.0	5.0	2.0	4.0	5.5	7.0	6.2	5.0	7.0
alpha_rarefaction_10_3.txt	10	3	12.0	8.0	8.5	12.0	9.0	12.0	8.0	12.0	22.0	13.0	16.0	4.5	8.0	5.0	7.0	8.5	5.0	9.0
alpha_rarefaction_10_4.txt	10	4	12.0	7.0	23.0	23.0	22.0	9.0	3.0	16.0	3.0	12.0	16.0	3.0	16.0	3.0	2.0	13.0	2.0	12.0
alpha_rarefaction_10_5.txt	10	5	9.0	12.0	12.0	7.0	11.0	13.0	4.5	5.5	3.0	23.0	9.0	2.0	13.0	8.0	3.0	29.0	3.0	4.5
alpha_rarefaction_10_6.txt	10	6	9.0	7.0	12.0	12.0	16.0	8.5	3.0	8.5	5.0	12.0	3.0	5.0	12.0	3.0	4.5	8.5	2.0	8.5
alpha_rarefaction_10_7.txt	10	7	13.0	13.0	9.0	8.5	9.0	12.0	3.0	9.0	4.0	5.5	12.0	3.0	4.5	3.0	11.0	8.5	3.0	23.0
alpha_rarefaction_10_8.txt	10	8	12.0	6.5	13.0	29.0	12.0	5.0	3.0	8.0	6.5	12.0	4.5	3.0	4.5	8.0	9.0	13.0	3.0	6.2
alpha_rarefaction_10_9.txt	10	9	13.0	12.0	6.5	13.0	4.0	12.0	5.5	9.0	4.0	23.0	6.5	3.0	3.0	3.0	7.0	7.0	6.5	12.0
alpha_rarefaction_798_0.txt	798	0	99.0	108.0	91.0	94.8823529412	128.666666667	145.6	27.0	61.5625	70.3333333333	88.0833333333	129.6	45.5	51.6666666667	57.6666666667	69.6	82.7692307692	15.5	86.0
alpha_rarefaction_798_1.txt	798	1	113.111111111	95.5	94.3125	91.8125	93.5	94.0	48.2	82.25	73.1428571429	80.0	85.3333333333	69.5	48.75	44.375	50.6	97.5	18.6666666667	66.7142857143
alpha_rarefaction_798_2.txt	798	2	89.6666666667	72.0909090909	105.909090909	107.25	91.0	95.6666666667	45.2	64.3636363636	94.0	81.1	68.6153846154	37.75	65.125	32.625	58.4285714286	73.5	22.2	91.0
