	sequences per sample	iteration	T1	TS4	T9	T2	MN15	MN12	SM2	MN13	MT213	TL1	SM4	MT210	MT209	TS6	TS8	TL2	SM5	TL3
alpha_rarefaction_10_0.txt	10	0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0
alpha_rarefaction_10_1.txt	10	1	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	3.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0
alpha_rarefaction_10_2.txt	10	2	1.0	1.0	2.0	1.0	1.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	4.0	0.0	2.0
alpha_rarefaction_10_3.txt	10	3	1.0	0.0	3.0	1.0	1.0	1.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	1.0
alpha_rarefaction_10_4.txt	10	4	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	1.0
alpha_rarefaction_10_5.txt	10	5	1.0	1.0	1.0	2.0	0.0	2.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0
alpha_rarefaction_10_6.txt	10	6	1.0	0.0	1.0	1.0	0.0	3.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	3.0
alpha_rarefaction_10_7.txt	10	7	2.0	2.0	1.0	3.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	3.0	0.0	1.0
alpha_rarefaction_10_8.txt	10	8	0.0	1.0	2.0	0.0	1.0	3.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	2.0	1.0	4.0
alpha_rarefaction_10_9.txt	10	9	2.0	1.0	1.0	2.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	0.0	2.0	1.0	1.0
alpha_rarefaction_798_0.txt	798	0	12.0	6.0	10.0	16.0	5.0	9.0	2.0	15.0	8.0	11.0	4.0	5.0	8.0	5.0	4.0	12.0	3.0	13.0
alpha_rarefaction_798_1.txt	798	1	8.0	3.0	15.0	15.0	9.0	11.0	4.0	7.0	6.0	8.0	8.0	1.0	11.0	7.0	4.0	9.0	5.0	13.0
alpha_rarefaction_798_2.txt	798	2	8.0	10.0	10.0	11.0	5.0	14.0	4.0	10.0	5.0	9.0	12.0	3.0	7.0	7.0	6.0	15.0	4.0	10.0
alpha_rarefaction_798_3.txt	798	3	10.0	6.0	12.0	12.0	9.0	13.0	7.0	13.0	12.0	9.0	12.0	3.0	7.0	8.0	6.0	10.0	2.0	13.0
alpha_rarefaction_798_4.txt	798	4	5.0	15.0	16.0	7.0	9.0	11.0	3.0	10.0	12.0	13.0	6.0	2.0	8.0	2.0	3.0	12.0	0.0	13.0
alpha_rarefaction_798_5.txt	798	5	14.0	7.0	13.0	13.0	10.0	10.0	2.0	13.0	11.0	7.0	10.0	2.0	5.0	5.0	5.0	12.0	3.0	15.0
alpha_rarefaction_798_6.txt	798	6	10.0	9.0	7.0	10.0	9.0	13.0	6.0	9.0	5.0	10.0	8.0	4.0	5.0	3.0	2.0	9.0	2.0	10.0
alpha_rarefaction_798_7.txt	798	7	10.0	12.0	13.0	16.0	6.0	18.0	4.0	12.0	7.0	13.0	11.0	3.0	4.0	5.0	8.0	11.0	4.0	11.0
alpha_rarefaction_798_8.txt	798	8	9.0	9.0	9.0	12.0	12.0	12.0	8.0	9.0	5.0	9.0	15.0	4.0	9.0	2.0	2.0	9.0	2.0	10.0
alpha_rarefaction_798_9.txt	798	9	12.0	7.0	7.0	16.0	7.0	12.0	0.0	17.0	13.0	11.0	9.0	3.0	9.0	7.0	0.0	14.0	3.0	13.0
alpha_rarefaction_1586_0.txt	1586	0	10.0	11.0	15.0	11.0	11.0	14.0	6.0	7.0	12.0	4.0	21.0	7.0	11.0	6.0	3.0	6.0	2.0	7.0
alpha_rarefaction_1586_1.txt	1586	1	8.0	15.0	15.0	16.0	14.0	15.0	5.0	13.0	8.0	8.0	11.0	8.0	7.0	6.0	7.0	9.0	1.0	12.0
alpha_rarefaction_1586_2.txt	1586	2	18.0	8.0	14.0	10.0	12.0	10.0	4.0	12.0	8.0	13.0	14.0	5.0	8.0	3.0	4.0	5.0	7.0	11.0
alpha_rarefaction_1586_3.txt	1586	3	16.0	6.0	11.0	15.0	5.0	13.0	5.0	10.0	11.0	14.0	15.0	6.0	9.0	3.0	6.0	8.0	5.0	9.0
alpha_rarefaction_1586_4.txt	1586	4	12.0	12.0	14.0	13.0	6.0	16.0	8.0	7.0	6.0	16.0	11.0	7.0	8.0	5.0	5.0	11.0	3.0	11.0
alpha_rarefaction_1586_5.txt	1586	5	16.0	12.0	11.0	21.0	15.0	10.0	4.0	7.0	11.0	12.0	14.0	5.0	5.0	4.0	5.0	11.0	4.0	6.0
alpha_rarefaction_1586_6.txt	1586	6	8.0	12.0	14.0	16.0	9.0	16.0	8.0	8.0	13.0	9.0	10.0	6.0	11.0	4.0	6.0	5.0	5.0	8.0
alpha_rarefaction_1586_7.txt	1586	7	8.0	14.0	21.0	7.0	8.0	12.0	8.0	7.0	13.0	5.0	18.0	6.0	4.0	6.0	2.0	11.0	9.0	5.0
alpha_rarefaction_1586_8.txt	1586	8	8.0	11.0	12.0	11.0	7.0	16.0	6.0	8.0	7.0	9.0	17.0	6.0	6.0	6.0	8.0	6.0	4.0	8.0
alpha_rarefaction_1586_9.txt	1586	9	10.0	12.0	12.0	13.0	8.0	18.0	5.0	5.0	9.0	10.0	18.0	4.0	9.0	7.0	6.0	7.0	5.0	12.0
alpha_rarefaction_2374_0.txt	2374	0	10.0	11.0	13.0	19.0	17.0	12.0	5.0	9.0	11.0	10.0	18.0	4.0	7.0	6.0	6.0	9.0	5.0	8.0
alpha_rarefaction_2374_1.txt	2374	1	13.0	15.0	16.0	16.0	12.0	14.0	7.0	9.0	9.0	10.0	13.0	5.0	7.0	6.0	7.0	15.0	4.0	11.0
alpha_rarefaction_2374_2.txt	2374	2	13.0	13.0	14.0	13.0	10.0	15.0	8.0	6.0	11.0	12.0	15.0	5.0	6.0	8.0	7.0	8.0	4.0	8.0
alpha_rarefaction_2374_3.txt	2374	3	12.0	10.0	8.0	17.0	10.0	10.0	10.0	6.0	11.0	12.0	13.0	4.0	7.0	4.0	3.0	9.0	4.0	10.0
alpha_rarefaction_2374_4.txt	2374	4	16.0	15.0	15.0	11.0	13.0	13.0	12.0	6.0	12.0	7.0	12.0	6.0	7.0	5.0	9.0	11.0	4.0	9.0
alpha_rarefaction_2374_5.txt	2374	5	16.0	7.0	15.0	12.0	12.0	16.0	9.0	4.0	8.0	7.0	16.0	8.0	10.0	8.0	5.0	8.0	2.0	9.0
alpha_rarefaction_2374_6.txt	2374	6	11.0	12.0	14.0	11.0	13.0	12.0	9.0	9.0	7.0	8.0	12.0	4.0	11.0	3.0	5.0	9.0	5.0	17.0
alpha_rarefaction_2374_7.txt	2374	7	12.0	6.0	16.0	14.0	12.0	8.0	6.0	8.0	5.0	13.0	17.0	5.0	9.0	8.0	6.0	11.0	4.0	11.0
alpha_rarefaction_2374_8.txt	2374	8	13.0	12.0	14.0	12.0	7.0	12.0	9.0	7.0	5.0	9.0	15.0	2.0	11.0	8.0	7.0	20.0	5.0	10.0
alpha_rarefaction_2374_9.txt	2374	9	18.0	11.0	8.0	16.0	10.0	19.0	3.0	6.0	8.0	10.0	16.0	8.0	5.0	4.0	8.0	5.0	7.0	6.0
alpha_rarefaction_3162_0.txt	3162	0	18.0	11.0	17.0	12.0	14.0	16.0	6.0	4.0	7.0	14.0	13.0	6.0	6.0	8.0	5.0	15.0	6.0	3.0
alpha_rarefaction_3162_1.txt	3162	1	14.0	9.0	20.0	12.0	7.0	17.0	6.0	4.0	10.0	14.0	9.0	9.0	8.0	5.0	6.0	5.0	5.0	10.0
alpha_rarefaction_3162_2.txt	3162	2	15.0	16.0	8.0	14.0	9.0	10.0	6.0	9.0	10.0	11.0	19.0	9.0	8.0	1.0	9.0	13.0	4.0	3.0
alpha_rarefaction_3162_3.txt	3162	3	14.0	11.0	10.0	14.0	7.0	14.0	11.0	8.0	7.0	11.0	15.0	4.0	5.0	11.0	11.0	14.0	4.0	12.0
