	sequences per sample	iteration	T1	TS4	T9	T2	MN15	MN12	SM2	MN13	MT213	TL1	SM4	MT210	MT209	TS6	TS8	TL2	SM5	TL3
alpha_rarefaction_10_0.txt	10	0	0.4	0.4	0.3	0.2	0.6	0.7	1.0	0.3	0.8	0.7	0.7	0.9	0.8	1.0	0.7	0.3	1.0	0.2
alpha_rarefaction_10_1.txt	10	1	0.5	0.5	0.3	0.5	0.6	0.0	1.0	0.7	0.8	0.6	0.9	0.9	0.7	0.8	0.9	0.8	1.0	0.2
alpha_rarefaction_10_2.txt	10	2	0.2	0.6	0.7	0.5	0.8	0.4	0.9	0.7	0.8	0.2	0.8	1.0	0.9	0.8	0.7	0.8	0.8	0.7
alpha_rarefaction_10_3.txt	10	3	0.5	0.7	0.6	0.5	0.6	0.5	0.7	0.5	0.4	0.4	0.5	0.8	0.7	0.8	0.7	0.6	0.8	0.6
alpha_rarefaction_10_4.txt	10	4	0.5	0.7	0.2	0.2	0.4	0.6	0.9	0.5	0.9	0.6	0.5	0.9	0.5	1.0	0.9	0.4	1.0	0.5
alpha_rarefaction_10_5.txt	10	5	0.6	0.5	0.5	0.7	0.6	0.4	0.8	0.8	0.9	0.2	0.6	1.0	0.4	0.7	0.9	0.3	0.9	0.8
alpha_rarefaction_10_6.txt	10	6	0.6	0.7	0.5	0.5	0.5	0.6	0.9	0.6	0.8	0.5	0.9	0.8	0.6	0.9	0.8	0.6	1.0	0.6
alpha_rarefaction_10_7.txt	10	7	0.4	0.4	0.6	0.6	0.6	0.5	0.9	0.6	0.9	0.8	0.5	0.9	0.8	1.0	0.6	0.6	0.9	0.2
alpha_rarefaction_10_8.txt	10	8	0.6	0.7	0.4	0.3	0.5	0.9	0.9	0.7	0.7	0.5	0.8	0.9	0.8	0.7	0.6	0.4	1.0	0.8
alpha_rarefaction_10_9.txt	10	9	0.4	0.5	0.7	0.4	0.8	0.5	0.8	0.6	0.9	0.2	0.7	1.0	1.0	0.9	0.7	0.7	0.7	0.5
alpha_rarefaction_798_0.txt	798	0	0.966165413534	0.964912280702	0.972431077694	0.971177944862	0.96365914787	0.953634085213	0.991228070175	0.981203007519	0.973684210526	0.971177944862	0.964912280702	0.981203007519	0.983709273183	0.978696741855	0.977443609023	0.972431077694	0.994987468672	0.973684210526
alpha_rarefaction_798_1.txt	798	1	0.96365914787	0.974937343358	0.967418546366	0.971177944862	0.967418546366	0.96992481203	0.982456140351	0.973684210526	0.974937343358	0.977443609023	0.968671679198	0.982456140351	0.981203007519	0.982456140351	0.983709273183	0.967418546366	0.99373433584	0.984962406015
alpha_rarefaction_798_2.txt	798	2	0.972431077694	0.973684210526	0.966165413534	0.966165413534	0.973684210526	0.967418546366	0.982456140351	0.978696741855	0.96992481203	0.97619047619	0.974937343358	0.986215538847	0.977443609023	0.987468671679	0.978696741855	0.978696741855	0.991228070175	0.972431077694
alpha_rarefaction_798_3.txt	798	3	0.973684210526	0.978696741855	0.96365914787	0.966165413534	0.972431077694	0.971177944862	0.987468671679	0.982456140351	0.974937343358	0.974937343358	0.968671679198	0.99373433584	0.982456140351	0.982456140351	0.978696741855	0.972431077694	0.988721804511	0.982456140351
alpha_rarefaction_798_4.txt	798	4	0.959899749373	0.981203007519	0.967418546366	0.96992481203	0.972431077694	0.961152882206	0.991228070175	0.979949874687	0.971177944862	0.979949874687	0.972431077694	0.982456140351	0.981203007519	0.982456140351	0.986215538847	0.973684210526	0.991228070175	0.981203007519
alpha_rarefaction_798_5.txt	798	5	0.97619047619	0.971177944862	0.96992481203	0.967418546366	0.964912280702	0.973684210526	0.986215538847	0.979949874687	0.96992481203	0.97619047619	0.96992481203	0.984962406015	0.973684210526	0.981203007519	0.982456140351	0.97619047619	0.99373433584	0.97619047619
alpha_rarefaction_798_6.txt	798	6	0.968671679198	0.981203007519	0.972431077694	0.961152882206	0.973684210526	0.968671679198	0.987468671679	0.981203007519	0.96992481203	0.974937343358	0.96992481203	0.988721804511	0.987468671679	0.989974937343	0.977443609023	0.96365914787	0.988721804511	0.977443609023
alpha_rarefaction_798_7.txt	798	7	0.973684210526	0.973684210526	0.968671679198	0.959899749373	0.966165413534	0.96365914787	0.986215538847	0.97619047619	0.971177944862	0.979949874687	0.972431077694	0.986215538847	0.974937343358	0.989974937343	0.982456140351	0.971177944862	0.988721804511	0.96992481203
alpha_rarefaction_798_8.txt	798	8	0.966165413534	0.978696741855	0.968671679198	0.967418546366	0.973684210526	0.971177944862	0.989974937343	0.973684210526	0.968671679198	0.978696741855	0.97619047619	0.988721804511	0.979949874687	0.987468671679	0.982456140351	0.983709273183	0.991228070175	0.984962406015
