	sequences per sample	iteration	T1	TS4	T9	T2	MN15	MN12	SM2	MN13	MT213	TL1	SM4	MT210	MT209	TS6	TS8	TL2	SM5	TL3
alpha_rarefaction_10_0.txt	10	0	7.0	8.0	8.0	9.0	6.0	5.0	2.0	8.0	4.0	5.0	5.0	2.0	4.0	3.0	4.0	8.0	3.0	9.0
alpha_rarefaction_10_1.txt	10	1	7.0	7.0	8.0	7.0	5.0	10.0	3.0	5.0	5.0	7.0	4.0	3.0	4.0	4.0	3.0	5.0	2.0	9.0
alpha_rarefaction_10_2.txt	10	2	9.0	6.0	6.0	7.0	4.0	8.0	3.0	5.0	4.0	9.0	4.0	2.0	4.0	5.0	4.0	6.0	4.0	6.0
alpha_rarefaction_10_3.txt	10	3	7.0	5.0	7.0	7.0	6.0	7.0	5.0	7.0	7.0	8.0	6.0	4.0	5.0	4.0	4.0	7.0	4.0	6.0
alpha_rarefaction_10_4.txt	10	4	7.0	4.0	9.0	9.0	7.0	6.0	3.0	6.0	3.0	6.0	6.0	3.0	6.0	3.0	2.0	8.0	2.0	7.0
alpha_rarefaction_10_5.txt	10	5	6.0	7.0	7.0	6.0	5.0	8.0	4.0	5.0	3.0	9.0	6.0	2.0	8.0	5.0	3.0	8.0	3.0	4.0
alpha_rarefaction_10_6.txt	10	6	6.0	4.0	7.0	7.0	6.0	7.0	3.0	7.0	4.0	7.0	3.0	4.0	6.0	3.0	4.0	7.0	2.0	7.0
alpha_rarefaction_10_7.txt	10	7	8.0	8.0	6.0	7.0	6.0	7.0	3.0	6.0	4.0	5.0	7.0	3.0	4.0	3.0	5.0	7.0	3.0	9.0
alpha_rarefaction_10_8.txt	10	8	6.0	5.0	8.0	8.0	7.0	5.0	3.0	5.0	5.0	7.0	4.0	3.0	4.0	5.0	6.0	8.0	3.0	6.0
alpha_rarefaction_10_9.txt	10	9	8.0	7.0	5.0	8.0	3.0	7.0	5.0	6.0	4.0	9.0	5.0	3.0	3.0	3.0	4.0	6.0	5.0	7.0
alpha_rarefaction_798_0.txt	798	0	72.0	54.0	70.0	80.0	61.0	79.0	20.0	55.0	47.0	67.0	54.0	28.0	43.0	35.0	39.0	65.0	14.0	71.0
alpha_rarefaction_798_1.txt	798	1	68.0	48.0	74.0	76.0	61.0	71.0	30.0	56.0	46.0	63.0	52.0	24.0	40.0	33.0	35.0	65.0	17.0	62.0
alpha_rarefaction_798_2.txt	798	2	64.0	53.0	74.0	78.0	56.0	74.0	27.0	52.0	48.0	64.0	54.0	24.0	46.0	27.0	39.0	65.0	18.0	70.0
alpha_rarefaction_798_3.txt	798	3	66.0	43.0	76.0	79.0	57.0	71.0	25.0	49.0	51.0	68.0	58.0	19.0	45.0	36.0	40.0	62.0	19.0	68.0
alpha_rarefaction_798_4.txt	798	4	70.0	51.0	74.0	79.0	59.0	74.0	21.0	50.0	51.0	66.0	47.0	26.0	42.0	32.0	30.0	68.0	15.0	64.0
alpha_rarefaction_798_5.txt	798	5	63.0	52.0	70.0	78.0	66.0	68.0	25.0	58.0	51.0	66.0	49.0	25.0	44.0	31.0	34.0	60.0	15.0	69.0
alpha_rarefaction_798_6.txt	798	6	66.0	48.0	66.0	82.0	54.0	75.0	28.0	53.0	46.0	69.0	55.0	24.0	35.0	26.0	36.0	72.0	19.0	68.0
alpha_rarefaction_798_7.txt	798	7	64.0	52.0	73.0	84.0	61.0	81.0	26.0	54.0	45.0	68.0	51.0	23.0	46.0	24.0	36.0	67.0	22.0	69.0
alpha_rarefaction_798_8.txt	798	8	68.0	51.0	69.0	79.0	59.0	71.0	28.0	54.0	49.0	65.0	56.0	24.0	45.0	28.0	32.0	59.0	16.0	63.0
alpha_rarefaction_798_9.txt	798	9	65.0	48.0	76.0	74.0	56.0	74.0	24.0	53.0	48.0	64.0	49.0	25.0	46.0	31.0	29.0	64.0	19.0	71.0
alpha_rarefaction_1586_0.txt	1586	0	75.0	69.0	90.0	99.0	75.0	90.0	31.0	63.0	62.0	77.0	72.0	31.0	48.0	38.0	46.0	84.0	28.0	79.0
alpha_rarefaction_1586_1.txt	1586	1	87.0	67.0	87.0	96.0	73.0	85.0	32.0	59.0	59.0	79.0	72.0	38.0	53.0	36.0	51.0	80.0	22.0	85.0
alpha_rarefaction_1586_2.txt	1586	2	84.0	65.0	83.0	97.0	78.0	92.0	32.0	61.0	62.0	79.0	71.0	32.0	56.0	43.0	47.0	75.0	22.0	77.0
alpha_rarefaction_1586_3.txt	1586	3	85.0	63.0	83.0	96.0	75.0	98.0	34.0	64.0	63.0	87.0	67.0	33.0	56.0	35.0	41.0	79.0	23.0	80.0
alpha_rarefaction_1586_4.txt	1586	4	81.0	70.0	92.0	95.0	68.0	92.0	34.0	66.0	55.0	82.0	74.0	35.0	54.0	40.0	39.0	87.0	20.0	77.0
alpha_rarefaction_1586_5.txt	1586	5	82.0	67.0	91.0	100.0	73.0	88.0	35.0	67.0	58.0	78.0	71.0	32.0	51.0	42.0	50.0	83.0	24.0	82.0
alpha_rarefaction_1586_6.txt	1586	6	87.0	62.0	85.0	99.0	71.0	75.0	35.0	67.0	59.0	74.0	69.0	34.0	57.0	39.0	38.0	84.0	22.0	82.0
alpha_rarefaction_1586_7.txt	1586	7	84.0	70.0	91.0	94.0	73.0	90.0	38.0	67.0	58.0	80.0	68.0	34.0	52.0	44.0	46.0	85.0	24.0	74.0
alpha_rarefaction_1586_8.txt	1586	8	75.0	59.0	91.0	93.0	76.0	90.0	33.0	61.0	64.0	73.0	70.0	29.0	55.0	42.0	45.0	78.0	26.0	81.0
alpha_rarefaction_1586_9.txt	1586	9	80.0	66.0	81.0	93.0	73.0	93.0	37.0	58.0	62.0	81.0	75.0	33.0	49.0	44.0	43.0	75.0	21.0	80.0
alpha_rarefaction_2374_0.txt	2374	0	97.0	74.0	101.0	105.0	85.0	99.0	36.0	76.0	67.0	89.0	75.0	37.0	58.0	39.0	51.0	89.0	30.0	90.0
alpha_rarefaction_2374_1.txt	2374	1	93.0	76.0	96.0	108.0	74.0	103.0	38.0	67.0	69.0	89.0	85.0	43.0	63.0	44.0	53.0	93.0	27.0	84.0
alpha_rarefaction_2374_2.txt	2374	2	93.0	75.0	100.0	111.0	84.0	98.0	39.0	70.0	68.0	88.0	87.0	44.0	59.0	43.0	49.0	84.0	33.0	88.0
alpha_rarefaction_2374_3.txt	2374	3	88.0	74.0	105.0	107.0	77.0	100.0	41.0	72.0	67.0	86.0	84.0	38.0	57.0	44.0	52.0	87.0	25.0	87.0
alpha_rarefaction_2374_4.txt	2374	4	92.0	70.0	96.0	105.0	84.0	98.0	44.0	70.0	67.0	89.0	82.0	40.0	62.0	44.0	49.0	89.0	26.0	86.0
alpha_rarefaction_2374_5.txt	2374	5	93.0	72.0	106.0	106.0	79.0	103.0	38.0	71.0	68.0	88.0	86.0	40.0	57.0	41.0	50.0	89.0	27.0	84.0
alpha_rarefaction_2374_6.txt	2374	6	88.0	74.0	95.0	106.0	77.0	95.0	42.0	68.0	67.0	89.0	85.0	36.0	61.0	40.0	44.0	88.0	30.0	84.0
alpha_rarefaction_2374_7.txt	2374	7	96.0	68.0	93.0	112.0	75.0	101.0	38.0	69.0	61.0	89.0	77.0	37.0	61.0	42.0	58.0	88.0	30.0	88.0
alpha_rarefaction_2374_8.txt	2374	8	88.0	70.0	99.0	106.0	84.0	103.0	40.0	74.0	62.0	91.0	80.0	39.0	59.0	46.0	53.0	99.0	28.0	82.0
alpha_rarefaction_2374_9.txt	2374	9	102.0	71.0	100.0	114.0	75.0	106.0	45.0	70.0	69.0	90.0	83.0	34.0	61.0	43.0	50.0	86.0	27.0	84.0
alpha_rarefaction_3162_0.txt	3162	0	102.0	80.0	103.0	118.0	89.0	109.0	52.0	75.0	78.0	89.0	86.0	47.0	57.0	48.0	60.0	99.0	29.0	90.0
alpha_rarefaction_3162_1.txt	3162	1	96.0	82.0	105.0	111.0	90.0	108.0	46.0	74.0	71.0	97.0	89.0	44.0	60.0	48.0	54.0	96.0	33.0	89.0
alpha_rarefaction_3162_2.txt	3162	2	106.0	79.0	101.0	109.0	87.0	106.0	39.0	71.0	70.0	93.0	84.0	41.0	64.0	51.0	57.0	94.0	29.0	87.0
alpha_rarefaction_3162_3.txt	3162	3	100.0	84.0	109.0	114.0	89.0	106.0	45.0	76.0	69.0	94.0	89.0	41.0	63.0	49.0	61.0	93.0	25.0	91.0
alpha_rarefaction_3162_4.txt	3162	4	97.0	79.0	105.0	108.0	88.0	100.0	45.0	79.0	74.0	92.0	83.0	43.0	62.0	50.0	59.0	95.0	29.0	89.0
alpha_rarefaction_3162_5.txt	3162	5	99.0	80.0	106.0	111.0	84.0	108.0	49.0	76.0	72.0	90.0	89.0	40.0	65.0	50.0	63.0	96.0	31.0	92.0
alpha_rarefaction_3162_6.txt	3162	6	98.0	79.0	104.0	107.0	88.0	107.0	47.0	76.0	73.0	90.0	86.0	45.0	61.0	47.0	61.0	96.0	29.0	91.0
alpha_rarefaction_3162_7.txt	3162	7	93.0	82.0	105.0	111.0	90.0	109.0	44.0	74.0	74.0	93.0	81.0	39.0	61.0	48.0	53.0	91.0	32.0	85.0
alpha_rarefaction_3162_8.txt	3162	8	100.0	77.0	107.0	122.0	90.0	108.0	48.0	68.0	71.0	88.0	95.0	44.0	63.0	50.0	59.0	95.0	31.0	91.0
alpha_rarefaction_3162_9.txt	3162	9	101.0	75.0	103.0	115.0	85.0	109.0	43.0	77.0	69.0	95.0	91.0	42.0	61.0	48.0	59.0	92.0	31.0	88.0
alpha_rarefaction_3950_0.txt	3950	0	109.0	86.0	110.0	115.0	89.0	111.0	52.0	79.0	71.0	96.0	96.0	43.0	65.0	54.0	60.0	95.0	28.0	90.0
alpha_rarefaction_3950_1.txt	3950	1	103.0	85.0	114.0	117.0	88.0	109.0	49.0	77.0	76.0	98.0	93.0	50.0	65.0	54.0	63.0	99.0	33.0	90.0
