Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
MT	TL	89.9277777778	3.19363757926	117.096969697	12.5332534726	-2.97075899103	0.57
MN	MT	130.858974359	12.1738752253	89.9277777778	3.19363757926	4.5992640333	0.6
MN	TA	130.858974359	12.1738752253	136.987606838	7.64309975381	-0.602965099108	1.0
TC	TA	101.801160219	8.18628430176	136.987606838	7.64309975381	-4.44309752956	1.0
MN	SM	130.858974359	12.1738752253	77.3547619047	24.7654631904	2.74194705565	1.0
MN	TC	130.858974359	12.1738752253	101.801160219	8.18628430176	2.80116151371	1.0
TL	TC	117.096969697	12.5332534726	101.801160219	8.18628430176	1.4450030714	1.0
TL	SM	117.096969697	12.5332534726	77.3547619047	24.7654631904	2.02491062906	1.0
MT	SM	89.9277777778	3.19363757926	77.3547619047	24.7654631904	0.712076510318	1.0
SM	TC	77.3547619047	24.7654631904	101.801160219	8.18628430176	-1.32545744157	1.0
MT	TC	89.9277777778	3.19363757926	101.801160219	8.18628430176	-1.91090818737	1.0
TL	TA	117.096969697	12.5332534726	136.987606838	7.64309975381	-1.91619915071	1.0
MN	TL	130.858974359	12.1738752253	117.096969697	12.5332534726	1.11389301695	1.0
MT	TA	89.9277777778	3.19363757926	136.987606838	7.64309975381	-8.0343678449	0.45
SM	TA	77.3547619047	24.7654631904	136.987606838	7.64309975381	-3.25385548092	1.0
