Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
MT	TL	6.66666666667	3.09120616517	8.0	2.16024689947	-0.5	1.0
MN	MT	10.0	2.16024689947	6.66666666667	3.09120616517	1.25	1.0
MN	TA	10.0	2.16024689947	12.2333333333	2.28958996814	-1.00335834372	1.0
TC	TA	12.3	4.45495978283	12.2333333333	2.28958996814	0.0188227478606	1.0
MN	SM	10.0	2.16024689947	8.03333333333	2.40878023535	0.859598125016	1.0
MN	TC	10.0	2.16024689947	12.3	4.45495978283	-0.656964115712	1.0
TL	TC	8.0	2.16024689947	12.3	4.45495978283	-1.22823725981	1.0
TL	SM	8.0	2.16024689947	8.03333333333	2.40878023535	-0.014569459746	1.0
MT	SM	6.66666666667	3.09120616517	8.03333333333	2.40878023535	-0.493189032513	1.0
SM	TC	8.03333333333	2.40878023535	12.3	4.45495978283	-1.19143247809	1.0
MT	TC	6.66666666667	3.09120616517	12.3	4.45495978283	-1.46923197005	1.0
TL	TA	8.0	2.16024689947	12.2333333333	2.28958996814	-1.90188820377	1.0
MN	TL	10.0	2.16024689947	8.0	2.16024689947	0.925820099773	1.0
MT	TA	6.66666666667	3.09120616517	12.2333333333	2.28958996814	-2.04650101181	1.0
SM	TA	8.03333333333	2.40878023535	12.2333333333	2.28958996814	-1.78727899254	1.0
