Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
MT	TL	72.3333333333	10.6249183003	106.3	6.08659729789	-3.92297563251	1.0
MN	MT	109.0	14.44529912	72.3333333333	10.6249183003	2.89173452132	1.0
MN	TA	109.0	14.44529912	124.333333333	6.18241233033	-1.38006900518	1.0
TC	TA	81.9333333333	13.1834070794	124.333333333	6.18241233033	-4.11801465149	1.0
MN	SM	109.0	14.44529912	67.6666666667	26.6124448749	1.93044340256	1.0
MN	TC	109.0	14.44529912	81.9333333333	13.1834070794	1.9572743975	1.0
TL	TC	106.3	6.08659729789	81.9333333333	13.1834070794	2.37315148686	1.0
TL	SM	106.3	6.08659729789	67.6666666667	26.6124448749	2.00133911296	1.0
MT	SM	72.3333333333	10.6249183003	67.6666666667	26.6124448749	0.230314252575	1.0
SM	TC	67.6666666667	26.6124448749	81.9333333333	13.1834070794	-0.679355665331	1.0
MT	TC	72.3333333333	10.6249183003	81.9333333333	13.1834070794	-0.80182412123	1.0
TL	TA	106.3	6.08659729789	124.333333333	6.18241233033	-2.93956627169	0.345
MN	TL	109.0	14.44529912	106.3	6.08659729789	0.243592773481	1.0
MT	TA	72.3333333333	10.6249183003	124.333333333	6.18241233033	-5.98232691301	1.0
SM	TA	67.6666666667	26.6124448749	124.333333333	6.18241233033	-2.93321515004	1.0
