Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
MT	TL	14.6666666667	4.49691252108	13.6333333333	5.13830927662	0.214017162593	1.0
MN	MT	22.0	4.32049379894	14.6666666667	4.49691252108	1.66304368124	1.0
MN	TA	22.0	4.32049379894	18.7666666667	2.71579740694	0.896038060094	1.0
TC	TA	21.6333333333	2.01714870272	18.7666666667	2.71579740694	1.19838078458	1.0
MN	SM	22.0	4.32049379894	13.3333333333	0.471404520791	2.82009595164	1.0
MN	TC	22.0	4.32049379894	21.6333333333	2.01714870272	0.108751096083	1.0
TL	TC	13.6333333333	5.13830927662	21.6333333333	2.01714870272	-2.04956095706	1.0
TL	SM	13.6333333333	5.13830927662	13.3333333333	0.471404520791	0.082223503019	1.0
MT	SM	14.6666666667	4.49691252108	13.3333333333	0.471404520791	0.417028828114	1.0
SM	TC	13.3333333333	0.471404520791	21.6333333333	2.01714870272	-5.66641280491	1.0
MT	TC	14.6666666667	4.49691252108	21.6333333333	2.01714870272	-1.9990163165	1.0
TL	TA	13.6333333333	5.13830927662	18.7666666667	2.71579740694	-1.24910494271	1.0
MN	TL	22.0	4.32049379894	13.6333333333	5.13830927662	1.76249964812	1.0
MT	TA	14.6666666667	4.49691252108	18.7666666667	2.71579740694	-1.10372733358	1.0
SM	TA	13.3333333333	0.471404520791	18.7666666667	2.71579740694	-2.78764877062	1.0
