# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within groupA	All between groupA	-6.00259090956	1.38494851648e-08	3.5039197467e-06	0.001	0.253
All within groupA	MN vs. MN	-2.78261681296	0.0118641839131	1	0.014	1.000
All within groupA	MT vs. MT	1.41674790072	0.172744838462	1	0.150	1.000
All within groupA	TL vs. TL	0.0400141494478	0.968499321875	1	0.966	1.000
All within groupA	SM vs. SM	0.375493654431	0.711452632144	1	0.741	1.000
All within groupA	TC vs. TC	1.26449901841	0.221342752435	1	0.187	1.000
All within groupA	TA vs. TA	-0.160199750567	0.87441463185	1	0.888	1.000
All within groupA	MN vs. MT	-34.7178610043	1.12650611471e-22	2.85006047021e-20	0.001	0.253
All within groupA	MN vs. TL	-16.790781127	3.9986561039e-15	1.01165999429e-12	0.001	0.253
All within groupA	MN vs. SM	-25.014604701	3.26009842392e-19	8.24804901253e-17	0.001	0.253
All within groupA	MN vs. TC	-19.1726387407	1.82741414235e-16	4.62335778014e-14	0.001	0.253
All within groupA	MN vs. TA	-9.33797405733	1.25404002094e-09	3.17272125299e-07	0.001	0.253
All within groupA	MT vs. TL	-1.63202602759	0.115208290286	1	0.101	1.000
All within groupA	MT vs. SM	0.462355647996	0.647825154853	1	0.658	1.000
All within groupA	MT vs. TC	-7.00946456375	2.39456666333e-07	6.05825365822e-05	0.001	0.253
All within groupA	MT vs. TA	-17.6073185118	1.33378041544e-15	3.37446445105e-13	0.001	0.253
All within groupA	TL vs. SM	-3.80785636334	0.000810171386202	0.204973360709	0.003	0.759
All within groupA	TL vs. TC	-7.7130110538	4.5438564526e-08	1.14959568251e-05	0.001	0.253
All within groupA	TL vs. TA	-8.90824283698	3.13256268269e-09	7.9253835872e-07	0.001	0.253
