# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within groupA	All between groupA	-5.9136197196	2.15160392395e-08	5.44355792759e-06	0.001	0.253
All within groupA	MN vs. MN	1.00607629409	0.327020644781	1	0.336	1.000
All within groupA	MT vs. MT	0.446606697251	0.660207740037	1	0.640	1.000
All within groupA	TL vs. TL	-0.980264738819	0.339273475577	1	0.356	1.000
All within groupA	SM vs. SM	2.24182672394	0.0371043847633	1	0.037	1.000
All within groupA	TC vs. TC	-1.64180438845	0.117079247663	1	0.124	1.000
All within groupA	TA vs. TA	-1.00034696796	0.329713240444	1	0.351	1.000
All within groupA	MN vs. MT	-21.9366150187	7.56581730194e-18	1.91415177739e-15	0.001	0.253
All within groupA	MN vs. TL	-22.2891204777	5.17465860609e-18	1.30918862734e-15	0.001	0.253
All within groupA	MN vs. SM	-15.6535349118	1.99358039245e-14	5.0437583929e-12	0.001	0.253
All within groupA	MN vs. TC	-13.3722930126	6.81606576756e-13	1.72446463919e-10	0.001	0.253
All within groupA	MN vs. TA	-12.342235573	3.92167096791e-12	9.92182754881e-10	0.001	0.253
All within groupA	MT vs. TL	-2.47755255849	0.0203410451456	1	0.021	1.000
All within groupA	MT vs. SM	-1.40242340156	0.173085086628	1	0.172	1.000
All within groupA	MT vs. TC	-6.86245721842	3.41566881216e-07	8.64164209477e-05	0.001	0.253
All within groupA	MT vs. TA	-5.70580424427	6.07891680344e-06	0.00153796595127	0.001	0.253
All within groupA	TL vs. SM	-4.52532842792	0.000127535611735	0.0322665097689	0.001	0.253
