	T1	TS4	T9	T2	MN15	MN12	SM2	MN13	MT213	TL1	SM4	MT210	MT209	TS6	TS8	TL2	SM5	TL3
T1	0.0	0.323232323232	0.260504201681	0.243697478992	0.526785714286	0.605042016807	0.413793103448	0.655555555556	0.482352941176	0.377358490566	0.413461538462	0.338983050847	0.397260273973	0.462686567164	0.3875	0.394736842105	0.487804878049	0.393939393939
TS4	0.323232323232	0.0	0.353535353535	0.373737373737	0.59595959596	0.636363636364	0.189655172414	0.722222222222	0.470588235294	0.414141414141	0.313131313131	0.271186440678	0.342465753425	0.238805970149	0.3125	0.383838383838	0.243902439024	0.545454545455
T9	0.260504201681	0.353535353535	0.0	0.330578512397	0.580357142857	0.661157024793	0.362068965517	0.722222222222	0.411764705882	0.358490566038	0.403846153846	0.305084745763	0.315068493151	0.462686567164	0.425	0.368421052632	0.390243902439	0.363636363636
T2	0.243697478992	0.373737373737	0.330578512397	0.0	0.482142857143	0.576	0.448275862069	0.588888888889	0.529411764706	0.38679245283	0.432692307692	0.423728813559	0.452054794521	0.507462686567	0.4125	0.394736842105	0.560975609756	0.343434343434
MN15	0.526785714286	0.59595959596	0.580357142857	0.482142857143	0.0	0.169642857143	0.620689655172	0.255555555556	0.788235294118	0.811320754717	0.625	0.745762711864	0.780821917808	0.582089552239	0.5375	0.776785714286	0.707317073171	0.747474747475
MN12	0.605042016807	0.636363636364	0.661157024793	0.576	0.169642857143	0.0	0.706896551724	0.144444444444	0.894117647059	0.88679245283	0.682692307692	0.864406779661	0.890410958904	0.611940298507	0.5625	0.833333333333	0.853658536585	0.818181818182
SM2	0.413793103448	0.189655172414	0.362068965517	0.448275862069	0.620689655172	0.706896551724	0.0	0.810344827586	0.344827586207	0.327586206897	0.120689655172	0.379310344828	0.293103448276	0.379310344828	0.431034482759	0.310344827586	0.170731707317	0.465517241379
MN13	0.655555555556	0.722222222222	0.722222222222	0.588888888889	0.255555555556	0.144444444444	0.810344827586	0.0	0.894117647059	0.877777777778	0.744444444444	0.847457627119	0.890410958904	0.716417910448	0.7375	0.822222222222	0.853658536585	0.855555555556
MT213	0.482352941176	0.470588235294	0.411764705882	0.529411764706	0.788235294118	0.894117647059	0.344827586207	0.894117647059	0.0	0.376470588235	0.435294117647	0.220338983051	0.205479452055	0.537313432836	0.6625	0.388235294118	0.170731707317	0.470588235294
TL1	0.377358490566	0.414141414141	0.358490566038	0.38679245283	0.811320754717	0.88679245283	0.327586206897	0.877777777778	0.376470588235	0.0	0.451923076923	0.135593220339	0.260273972603	0.492537313433	0.5125	0.22641509434	0.243902439024	0.323232323232
SM4	0.413461538462	0.313131313131	0.403846153846	0.432692307692	0.625	0.682692307692	0.120689655172	0.744444444444	0.435294117647	0.451923076923	0.0	0.254237288136	0.287671232877	0.253731343284	0.375	0.413461538462	0.121951219512	0.535353535354
MT210	0.338983050847	0.271186440678	0.305084745763	0.423728813559	0.745762711864	0.864406779661	0.379310344828	0.847457627119	0.220338983051	0.135593220339	0.254237288136	0.0	0.220338983051	0.457627118644	0.559322033898	0.186440677966	0.243902439024	0.389830508475
MT209	0.397260273973	0.342465753425	0.315068493151	0.452054794521	0.780821917808	0.890410958904	0.293103448276	0.890410958904	0.205479452055	0.260273972603	0.287671232877	0.220338983051	0.0	0.537313432836	0.630136986301	0.301369863014	0.121951219512	0.383561643836
TS6	0.462686567164	0.238805970149	0.462686567164	0.507462686567	0.582089552239	0.611940298507	0.379310344828	0.716417910448	0.537313432836	0.492537313433	0.253731343284	0.457627118644	0.537313432836	0.0	0.373134328358	0.417910447761	0.341463414634	0.611940298507
TS8	0.3875	0.3125	0.425	0.4125	0.5375	0.5625	0.431034482759	0.7375	0.6625	0.5125	0.375	0.559322033898	0.630136986301	0.373134328358	0.0	0.4875	0.487804878049	0.6125
TL2	0.394736842105	0.383838383838	0.368421052632	0.394736842105	0.776785714286	0.833333333333	0.310344827586	0.822222222222	0.388235294118	0.22641509434	0.413461538462	0.186440677966	0.301369863014	0.417910447761	0.4875	0.0	0.268292682927	0.282828282828
SM5	0.487804878049	0.243902439024	0.390243902439	0.560975609756	0.707317073171	0.853658536585	0.170731707317	0.853658536585	0.170731707317	0.243902439024	0.121951219512	0.243902439024	0.121951219512	0.341463414634	0.487804878049	0.268292682927	0.0	0.536585365854
TL3	0.393939393939	0.545454545455	0.363636363636	0.343434343434	0.747474747475	0.818181818182	0.465517241379	0.855555555556	0.470588235294	0.323232323232	0.535353535354	0.389830508475	0.383561643836	0.611940298507	0.6125	0.282828282828	0.536585365854	0.0
