# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within groupA	All between groupA	-7.0935879353	4.72203749986e-11	1.19467548747e-08	0.001	0.253
All within groupA	MN vs. MN	1.28370610886	0.214680192016	1	0.238	1.000
All within groupA	MT vs. MT	0.556122409455	0.584617722994	1	0.574	1.000
All within groupA	TL vs. TL	0.521425681599	0.60809528328	1	0.602	1.000
All within groupA	SM vs. SM	-1.37020824307	0.186596128942	1	0.179	1.000
All within groupA	TC vs. TC	-1.61230268948	0.123382982235	1	0.107	1.000
All within groupA	TA vs. TA	0.67603210972	0.507166435101	1	0.508	1.000
All within groupA	MN vs. MT	-21.4744112377	1.25557304795e-17	3.17659981131e-15	0.001	0.253
All within groupA	MN vs. TL	-19.6926893173	9.74182590436e-17	2.4646819538e-14	0.001	0.253
All within groupA	MN vs. SM	-14.6007930243	9.63166854931e-14	2.43681214298e-11	0.001	0.253
All within groupA	MN vs. TC	-13.5499804463	5.09276275857e-13	1.28846897792e-10	0.001	0.253
All within groupA	MN vs. TA	-10.0989633825	2.62749613106e-10	6.64756521158e-08	0.001	0.253
All within groupA	MT vs. TL	-4.80673549597	6.14823488767e-05	0.0155550342658	0.002	0.506
All within groupA	MT vs. SM	-3.43883604498	0.00205754348434	0.520558501539	0.003	0.759
All within groupA	MT vs. TC	-7.27794743772	1.26046304998e-07	3.18897151645e-05	0.001	0.253
All within groupA	MT vs. TA	-8.83769111679	3.64903980414e-09	9.23207070448e-07	0.001	0.253
All within groupA	TL vs. SM	-7.31409760959	1.15693048251e-07	2.92703412074e-05	0.001	0.253
All within groupA	TL vs. TC	-7.48342795142	7.76109207711e-08	1.96355629551e-05	0.001	0.253
All within groupA	TL vs. TA	-3.80980739901	0.00080615076913	0.20395614459	0.002	0.506
All within groupA	SM vs. TC	-4.3360893707	0.000208220593702	0.0526798102067	0.001	0.253
All within groupA	SM vs. TA	-7.50860973168	7.31603208758e-08	1.85095611816e-05	0.001	0.253
All within groupA	TC vs. TA	-6.14340481861	2.01236564489e-06	0.000509128508156	0.001	0.253
All between groupA	MN vs. MN	3.52791359837	0.000571741273919	0.144650542301	0.001	0.253
