	T1	TS4	T9	T2	MN15	MN12	SM2	MN13	MT213	TL1	SM4	MT210	MT209	TS6	TS8	TL2	SM5	TL3
T1	0.0	0.385321100917	0.266666666667	0.285714285714	0.541125541126	0.614754098361	0.61581920904	0.703349282297	0.56862745098	0.413333333333	0.452914798206	0.561797752809	0.541666666667	0.612903225806	0.507537688442	0.407725321888	0.7375	0.449541284404
TS4	0.385321100917	0.0	0.418181818182	0.465517241379	0.620853080569	0.678571428571	0.40127388535	0.73544973545	0.510869565217	0.434146341463	0.330049261084	0.455696202532	0.441860465116	0.385542168675	0.385474860335	0.427230046948	0.557142857143	0.545454545455
T9	0.266666666667	0.418181818182	0.0	0.362204724409	0.596566523605	0.666666666667	0.586592178771	0.763033175355	0.514563106796	0.400881057269	0.448888888889	0.544444444444	0.484536082474	0.617021276596	0.542288557214	0.387234042553	0.691358024691	0.427272727273
T2	0.285714285714	0.465517241379	0.362204724409	0.0	0.526530612245	0.589147286822	0.664921465969	0.668161434978	0.633027522936	0.456066945607	0.502109704641	0.645833333333	0.611650485437	0.67	0.558685446009	0.441295546559	0.793103448276	0.439655172414
MN15	0.541125541126	0.620853080569	0.596566523605	0.526530612245	0.0	0.215189873418	0.741176470588	0.336633663366	0.817258883249	0.816513761468	0.638888888889	0.824561403509	0.827027027027	0.687150837989	0.614583333333	0.778761061947	0.843137254902	0.763033175355
MN12	0.614754098361	0.678571428571	0.666666666667	0.589147286822	0.215189873418	0.0	0.814207650273	0.283720930233	0.914285714286	0.896103896104	0.711790393013	0.913043478261	0.919191919192	0.729166666667	0.658536585366	0.8410041841	0.927710843373	0.839285714286
SM2	0.61581920904	0.40127388535	0.586592178771	0.664921465969	0.741176470588	0.814207650273	0.0	0.851351351351	0.468531468531	0.524390243902	0.37037037037	0.384615384615	0.374045801527	0.424	0.521739130435	0.53488372093	0.313131313131	0.605095541401
MN13	0.703349282297	0.73544973545	0.763033175355	0.668161434978	0.336633663366	0.283720930233	0.851351351351	0.0	0.897142857143	0.887755102041	0.762886597938	0.879194630872	0.901840490798	0.757961783439	0.752941176471	0.843137254902	0.908396946565	0.862433862434
MT213	0.56862745098	0.510869565217	0.514563106796	0.633027522936	0.817258883249	0.914285714286	0.468531468531	0.897142857143	0.0	0.44502617801	0.492063492063	0.361111111111	0.26582278481	0.592105263158	0.672727272727	0.477386934673	0.460317460317	0.510869565217
TL1	0.413333333333	0.434146341463	0.400881057269	0.456066945607	0.816513761468	0.896103896104	0.524390243902	0.887755102041	0.44502617801	0.0	0.457142857143	0.381818181818	0.396648044693	0.606936416185	0.58064516129	0.254545454545	0.578231292517	0.346341463415
SM4	0.452914798206	0.330049261084	0.448888888889	0.502109704641	0.638888888889	0.711790393013	0.37037037037	0.762886597938	0.492063492063	0.457142857143	0.0	0.460122699387	0.412429378531	0.415204678363	0.45652173913	0.440366972477	0.503448275862	0.546798029557
MT210	0.561797752809	0.455696202532	0.544444444444	0.645833333333	0.824561403509	0.913043478261	0.384615384615	0.879194630872	0.361111111111	0.381818181818	0.460122699387	0.0	0.30303030303	0.492063492063	0.625899280576	0.445086705202	0.38	0.544303797468
MT209	0.541666666667	0.441860465116	0.484536082474	0.611650485437	0.827027027027	0.919191919192	0.374045801527	0.901840490798	0.26582278481	0.396648044693	0.412429378531	0.30303030303	0.0	0.557142857143	0.647058823529	0.454545454545	0.368421052632	0.476744186047
TS6	0.612903225806	0.385542168675	0.617021276596	0.67	0.687150837989	0.729166666667	0.424	0.757961783439	0.592105263158	0.606936416185	0.415204678363	0.492063492063	0.557142857143	0.0	0.428571428571	0.569060773481	0.5	0.686746987952
TS8	0.507537688442	0.385474860335	0.542288557214	0.558685446009	0.614583333333	0.658536585366	0.521739130435	0.752941176471	0.672727272727	0.58064516129	0.45652173913	0.625899280576	0.647058823529	0.428571428571	0.0	0.577319587629	0.652892561983	0.653631284916
TL2	0.407725321888	0.427230046948	0.387234042553	0.441295546559	0.778761061947	0.8410041841	0.53488372093	0.843137254902	0.477386934673	0.254545454545	0.440366972477	0.445086705202	0.454545454545	0.569060773481	0.577319587629	0.0	0.612903225806	0.333333333333
SM5	0.7375	0.557142857143	0.691358024691	0.793103448276	0.843137254902	0.927710843373	0.313131313131	0.908396946565	0.460317460317	0.578231292517	0.503448275862	0.38	0.368421052632	0.5	0.652892561983	0.612903225806	0.0	0.728571428571
TL3	0.449541284404	0.545454545455	0.427272727273	0.439655172414	0.763033175355	0.839285714286	0.605095541401	0.862433862434	0.510869565217	0.346341463415	0.546798029557	0.544303797468	0.476744186047	0.686746987952	0.653631284916	0.333333333333	0.728571428571	0.0
