# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within groupA	All between groupA	-7.58625399794	3.13580127655e-12	7.93357722966e-10	0.001	0.253
All within groupA	MN vs. MN	-2.37750254191	0.0280870373028	1	0.029	1.000
All within groupA	MT vs. MT	1.41554042673	0.17309343194	1	0.180	1.000
All within groupA	TL vs. TL	0.428542774851	0.67307507977	1	0.692	1.000
All within groupA	SM vs. SM	1.76648701217	0.0933761329964	1	0.092	1.000
All within groupA	TC vs. TC	-1.37333385523	0.185638870014	1	0.185	1.000
All within groupA	TA vs. TA	0.190612209798	0.850851343592	1	0.888	1.000
All within groupA	MN vs. MT	-10.0753102637	2.75526149839e-10	6.97081159094e-08	0.001	0.253
All within groupA	MN vs. TL	-10.0345040635	2.99094534331e-10	7.56709171858e-08	0.001	0.253
All within groupA	MN vs. SM	-9.68566850146	6.08448949034e-10	1.53937584106e-07	0.001	0.253
All within groupA	MN vs. TC	-8.42993458736	8.92974242617e-09	2.25922483382e-06	0.001	0.253
All within groupA	MN vs. TA	-7.43363677281	8.72447698898e-08	2.20729267821e-05	0.001	0.253
All within groupA	MT vs. TL	-5.02960558966	3.45233420204e-05	0.00873440553115	0.001	0.253
All within groupA	MT vs. SM	1.62565814112	0.116563915783	1	0.105	1.000
All within groupA	MT vs. TC	-2.46979328706	0.0206969219921	1	0.026	1.000
All within groupA	MT vs. TA	-7.84517171676	3.34924670637e-08	8.47359416711e-06	0.001	0.253
All within groupA	TL vs. SM	-6.36289014808	1.16401009913e-06	0.00029449455508	0.001	0.253
All within groupA	TL vs. TC	-7.12355844525	1.8210080427e-07	4.60715034802e-05	0.001	0.253
All within groupA	TL vs. TA	-4.44916892559	0.000155365539209	0.03930748142	0.002	0.506
All within groupA	SM vs. TC	-2.26593306724	0.0323691266634	1	0.035	1.000
All within groupA	SM vs. TA	-8.76387446109	4.28380571912e-09	1.08380284694e-06	0.001	0.253
All within groupA	TC vs. TA	-7.42412309975	8.92205392507e-08	2.25727964304e-05	0.001	0.253
All between groupA	MN vs. MN	1.21737212583	0.225570777144	1	0.216	1.000
All between groupA	MT vs. MT	4.41890277223	2.00989043366e-05	0.00508502279717	0.001	0.253
All between groupA	TL vs. TL	3.58504127701	0.000468705062783	0.118582380884	0.003	0.759
All between groupA	SM vs. SM	4.72375233838	5.69856437882e-06	0.00144173678784	0.001	0.253
All between groupA	TC vs. TC	2.00088132414	0.0473956937862	1	0.042	1.000
All between groupA	TA vs. TA	3.38496000767	0.000930647831478	0.235453901364	0.004	1.000
All between groupA	MN vs. MT	-2.76900038357	0.00637405976631	1	0.008	1.000
All between groupA	MN vs. TL	-2.7352003649	0.00702961747055	1	0.012	1.000
All between groupA	MN vs. SM	-2.49467849684	0.0137530440927	1	0.018	1.000
