# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within groupA	All between groupA	-6.9820438636	8.62545705162e-11	2.18224063406e-08	0.001	0.253
All within groupA	MN vs. MN	-2.5902550282	0.0179545105845	1	0.012	1.000
All within groupA	MT vs. MT	1.46117163067	0.160309757999	1	0.139	1.000
All within groupA	TL vs. TL	0.59783242847	0.557011070344	1	0.589	1.000
All within groupA	SM vs. SM	1.59729541688	0.126698013877	1	0.098	1.000
All within groupA	TC vs. TC	-0.860229021347	0.400387624576	1	0.404	1.000
All within groupA	TA vs. TA	-0.135823571417	0.893389478308	1	0.900	1.000
All within groupA	MN vs. MT	-9.43402186878	1.02535260682e-09	2.59414209525e-07	0.001	0.253
All within groupA	MN vs. TL	-9.406806431	1.085416994e-09	2.74610499482e-07	0.001	0.253
All within groupA	MN vs. SM	-9.33141901985	1.27144539473e-09	3.21675684866e-07	0.001	0.253
All within groupA	MN vs. TC	-8.02957046647	2.19674966145e-08	5.55777664347e-06	0.001	0.253
All within groupA	MN vs. TA	-7.85166345713	3.2996327444e-08	8.34807084332e-06	0.001	0.253
All within groupA	MT vs. TL	-5.14531917936	2.56010499861e-05	0.00647706564649	0.001	0.253
All within groupA	MT vs. SM	2.18854851181	0.0381855711605	1	0.032	1.000
All within groupA	MT vs. TC	-1.65659974638	0.11009968046	1	0.115	1.000
All within groupA	MT vs. TA	-8.68037186901	5.14040323978e-09	1.30052201967e-06	0.001	0.253
All within groupA	TL vs. SM	-5.0068321384	3.66180745058e-05	0.00926437284997	0.001	0.253
All within groupA	TL vs. TC	-6.57573922951	6.87953525973e-07	0.000174052242071	0.001	0.253
All within groupA	TL vs. TA	-4.70832305082	7.93518757738e-05	0.0200760245708	0.001	0.253
All within groupA	SM vs. TC	-1.81274156533	0.0818981202901	1	0.070	1.000
All within groupA	SM vs. TA	-8.88922905501	3.2638784585e-09	8.25761250001e-07	0.001	0.253
All within groupA	TC vs. TA	-8.30750603373	1.17328656247e-08	2.96841500306e-06	0.001	0.253
All between groupA	MN vs. MN	0.884204202736	0.378146465553	1	0.404	1.000
All between groupA	MT vs. MT	4.11976351988	6.5524526798e-05	0.0165777052799	0.001	0.253
All between groupA	TL vs. TL	3.43397934035	0.000788749995862	0.199553748953	0.002	0.506
All between groupA	SM vs. SM	4.2273093223	4.31217498098e-05	0.0109098027019	0.001	0.253
All between groupA	TC vs. TC	2.20879873586	0.0288627327208	1	0.028	1.000
All between groupA	TA vs. TA	2.84467347823	0.00513333453307	1	0.008	1.000
All between groupA	MN vs. MT	-2.2931569845	0.0233074284993	1	0.025	1.000
All between groupA	MN vs. TL	-2.27186122237	0.0245975554745	1	0.018	1.000
All between groupA	MN vs. SM	-2.2185578112	0.0281042975249	1	0.019	1.000
All between groupA	MN vs. TC	-1.49404920593	0.13738155849	1	0.143	1.000
All between groupA	MN vs. TA	-1.15874551261	0.248504899209	1	0.242	1.000
All between groupA	MT vs. TL	0.459006690409	0.646931193476	1	0.644	1.000
All between groupA	MT vs. SM	6.85429111208	2.01988203941e-10	5.1103015597e-08	0.001	0.253
All between groupA	MT vs. TC	3.08587443985	0.00244046998564	0.617438906367	0.005	1.000
All between groupA	MT vs. TA	-1.71399380868	0.0887118085803	1	0.082	1.000
All between groupA	TL vs. SM	0.41184512239	0.68107395034	1	0.699	1.000
All between groupA	TL vs. TC	-0.716210348699	0.475037669534	1	0.512	1.000
All between groupA	TL vs. TA	1.26632107183	0.207471530159	1	0.232	1.000
All between groupA	SM vs. TC	3.01568622543	0.00303853677161	0.768749803217	0.005	1.000
All between groupA	SM vs. TA	-1.88017126241	0.0621330983078	1	0.058	1.000
All between groupA	TC vs. TA	-1.59181220008	0.113650622557	1	0.102	1.000
MN vs. MN	MT vs. MT	11.0626378684	0.000379683194565	0.096059848225	0.094	1.000
MN vs. MN	TL vs. TL	6.06503945204	0.00373197379813	0.944189370926	0.070	1.000
MN vs. MN	SM vs. SM	12.1258013311	0.000265381389603	0.0671414915697	0.093	1.000
MN vs. MN	TC vs. TC	1.44550881775	0.221837677089	1	0.238	1.000
MN vs. MN	TA vs. TA	4.57323797209	0.0102356714901	1	0.058	1.000
MN vs. MN	MN vs. MT	-16.9056752309	1.10231396293e-08	2.78885432622e-06	0.003	0.759
MN vs. MN	MN vs. TL	-16.7935299599	1.17573292609e-08	2.97460430301e-06	0.007	1.000
MN vs. MN	MN vs. SM	-15.5533255294	2.4672830979e-08	6.24222623768e-06	0.004	1.000
MN vs. MN	MN vs. TC	-4.43917309262	0.00125609336983	0.317791622567	0.001	0.253
MN vs. MN	MN vs. TA	-6.01112735016	0.0001301641127	0.0329315205132	0.007	1.000
MN vs. MN	MT vs. TL	-0.904241699682	0.387132643861	1	0.401	1.000
MN vs. MN	MT vs. SM	14.620870265	4.47034251838e-08	1.13099665715e-05	0.003	0.759
MN vs. MN	MT vs. TC	0.7748315134	0.456369466123	1	0.446	1.000
MN vs. MN	MT vs. TA	-12.4953097705	1.9953169707e-07	5.04815193588e-05	0.003	0.759
MN vs. MN	TL vs. SM	-0.826702961079	0.427690506549	1	0.443	1.000
MN vs. MN	TL vs. TC	-2.05851069663	0.0665530291622	1	0.068	1.000
MN vs. MN	TL vs. TA	-0.417756400644	0.684953563684	1	0.675	1.000
MN vs. MN	SM vs. TC	0.79489454462	0.445130974388	1	0.438	1.000
MN vs. MN	SM vs. TA	-12.9389560373	1.43412679926e-07	3.62834080213e-05	0.007	1.000
MN vs. MN	TC vs. TA	-5.79431462504	0.000174301828392	0.0440983625831	0.007	1.000
MT vs. MT	TL vs. TL	-1.8624769739	0.136009904811	1	0.113	1.000
MT vs. MT	SM vs. SM	0.585028920908	0.589939689137	1	0.512	1.000
MT vs. MT	TC vs. TC	-2.10497830222	0.103072583962	1	0.093	1.000
MT vs. MT	TA vs. TA	-3.3813652537	0.0277504146419	1	0.102	1.000
MT vs. MT	MN vs. MT	-71.7588330166	6.73728674235e-15	1.70453354581e-12	0.004	1.000
MT vs. MT	MN vs. TL	-71.3696362895	7.11314523482e-15	1.79962574441e-12	0.002	0.506
MT vs. MT	MN vs. SM	-60.1060815603	3.94833714193e-14	9.98929296909e-12	0.003	0.759
MT vs. MT	MN vs. TC	-13.132386474	1.24574480914e-07	3.15173436714e-05	0.004	1.000
MT vs. MT	MN vs. TA	-20.3223674402	1.83538994454e-09	4.64353655969e-07	0.006	1.000
MT vs. MT	MT vs. TL	-5.72124828304	0.000192605218425	0.0487291202616	0.003	0.759
MT vs. MT	MT vs. SM	-0.889038609621	0.394865237769	1	0.408	1.000
MT vs. MT	MT vs. TC	-1.80807524289	0.100717952067	1	0.092	1.000
MT vs. MT	MT vs. TA	-48.3080107325	3.48656264804e-13	8.82100349954e-11	0.007	1.000
MT vs. MT	TL vs. SM	-5.03411718961	0.000511023596552	0.129288969928	0.006	1.000
