	T1	TS4	T9	T2	MN15	MN12	SM2	MN13	MT213	TL1	SM4	MT210	MT209	TS6	TS8	TL2	SM5	TL3
T1	0.0	0.85923222693	0.366422604701	0.163275799536	0.827997533037	0.832980183116	0.961505032688	0.972771014664	0.92763094125	0.661255893327	0.92904479806	0.966321739129	0.931345507806	0.969001179263	0.986718911985	0.718113919679	0.967624731472	0.650441761318
TS4	0.85923222693	0.0	0.750258297041	0.887668650898	0.961486055098	0.843849792878	0.204063046578	0.99306489269	0.114979665425	0.706417800429	0.0847027189701	0.215094702681	0.113235301165	0.156686932516	0.678755601911	0.468680864869	0.235827383832	0.896061669694
T9	0.366422604701	0.750258297041	0.0	0.303105976287	0.86530719955	0.837233800983	0.956571962294	0.971893562693	0.923210856011	0.725002861035	0.925126205316	0.957378619945	0.925219806668	0.959889670231	0.982106933228	0.753328459494	0.961960203589	0.701754299522
T2	0.163275799536	0.887668650898	0.303105976287	0.0	0.863552755344	0.837330187325	0.985206225274	0.968576169028	0.923173988189	0.494231447554	0.945606636802	0.981045771007	0.940368751401	0.984628680071	0.989314783232	0.602558599879	0.992532543077	0.485212454206
MN15	0.827997533037	0.961486055098	0.86530719955	0.863552755344	0.0	0.681149428541	0.999302095374	0.533498115328	0.999112330667	0.995547436703	0.987386974635	0.999561374203	0.999173598828	0.995178976756	0.990802601641	0.995063676109	0.999607401451	0.995462975266
MN12	0.832980183116	0.843849792878	0.837233800983	0.837330187325	0.681149428541	0.0	0.988726140091	0.637365914671	0.999720040764	0.99799914611	0.957262951265	0.999918039763	0.999778991273	0.780349361509	0.724027771513	0.997108540282	0.999994360543	0.997754039226
SM2	0.961505032688	0.204063046578	0.956571962294	0.985206225274	0.999302095374	0.988726140091	0.0	0.999689162125	0.0795055388662	0.759974440581	0.0483705694343	0.145568894866	0.0668036921983	0.330900608061	0.894326958171	0.464733324795	0.00198165190873	0.981285103208
MN13	0.972771014664	0.99306489269	0.971893562693	0.968576169028	0.533498115328	0.637365914671	0.999689162125	0.0	0.999634495868	0.999546274009	0.997529205366	0.999703201635	0.99964135043	0.997804276987	0.996352749071	0.998946921229	0.999795955673	0.999667381432
MT213	0.92763094125	0.114979665425	0.923210856011	0.923173988189	0.999112330667	0.999720040764	0.0795055388662	0.999634495868	0.0	0.685231296904	0.0197651456069	0.0712692243385	0.00784860644195	0.272087704522	0.92664695445	0.448232926808	0.0956498488564	0.88538613659
TL1	0.661255893327	0.706417800429	0.725002861035	0.494231447554	0.995547436703	0.99799914611	0.759974440581	0.999546274009	0.685231296904	0.0	0.719382023347	0.839220260624	0.688900896464	0.866952778119	0.982499332619	0.133067806427	0.776354269986	0.102867772315
SM4	0.92904479806	0.0847027189701	0.925126205316	0.945606636802	0.987386974635	0.957262951265	0.0483705694343	0.997529205366	0.0197651456069	0.719382023347	0.0	0.105027838881	0.016683254259	0.232544634863	0.844790945052	0.439554366496	0.0655678115235	0.937334368558
MT210	0.966321739129	0.215094702681	0.957378619945	0.981045771007	0.999561374203	0.999918039763	0.145568894866	0.999703201635	0.0712692243385	0.839220260624	0.105027838881	0.0	0.0925036287066	0.263590299835	0.921053239607	0.659453169426	0.154554515552	0.979157582079
MT209	0.931345507806	0.113235301165	0.925219806668	0.940368751401	0.999173598828	0.999778991273	0.0668036921983	0.99964135043	0.00784860644195	0.688900896464	0.016683254259	0.0925036287066	0.0	0.285226375275	0.928042295444	0.433504606485	0.0825844965567	0.897236678782
TS6	0.969001179263	0.156686932516	0.959889670231	0.984628680071	0.995178976756	0.780349361509	0.330900608061	0.997804276987	0.272087704522	0.866952778119	0.232544634863	0.263590299835	0.285226375275	0.0	0.322106290929	0.713009637048	0.366656856087	0.990484544246
TS8	0.986718911985	0.678755601911	0.982106933228	0.989314783232	0.990802601641	0.724027771513	0.894326958171	0.996352749071	0.92664695445	0.982499332619	0.844790945052	0.921053239607	0.928042295444	0.322106290929	0.0	0.96818083196	0.929539595381	0.992885793155
TL2	0.718113919679	0.468680864869	0.753328459494	0.602558599879	0.995063676109	0.997108540282	0.464733324795	0.998946921229	0.448232926808	0.133067806427	0.439554366496	0.659453169426	0.433504606485	0.713009637048	0.96818083196	0.0	0.482499111622	0.290653542673
SM5	0.967624731472	0.235827383832	0.961960203589	0.992532543077	0.999607401451	0.999994360543	0.00198165190873	0.999795955673	0.0956498488564	0.776354269986	0.0655678115235	0.154554515552	0.0825844965567	0.366656856087	0.929539595381	0.482499111622	0.0	0.99670200858
TL3	0.650441761318	0.896061669694	0.701754299522	0.485212454206	0.995462975266	0.997754039226	0.981285103208	0.999667381432	0.88538613659	0.102867772315	0.937334368558	0.979157582079	0.897236678782	0.990484544246	0.992885793155	0.290653542673	0.99670200858	0.0
