# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within groupA	All between groupA	-7.21134692184	2.48782115393e-11	6.29418751943e-09	0.001	0.253
All within groupA	MN vs. MN	1.24166410814	0.229470718247	1	0.218	1.000
All within groupA	MT vs. MT	0.032235268138	0.97462065485	1	0.975	1.000
All within groupA	TL vs. TL	1.07965438817	0.293811489666	1	0.297	1.000
All within groupA	SM vs. SM	-1.72004537301	0.101671384057	1	0.083	1.000
All within groupA	TC vs. TC	-1.24373546708	0.228724087889	1	0.197	1.000
All within groupA	TA vs. TA	0.716246415565	0.48255062532	1	0.478	1.000
All within groupA	MN vs. MT	-16.3232501435	7.65301532929e-15	1.93621287831e-12	0.001	0.253
All within groupA	MN vs. TL	-14.8694682461	6.38879577371e-14	1.61636533075e-11	0.001	0.253
All within groupA	MN vs. SM	-13.1026416913	1.06685114776e-12	2.69913340382e-10	0.001	0.253
All within groupA	MN vs. TC	-11.8112180107	1.008320792e-11	2.55105160375e-09	0.001	0.253
All within groupA	MN vs. TA	-10.1167454247	2.53547634062e-10	6.41475514176e-08	0.001	0.253
All within groupA	MT vs. TL	-7.60419637278	5.85124465406e-08	1.48036489748e-05	0.001	0.253
All within groupA	MT vs. SM	-4.35494073712	0.000198305728368	0.0501713492771	0.001	0.253
All within groupA	MT vs. TC	-7.85719059674	3.25798484425e-08	8.24270165595e-06	0.001	0.253
All within groupA	MT vs. TA	-9.17596877961	1.76591684386e-09	4.46776961497e-07	0.001	0.253
All within groupA	TL vs. SM	-5.47334384081	1.10084156626e-05	0.00278512916265	0.002	0.506
All within groupA	TL vs. TC	-4.84275660767	5.60024488506e-05	0.0141686195592	0.001	0.253
All within groupA	TL vs. TA	-1.15084965375	0.260683035322	1	0.251	1.000
All within groupA	SM vs. TC	-3.60068880844	0.00137042171795	0.346716694641	0.002	0.506
All within groupA	SM vs. TA	-4.88691269061	4.99484580773e-05	0.0126369598936	0.001	0.253
All within groupA	TC vs. TA	-3.17471571503	0.00395322315829	1	0.006	1.000
All between groupA	MN vs. MN	3.74673291804	0.000263830088764	0.0667490124574	0.001	0.253
All between groupA	MT vs. MT	3.01862513073	0.00303279504511	0.767297146412	0.002	0.506
All between groupA	TL vs. TL	3.63738163933	0.000389911964712	0.0986477270721	0.001	0.253
All between groupA	SM vs. SM	1.90485013614	0.0589109137484	1	0.065	1.000
All between groupA	TC vs. TC	2.24982451974	0.0260664173545	1	0.025	1.000
All between groupA	TA vs. TA	3.43109689259	0.000796497830351	0.201513951079	0.001	0.253
All between groupA	MN vs. MT	-4.55287856644	1.12805185082e-05	0.00285397118258	0.001	0.253
All between groupA	MN vs. TL	-3.88330906221	0.000157368325587	0.0398141863735	0.002	0.506
All between groupA	MN vs. SM	-3.06879448649	0.00257504605205	0.651486651169	0.002	0.506
All between groupA	MN vs. TC	-2.1798450558	0.0309169490259	1	0.033	1.000
All between groupA	MN vs. TA	-1.54816332032	0.123808812837	1	0.119	1.000
All between groupA	MT vs. TL	0.44952075508	0.653741426837	1	0.670	1.000
All between groupA	MT vs. SM	2.44855044811	0.0155618592954	1	0.013	1.000
