	T1	TS4	T9	T2	MN15	MN12	SM2	MN13	MT213	TL1	SM4	MT210	MT209	TS6	TS8	TL2	SM5	TL3
T1	0.0	0.323656047527	0.339830433094	0.357446667982	0.618054596964	0.654053307225	0.564589495471	0.732744092476	0.640708510569	0.411212030004	0.442655080971	0.611923718004	0.657378100049	0.589648463969	0.481189643663	0.408884706472	0.739003215745	0.441825939439
TS4	0.323656047527	0.0	0.435353117338	0.469827051365	0.67392846848	0.712525237431	0.445244342314	0.765827549082	0.589596360895	0.451573568282	0.368231272121	0.524556877829	0.59228573328	0.485855502465	0.404897712131	0.446968954063	0.65616382293	0.51352057677
T9	0.339830433094	0.435353117338	0.0	0.44763984796	0.689597490439	0.735075863635	0.539781957078	0.78882277858	0.608466723363	0.425681923353	0.45151163229	0.585271804944	0.630995689372	0.583265374772	0.553623390085	0.421141064171	0.716110434706	0.451755611862
T2	0.357446667982	0.469827051365	0.44763984796	0.0	0.605957899054	0.657240534391	0.614197271658	0.699015570349	0.673506606628	0.482351897274	0.499939325093	0.655842058971	0.711460267238	0.617667122588	0.570061365814	0.449546101095	0.771008372462	0.467358348642
MN15	0.618054596964	0.67392846848	0.689597490439	0.605957899054	0.0	0.297746224483	0.711513215742	0.3796557016	0.784118985832	0.783064879618	0.671502593387	0.767177900788	0.792585940804	0.711290676897	0.648609632853	0.73391456438	0.761769251865	0.739029093539
MN12	0.654053307225	0.712525237431	0.735075863635	0.657240534391	0.297746224483	0.0	0.735894478109	0.400938813977	0.835343084733	0.819762427626	0.711674737587	0.798493211455	0.838081748033	0.725322656074	0.667377331228	0.764979716606	0.809986697042	0.754390891491
SM2	0.564589495471	0.445244342314	0.539781957078	0.614197271658	0.711513215742	0.735894478109	0.0	0.779527886476	0.54151901092	0.560154616648	0.409988762672	0.489793900699	0.529306708396	0.510450436339	0.558731628693	0.554971020541	0.475465100038	0.601257045761
MN13	0.732744092476	0.765827549082	0.78882277858	0.699015570349	0.3796557016	0.400938813977	0.779527886476	0.0	0.830132873123	0.83471619925	0.753175047912	0.789289571945	0.841941169566	0.771644152762	0.733778102178	0.795369823183	0.801881202595	0.808333915314
MT213	0.640708510569	0.589596360895	0.608466723363	0.673506606628	0.784118985832	0.835343084733	0.54151901092	0.830132873123	0.0	0.554616586501	0.579143955148	0.462473451848	0.376586630162	0.656181354977	0.67327858354	0.595034238996	0.582750786207	0.617675290551
TL1	0.411212030004	0.451573568282	0.425681923353	0.482351897274	0.783064879618	0.819762427626	0.560154616648	0.83471619925	0.554616586501	0.0	0.489307489706	0.538917598932	0.604882816619	0.600022289089	0.567123961009	0.341030563004	0.686223919733	0.361201687189
SM4	0.442655080971	0.368231272121	0.45151163229	0.499939325093	0.671502593387	0.711674737587	0.409988762672	0.753175047912	0.579143955148	0.489307489706	0.0	0.508529247425	0.550566074831	0.533243808557	0.434993261448	0.460850278327	0.581279562478	0.529258885941
MT210	0.611923718004	0.524556877829	0.585271804944	0.655842058971	0.767177900788	0.798493211455	0.489793900699	0.789289571945	0.462473451848	0.538917598932	0.508529247425	0.0	0.393465201592	0.571316654377	0.62970035535	0.583916736846	0.472734939696	0.632540306614
MT209	0.657378100049	0.59228573328	0.630995689372	0.711460267238	0.792585940804	0.838081748033	0.529306708396	0.841941169566	0.376586630162	0.604882816619	0.550566074831	0.393465201592	0.0	0.67474105249	0.677215496793	0.654048672972	0.458069506404	0.66429438453
TS6	0.589648463969	0.485855502465	0.583265374772	0.617667122588	0.711290676897	0.725322656074	0.510450436339	0.771644152762	0.656181354977	0.600022289089	0.533243808557	0.571316654377	0.67474105249	0.0	0.50402318809	0.537474155983	0.657404042496	0.635712041885
TS8	0.481189643663	0.404897712131	0.553623390085	0.570061365814	0.648609632853	0.667377331228	0.558731628693	0.733778102178	0.67327858354	0.567123961009	0.434993261448	0.62970035535	0.677215496793	0.50402318809	0.0	0.564760209935	0.628884073473	0.627100819058
TL2	0.408884706472	0.446968954063	0.421141064171	0.449546101095	0.73391456438	0.764979716606	0.554971020541	0.795369823183	0.595034238996	0.341030563004	0.460850278327	0.583916736846	0.654048672972	0.537474155983	0.564760209935	0.0	0.701767038288	0.400024796206
SM5	0.739003215745	0.65616382293	0.716110434706	0.771008372462	0.761769251865	0.809986697042	0.475465100038	0.801881202595	0.582750786207	0.686223919733	0.581279562478	0.472734939696	0.458069506404	0.657404042496	0.628884073473	0.701767038288	0.0	0.756306929
TL3	0.441825939439	0.51352057677	0.451755611862	0.467358348642	0.739029093539	0.754390891491	0.601257045761	0.808333915314	0.617675290551	0.361201687189	0.529258885941	0.632540306614	0.66429438453	0.635712041885	0.627100819058	0.400024796206	0.756306929	0.0
