# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within groupA	All between groupA	-6.22610236288	4.50549116053e-09	1.13988926361e-06	0.001	0.253
All within groupA	MN vs. MN	-3.05531372114	0.00651160723554	1	0.005	1.000
All within groupA	MT vs. MT	1.17704728206	0.25371205178	1	0.254	1.000
All within groupA	TL vs. TL	-0.0951058182705	0.925226665849	1	0.933	1.000
All within groupA	SM vs. SM	1.67578295701	0.11015946819	1	0.110	1.000
All within groupA	TC vs. TC	0.216911838248	0.830589194745	1	0.888	1.000
All within groupA	TA vs. TA	0.0678869526014	0.946584954644	1	0.935	1.000
All within groupA	MN vs. MT	-10.8779151529	5.71456481251e-11	1.44578489757e-08	0.001	0.253
All within groupA	MN vs. TL	-13.9471753109	2.68268736827e-13	6.78719904172e-11	0.001	0.253
All within groupA	MN vs. SM	-10.4228869918	1.38087598843e-10	3.49361625073e-08	0.001	0.253
All within groupA	MN vs. TC	-8.92423189128	3.02634637963e-09	7.65665634046e-07	0.001	0.253
All within groupA	MN vs. TA	-9.68680349131	6.0702957835e-10	1.53578483322e-07	0.001	0.253
All within groupA	MT vs. TL	-7.36365400671	1.02895990023e-07	2.60326854757e-05	0.001	0.253
All within groupA	MT vs. SM	1.66901694027	0.107591316109	1	0.120	1.000
All within groupA	MT vs. TC	-1.53840467841	0.136511849602	1	0.135	1.000
All within groupA	MT vs. TA	-5.24933227572	1.95773480736e-05	0.00495306906263	0.001	0.253
All within groupA	TL vs. SM	-9.83183215955	4.51011011996e-10	1.14105786035e-07	0.001	0.253
All within groupA	TL vs. TC	-11.635139956	1.38833238513e-11	3.51248093439e-09	0.001	0.253
All within groupA	TL vs. TA	-7.77614367239	3.92659409827e-08	9.93428306862e-06	0.001	0.253
All within groupA	SM vs. TC	0.173761570941	0.863452198536	1	0.874	1.000
All within groupA	SM vs. TA	-7.0498593615	2.17292472108e-07	5.49749954432e-05	0.001	0.253
All within groupA	TC vs. TA	-4.71162308663	7.86757539866e-05	0.0199049657586	0.001	0.253
All between groupA	MN vs. MN	0.922390301303	0.357958498771	1	0.376	1.000
All between groupA	MT vs. MT	3.22494385034	0.00157801446141	0.399237658736	0.003	0.759
All between groupA	TL vs. TL	2.53073131082	0.0125214837856	1	0.014	1.000
All between groupA	SM vs. SM	3.50136653509	0.000626563964561	0.158520683034	0.001	0.253
All between groupA	TC vs. TC	2.70286386183	0.00775145665366	1	0.007	1.000
All between groupA	TA vs. TA	2.62093824337	0.00976664161052	1	0.005	1.000
All between groupA	MN vs. MT	-1.81544889813	0.0715649071037	1	0.063	1.000
All between groupA	MN vs. TL	-3.29836872502	0.00122915434065	0.310976048183	0.002	0.506
All between groupA	MN vs. SM	-1.70733253364	0.0899457972466	1	0.104	1.000
All between groupA	MN vs. TC	-1.76797709356	0.0792123187673	1	0.085	1.000
All between groupA	MN vs. TA	-2.31770644147	0.0218941844441	1	0.022	1.000
All between groupA	MT vs. TL	-0.407619094008	0.684167220125	1	0.669	1.000
All between groupA	MT vs. SM	5.41181105824	2.58758015681e-07	6.54657779673e-05	0.001	0.253
All between groupA	MT vs. TC	3.54192355885	0.000537826451671	0.136070092273	0.001	0.253
All between groupA	MT vs. TA	1.49104954622	0.138166582657	1	0.147	1.000
