	T1	TS4	T9	T2	MN15	MN12	SM2	MN13	MT213	TL1	SM4	MT210	MT209	TS6	TS8	TL2	SM5	TL3
T1	0.0	0.192911426763	0.0915856424864	0.131736385618	0.447515951386	0.364553349791	0.321757657931	0.584983299152	0.242517925054	0.439591612862	0.268512426889	0.311960420306	0.235038771996	0.276408799848	0.26200643246	0.333989074566	0.339970930498	0.480042772503
TS4	0.192911426763	0.0	0.204526219775	0.247199299911	0.394748031396	0.300719036587	0.137823716926	0.530707423725	0.156820917838	0.489911909102	0.0895662818078	0.129813247246	0.160010700089	0.104182052159	0.173830754526	0.374589515128	0.156578728953	0.537422048361
T9	0.0915856424864	0.204526219775	0.0	0.171318247879	0.468323300418	0.381782863654	0.332808751741	0.603294152424	0.258309626535	0.469239154323	0.279354734777	0.322089853146	0.243913587796	0.28721712875	0.278970155716	0.364196871756	0.350911106469	0.505898347892
T2	0.131736385618	0.247199299911	0.171318247879	0.0	0.421080077225	0.353093414356	0.360895094316	0.556302771237	0.27666958096	0.331363496645	0.305657188252	0.349276355235	0.270130648183	0.31538328396	0.336286595772	0.229701981263	0.37923655526	0.37113361818
MN15	0.447515951386	0.394748031396	0.468323300418	0.421080077225	0.0	0.25426003165	0.450299734144	0.299476657805	0.460229197367	0.507519218888	0.425033568806	0.450046575516	0.455314963919	0.430244568933	0.476292311685	0.477628947968	0.459561091277	0.542169818964
MN12	0.364553349791	0.300719036587	0.381782863654	0.353093414356	0.25426003165	0.0	0.372994772756	0.267831291303	0.384449461957	0.514328965692	0.349777631346	0.373466376757	0.380926371693	0.330719192303	0.376399351817	0.448206371693	0.382759644259	0.553679120142
SM2	0.321757657931	0.137823716926	0.332808751741	0.360895094316	0.450299734144	0.372994772756	0.0	0.486152649702	0.109154542347	0.464477864287	0.0678689251804	0.0259660919104	0.118267309786	0.0789200544373	0.166310615268	0.34851404988	0.019365972908	0.512637103431
MN13	0.584983299152	0.530707423725	0.603294152424	0.556302771237	0.299476657805	0.267831291303	0.486152649702	0.0	0.484289412584	0.517307994683	0.484827406001	0.483379807571	0.479642316749	0.52115713508	0.5776013584	0.498772145841	0.493994753766	0.536842752247
MT213	0.242517925054	0.156820917838	0.258309626535	0.27666958096	0.460229197367	0.384449461957	0.109154542347	0.484289412584	0.0	0.367714442334	0.0976134789214	0.0891806823649	0.0549995607039	0.172896829978	0.26105343208	0.257298823902	0.120085341182	0.41898092037
TL1	0.439591612862	0.489911909102	0.469239154323	0.331363496645	0.507519218888	0.514328965692	0.464477864287	0.517307994683	0.367714442334	0.0	0.446034651222	0.445755390556	0.360853387771	0.51718615521	0.581142002785	0.144401143183	0.476738413723	0.0913374895556
SM4	0.268512426889	0.0895662818078	0.279354734777	0.305657188252	0.425033568806	0.349777631346	0.0678689251804	0.484827406001	0.0976134789214	0.446034651222	0.0	0.0629900873528	0.103657422459	0.101222057222	0.179386718572	0.329815032283	0.0862799848082	0.493908239018
MT210	0.311960420306	0.129813247246	0.322089853146	0.349276355235	0.450046575516	0.373466376757	0.0259660919104	0.483379807571	0.0891806823649	0.445755390556	0.0629900873528	0.0	0.0989806912267	0.0965745195594	0.182970843145	0.332152647171	0.034257389543	0.49513925307
MT209	0.235038771996	0.160010700089	0.243913587796	0.270130648183	0.455314963919	0.380926371693	0.118267309786	0.479642316749	0.0549995607039	0.360853387771	0.103657422459	0.0989806912267	0.0	0.182003862514	0.270442872516	0.249769031523	0.129391130523	0.411134908216
TS6	0.276408799848	0.104182052159	0.28721712875	0.31538328396	0.430244568933	0.330719192303	0.0789200544373	0.52115713508	0.172896829978	0.51718615521	0.101222057222	0.0965745195594	0.182003862514	0.0	0.0959814634764	0.402188609951	0.0855416521079	0.564218649196
TS8	0.26200643246	0.173830754526	0.278970155716	0.336286595772	0.476292311685	0.376399351817	0.166310615268	0.5776013584	0.26105343208	0.581142002785	0.179386718572	0.182970843145	0.270442872516	0.0959814634764	0.0	0.475149166983	0.173618439043	0.625634861375
TL2	0.333989074566	0.374589515128	0.364196871756	0.229701981263	0.477628947968	0.448206371693	0.34851404988	0.498772145841	0.257298823902	0.144401143183	0.329815032283	0.332152647171	0.249769031523	0.402188609951	0.475149166983	0.0	0.361356976833	0.181465339916
SM5	0.339970930498	0.156578728953	0.350911106469	0.37923655526	0.459561091277	0.382759644259	0.019365972908	0.493994753766	0.120085341182	0.476738413723	0.0862799848082	0.034257389543	0.129391130523	0.0855416521079	0.173618439043	0.361356976833	0.0	0.526528801114
TL3	0.480042772503	0.537422048361	0.505898347892	0.37113361818	0.542169818964	0.553679120142	0.512637103431	0.536842752247	0.41898092037	0.0913374895556	0.493908239018	0.49513925307	0.411134908216	0.564218649196	0.625634861375	0.181465339916	0.526528801114	0.0
