OTU	Test-Statistic	P	FDR_P	Bonferroni_P	MN_mean	MT_mean	TL_mean	SM_mean	TC_mean	TA_mean	taxonomy
726686	16.875	0.00474306654191	0.0647104217709	1.0	7.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Arcobacter; s__
590270	16.875	0.00474306654191	0.0647104217709	1.0	0.0	11.3333333333	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__; g__; s__
New.ReferenceOTU133	16.875	0.00474306654191	0.0647104217709	1.0	4.33333333333	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Arcobacter; s__
New.ReferenceOTU158	16.875	0.00474306654191	0.0647104217709	1.0	5.66666666667	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Oceanospirillaceae; g__Neptunomonas; s__
New.CleanUp.ReferenceOTU538	16.875	0.00474306654191	0.0647104217709	1.0	4.33333333333	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Oceanospirillaceae; g__Amphritea; s__
548736	16.8337408313	0.00482614780554	0.0647104217709	1.0	188.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__; s__
551164	16.8337408313	0.00482614780554	0.0647104217709	1.0	5.33333333333	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__
190531	16.8337408313	0.00482614780554	0.0647104217709	1.0	0.0	0.0	11.6666666667	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Sediminibacterium; s__
551347	16.8337408313	0.00482614780554	0.0647104217709	1.0	0.0	0.0	7.66666666667	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__; s__
536793	16.8337408313	0.00482614780554	0.0647104217709	1.0	20.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__; s__
744080	16.8337408313	0.00482614780554	0.0647104217709	1.0	119.666666667	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Acidaminobacteraceae]; g__WH1-8; s__
227146	16.8337408313	0.00482614780554	0.0647104217709	1.0	19.3333333333	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Arcobacter; s__
370067	16.8337408313	0.00482614780554	0.0647104217709	1.0	15.6666666667	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Acidaminobacteraceae]; g__WH1-8; s__
4352594	16.8337408313	0.00482614780554	0.0647104217709	1.0	17.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__; s__
359953	16.8337408313	0.00482614780554	0.0647104217709	1.0	28.3333333333	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__; s__
New.ReferenceOTU44	16.8337408313	0.00482614780554	0.0647104217709	1.0	11.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__; f__; g__; s__
New.ReferenceOTU21	16.8337408313	0.00482614780554	0.0647104217709	1.0	46.3333333333	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__
New.ReferenceOTU66	16.8337408313	0.00482614780554	0.0647104217709	1.0	14.3333333333	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__; s__
New.ReferenceOTU16	16.8337408313	0.00482614780554	0.0647104217709	1.0	51.3333333333	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__; f__; g__; s__
New.CleanUp.ReferenceOTU83	16.8337408313	0.00482614780554	0.0647104217709	1.0	38.3333333333	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]; o__Lentisphaerales; f__Lentisphaeraceae; g__; s__
New.CleanUp.ReferenceOTU78	16.8337408313	0.00482614780554	0.0647104217709	1.0	15.6666666667	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Acidaminobacteraceae]; g__WH1-8; s__
New.CleanUp.ReferenceOTU431	16.8337408313	0.00482614780554	0.0647104217709	1.0	8.66666666667	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Arcobacter; s__
New.CleanUp.ReferenceOTU36	16.8337408313	0.00482614780554	0.0647104217709	1.0	37.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__; s__
New.CleanUp.ReferenceOTU22	16.8337408313	0.00482614780554	0.0647104217709	1.0	43.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Arcobacter; s__
140967	16.8008784773	0.00489333601454	0.0647104217709	1.0	6.66666666667	0.0	0.0	0.0	0.0	85.3333333333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__
367944	16.2035139092	0.00628642557297	0.0647104217709	1.0	13.3333333333	0.0	0.0	0.0	0.0	10.3333333333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Oceanospirillaceae; g__Oceanospirillum; s__
New.CleanUp.ReferenceOTU5	16.0041572184	0.00683221489465	0.0647104217709	1.0	0.0	3.66666666667	7.66666666667	0.333333333333	0.0	2.0	k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__MLE1-12; f__; g__; s__
810889	15.599448466	0.00808576548266	0.0647104217709	1.0	0.333333333333	16.3333333333	68.0	6.33333333333	6.33333333333	44.6666666667	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__; s__
357011	15.5599173554	0.00821957439005	0.0647104217709	1.0	1.66666666667	222.666666667	867.666666667	63.0	54.3333333333	455.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__
New.ReferenceOTU1	15.533625731	0.00830975848848	0.0647104217709	1.0	206.0	0.0	5.66666666667	0.0	7.0	1524.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__
New.CleanUp.ReferenceOTU65	15.4523297491	0.00859474319861	0.0647104217709	1.0	0.0	3.0	21.6666666667	0.666666666667	0.333333333333	13.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Sediminibacterium; s__
New.ReferenceOTU4	15.4262521589	0.0086881545772	0.0647104217709	1.0	0.666666666667	3923.33333333	292.666666667	3163.33333333	2023.33333333	67.3333333333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Endozoicimonaceae; g__; s__
159017	15.3550275482	0.00894834015586	0.0647104217709	1.0	2.33333333333	101.666666667	512.666666667	33.0	37.3333333333	302.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__; s__
New.CleanUp.ReferenceOTU529	15.296196868	0.00916894485017	0.0647104217709	1.0	0.0	1.33333333333	0.333333333333	4.66666666667	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Endozoicimonaceae; g__; s__
New.CleanUp.ReferenceOTU26	15.2105263158	0.00949966747883	0.0647104217709	1.0	57.0	0.0	0.333333333333	0.666666666667	3.33333333333	126.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__
New.CleanUp.ReferenceOTU361	15.1034637877	0.00992928137082	0.0647104217709	1.0	0.0	0.333333333333	2.66666666667	0.0	0.0	1.33333333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__; s__
555869	15.0484094053	0.010157482379	0.0647104217709	1.0	0.333333333333	1937.0	750.333333333	3252.33333333	853.333333333	44.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Endozoicimonaceae; g__; s__
559632	15.0037878788	0.0103461651543	0.0647104217709	1.0	11.0	0.0	0.0	0.333333333333	23.0	118.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio; s__shilonii
New.ReferenceOTU9	14.9543821839	0.0105590445029	0.0647104217709	1.0	0.0	0.333333333333	64.6666666667	5.33333333333	2.33333333333	26.6666666667	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Sediminibacterium; s__
1105814	14.8581560284	0.0109859244618	0.0647104217709	1.0	0.0	5.33333333333	3.33333333333	0.0	0.0	0.666666666667	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium; s__
New.CleanUp.ReferenceOTU33	14.7999300455	0.011252302789	0.0647104217709	1.0	0.333333333333	5.0	30.6666666667	2.33333333333	1.0	14.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__
New.CleanUp.ReferenceOTU320	14.7764900662	0.0113612966279	0.0647104217709	1.0	0.0	2.0	0.0	13.6666666667	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Endozoicimonaceae; g__; s__
