# Constructed from biom file
#OTU ID	MN12	MN13	MN15	MT209	MT210	MT213	SM2	SM4	SM5	T1	T2	T9	TL1	TL2	TL3	TS4	TS6	TS8
Unassigned;Other;Other;Other;Other;Other	0.00278516267882	0.00341815419673	0.0192429421446	0.00911507785796	0.00253196607165	0.00835548803646	0.00354475250032	0.00417774401823	0.00405114571465	0.000253196607165	0.00113938473224	0.0132928218762	0.00987466767945	0.00607671857197	0.0111406507153	0.00341815419673	0.00696290669705	0.00607671857197
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__	0.0	0.0	0.0	0.0	0.0	0.000126598303583	0.0	0.0	0.0	0.000886188125079	0.000759589821496	0.0	0.00113938473224	0.000126598303583	0.00303835928599	0.0	0.000253196607165	0.000379794910748
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000632991517914	0.0	0.0	0.00139258133941	0.0	0.000379794910748	0.000126598303583	0.0	0.000126598303583
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OCS155;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.000886188125079	0.00253196607165	0.0	0.000759589821496	0.00696290669705	0.000506393214331	0.0112672490189	0.00557032535764	0.00265856437524	0.00278516267882	0.00101278642866	0.000126598303583
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales];f__[Fimbriimonadaceae];g__Fimbriimonas	0.0	0.0	0.0	0.0	0.000126598303583	0.0	0.0	0.00151917964299	0.0	0.00354475250032	0.00632991517914	0.00898847955437	0.00860868464363	0.00468413723256	0.00822888973288	0.000379794910748	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__	0.00278516267882	0.0029117609824	0.000253196607165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00379794910748	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae;g__	0.0	0.0	0.000126598303583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00557032535764	0.0	0.00569692366122	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae;g__Flammeovirga	0.000506393214331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00595012026839	0.0	0.0	0.0	0.0	0.0	0.000759589821496	0.0	0.000379794910748
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__[Amoebophilaceae];g__Candidatus Amoebophilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00177237625016	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__[Amoebophilaceae];g__SC3-56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000126598303583	0.00177237625016	0.0	0.0	0.0	0.0
