# Constructed from biom file
#OTU ID	MN12	MN13	MN15	MT209	MT210	MT213	SM2	SM4	SM5	T1	T2	T9	TL1	TL2	TL3	TS4	TS6	TS8
Unassigned;Other;Other;Other	0.00278516267882	0.00341815419673	0.0192429421446	0.00911507785796	0.00253196607165	0.00835548803646	0.00354475250032	0.00417774401823	0.00405114571465	0.000253196607165	0.00113938473224	0.0132928218762	0.00987466767945	0.00607671857197	0.0111406507153	0.00341815419673	0.00696290669705	0.00607671857197
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513	0.0	0.0	0.0	0.0	0.0	0.000126598303583	0.0	0.0	0.0	0.000886188125079	0.000759589821496	0.0	0.00113938473224	0.000126598303583	0.00303835928599	0.0	0.000253196607165	0.000379794910748
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000632991517914	0.0	0.0	0.00139258133941	0.0	0.000379794910748	0.000126598303583	0.0	0.000126598303583
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	0.0	0.0	0.0	0.0	0.0	0.0	0.000886188125079	0.00253196607165	0.0	0.000759589821496	0.00696290669705	0.000506393214331	0.0112672490189	0.00557032535764	0.00265856437524	0.00278516267882	0.00101278642866	0.000126598303583
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales]	0.0	0.0	0.0	0.0	0.000126598303583	0.0	0.0	0.00151917964299	0.0	0.00354475250032	0.00632991517914	0.00898847955437	0.00860868464363	0.00468413723256	0.00822888973288	0.000379794910748	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.00278516267882	0.0029117609824	0.000253196607165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00379794910748	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	0.000506393214331	0.0	0.000126598303583	0.0	0.0	0.0	0.0	0.0	0.0	0.00595012026839	0.00557032535764	0.0	0.00582352196481	0.00177237625016	0.00177237625016	0.000759589821496	0.0	0.000379794910748
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.00354475250032	0.000126598303583	0.00683630839347	0.0	0.0	0.0	0.0	0.00417774401823	0.0	0.00113938473224	0.00177237625016	0.00329155589315	0.00405114571465	0.00645651348272	0.0139258133941	0.000506393214331	0.000379794910748	0.000253196607165
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi];o__[Rhodothermales]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00189897455374	0.0	0.0036713508039	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]	0.000253196607165	0.000126598303583	0.00113938473224	0.0353209266996	0.00468413723256	0.0639321433093	0.00569692366122	0.022154703127	0.000759589821496	0.0810229142929	0.120015191796	0.049753133308	0.216103304216	0.159640460818	0.206988226358	0.0184833523231	0.00329155589315	0.00240536776807
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Thermogemmatisporales	0.0	0.0	0.0	0.00303835928599	0.000126598303583	0.000126598303583	0.000253196607165	0.000632991517914	0.0	0.00215217116091	0.000253196607165	0.00784909482213	0.014558804912	0.0127864286619	0.0134194201798	0.000126598303583	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12	0.0	0.000253196607165	0.000253196607165	0.00924167616154	0.00101278642866	0.00101278642866	0.0	0.0036713508039	0.000126598303583	0.0131662235726	0.0127864286619	0.0189897455374	0.0455753892898	0.0289910115204	0.0359539182175	0.00569692366122	0.000253196607165	0.000632991517914
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00177237625016	0.000759589821496	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00177237625016	0.0	0.000886188125079	0.00354475250032	0.000506393214331	0.00164577794658	0.00189897455374	0.00303835928599	0.0	0.0	0.000126598303583
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.119888593493	0.250158247879	0.0368401063426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00253196607165	0.0	0.0	0.0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales	0.00354475250032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00139258133941	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Lentisphaerales	0.0177237625016	0.160020255729	0.413849854412	0.0	0.0	0.0	0.0	0.0	0.0	0.00177237625016	0.00139258133941	0.0	0.0	0.00278516267882	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__BD7-11;o__	0.0	0.0	0.0	0.0	0.0	0.00177237625016	0.000253196607165	0.000253196607165	0.0	0.000379794910748	0.00544372705406	0.00519053044689	0.000253196607165	0.000506393214331	0.00848208634004	0.00164577794658	0.0	0.0
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00151917964299	0.0	0.0	0.0	0.0	0.0	0.0
