# Constructed from biom file
#OTU ID	MN	MT	SM	TA	TC	TL
Unassigned;Other	0.00848208634004	0.00666751065536	0.00392454741106	0.0048951344052	0.00548592648859	0.0090306789889
k__Bacteria;p__Acidobacteria	0.0	4.21994345276e-05	0.0	0.000759589821496	0.000295396041693	0.00202557285732
k__Bacteria;p__Actinobacteria	0.0	0.0	0.00113938473224	0.00274296324429	0.00130818247035	0.00649871291725
k__Bacteria;p__Armatimonadetes	0.0	4.21994345276e-05	0.000506393214331	0.00628771574461	0.000126598303583	0.00717390386969
k__Bacteria;p__Bacteroidetes	0.00620331687555	0.0346457357471	0.0109296535426	0.089505000633	0.00881968181626	0.208634004304
k__Bacteria;p__Chloroflexi	0.0	0.00109718529772	0.000295396041693	0.00341815419673	4.21994345276e-05	0.0135882179179
k__Bacteria;p__Cyanobacteria	0.00016879773811	0.00375574967295	0.00185677511921	0.0174705658944	0.00223657002996	0.039034476938
k__Bacteria;p__Firmicutes	0.135628982572	0.0	0.0	0.0	0.0	0.000843988690552
k__Bacteria;p__Fusobacteria	0.00118158416677	0.0	0.0	0.0	0.0	0.000464193779803
k__Bacteria;p__Lentisphaerae	0.197197957547	0.0	0.0	0.00105498586319	0.0	0.000928387559607
k__Bacteria;p__Planctomycetes	0.0	0.000590792083386	0.000210997172638	0.00552812592311	0.000759589821496	0.00438874119087
k__Bacteria;p__Proteobacteria	0.651137274761	0.953158627674	0.981136852766	0.867282778411	0.980883656159	0.706334135123
k__Bacteria;p__SAR406	0.0	0.0	0.0	0.000675190952441	4.21994345276e-05	0.000253196607165
k__Bacteria;p__TM6	0.0	0.0	0.0	0.000379794910748	0.0	0.000295396041693
k__Bacteria;p__Verrucomicrobia	0.0	0.0	0.0	0.0	0.0	0.000506393214331
