	T1	TS4	T9	T2	MN15	MN12	SM2	MN13	MT213	TL1	SM4	MT210	MT209	TS6	TS8	TL2	SM5	TL3
T1	0.0	0.346289696035	0.0921422037286	0.0945917150118	0.221667555705	0.482191691016	0.444409607206	0.735862092313	0.640271597724	0.569409328976	0.343530757796	0.617027101425	0.69419004515	0.465087383419	0.849379031545	0.476235401573	0.730701829513	0.385483577531
TS4	0.346289696035	0.0	0.210139819663	0.437387129663	0.708490877714	0.708796227686	0.18987734752	0.905107346216	0.279669942175	0.320478134197	0.0691414192393	0.319849359746	0.364347568118	0.0451541954044	0.0544717244738	0.349696263101	0.371487523551	0.316773195148
T9	0.0921422037286	0.210139819663	0.0	0.133111211174	0.752888569789	0.801606656681	0.630334219617	0.959773727257	0.444697323643	0.567483423614	0.344352630484	0.616171519929	0.684970395541	0.477274878598	0.844532720645	0.461727777401	0.727455694905	0.225120645139
T2	0.0945917150118	0.437387129663	0.133111211174	0.0	0.553539974347	0.469549041626	0.685699309211	0.635514874164	0.643930178142	0.497294531221	0.578368838549	0.593396674771	0.670732139037	0.617374458437	0.880822625299	0.438584682776	0.751680285579	0.257790669068
MN15	0.221667555705	0.708490877714	0.752888569789	0.553539974347	0.0	0.139189664464	0.865632772635	0.268999907482	0.955600254501	0.874047073727	0.711943522624	0.903530634316	0.994816234541	0.766466799812	0.706026620011	0.464749701396	0.995318327184	0.836552504063
MN12	0.482191691016	0.708796227686	0.801606656681	0.469549041626	0.139189664464	0.0	0.958075525962	0.266378819981	0.973546989232	0.917975412525	0.858058955698	0.966199434776	0.998367944959	0.793627431347	0.643253130555	0.730520934023	0.998918871384	0.881353683234
SM2	0.444409607206	0.18987734752	0.630334219617	0.685699309211	0.865632772635	0.958075525962	0.0	0.985058328382	0.0729189505135	0.182711562764	0.0720132384988	0.0377428325809	0.0716936365158	0.0328544074431	0.0754908205425	0.139754775845	0.0312094496164	0.236777253497
MN13	0.735862092313	0.905107346216	0.959773727257	0.635514874164	0.268999907482	0.266378819981	0.985058328382	0.0	0.993069322816	0.981220029769	0.916149030404	0.986522606376	0.99886157396	0.95865580939	0.670662017004	0.833380542098	0.999241101375	0.967952333148
MT213	0.640271597724	0.279669942175	0.444697323643	0.643930178142	0.955600254501	0.973546989232	0.0729189505135	0.993069322816	0.0	0.144904576633	0.163502161985	0.0439725871556	0.0447120937668	0.452567905774	0.883269473534	0.139145106755	0.0631570680203	0.204168716904
TL1	0.569409328976	0.320478134197	0.567483423614	0.497294531221	0.874047073727	0.917975412525	0.182711562764	0.981220029769	0.144904576633	0.0	0.164093654546	0.124481295934	0.115829120953	0.497316830204	0.871796341207	0.0704734759808	0.207456126498	0.116493232639
SM4	0.343530757796	0.0691414192393	0.344352630484	0.578368838549	0.711943522624	0.858058955698	0.0720132384988	0.916149030404	0.163502161985	0.164093654546	0.0	0.129190929261	0.165479590651	0.0766887860811	0.0802040789821	0.177744898509	0.14658816194	0.246448310234
MT210	0.617027101425	0.319849359746	0.616171519929	0.593396674771	0.903530634316	0.966199434776	0.0377428325809	0.986522606376	0.0439725871556	0.124481295934	0.129190929261	0.0	0.0304840115288	0.425311043218	0.87864366094	0.10124656137	0.0155851247317	0.187529398759
MT209	0.69419004515	0.364347568118	0.684970395541	0.670732139037	0.994816234541	0.998367944959	0.0716936365158	0.99886157396	0.0447120937668	0.115829120953	0.165479590651	0.0304840115288	0.0	0.460176089259	0.900451361012	0.0880037860873	0.0658990720093	0.17226884336
TS6	0.465087383419	0.0451541954044	0.477274878598	0.617374458437	0.766466799812	0.793627431347	0.0328544074431	0.95865580939	0.452567905774	0.497316830204	0.0766887860811	0.425311043218	0.460176089259	0.0	0.0389122342146	0.475777512255	0.422524725794	0.523415198565
TS8	0.849379031545	0.0544717244738	0.844532720645	0.880822625299	0.706026620011	0.643253130555	0.0754908205425	0.670662017004	0.883269473534	0.871796341207	0.0802040789821	0.87864366094	0.900451361012	0.0389122342146	0.0	0.887340284217	0.899844680573	0.845725879189
TL2	0.476235401573	0.349696263101	0.461727777401	0.438584682776	0.464749701396	0.730520934023	0.139754775845	0.833380542098	0.139145106755	0.0704734759808	0.177744898509	0.10124656137	0.0880037860873	0.475777512255	0.887340284217	0.0	0.167546915355	0.107275684433
SM5	0.730701829513	0.371487523551	0.727455694905	0.751680285579	0.995318327184	0.998918871384	0.0312094496164	0.999241101375	0.0631570680203	0.207456126498	0.14658816194	0.0155851247317	0.0658990720093	0.422524725794	0.899844680573	0.167546915355	0.0	0.279239486082
TL3	0.385483577531	0.316773195148	0.225120645139	0.257790669068	0.836552504063	0.881353683234	0.236777253497	0.967952333148	0.204168716904	0.116493232639	0.246448310234	0.187529398759	0.17226884336	0.523415198565	0.845725879189	0.107275684433	0.279239486082	0.0
