Level_1	Level_2	MN12	MN13	Parent seq. 1	Parent seq. 2	Rel. freq. 1 (%)	Rel. freq. 2 (%)	p-values	p-values (corrected)	Effect size	95.0% lower CI	95.0% upper CI	Power (alpha = 0.05)	Equal sample size (alpha = 0.05; power = 0.80)	
Cellular Processes	Cell Motility	206995	201202	3649814	4683323	5.67138489797	4.2961375929	0.0	0.0	1.37524730507	1.34525594653	1.40526656923	N/A	N/A	
Cellular Processes	Transport and Catabolism	9978	23187	3649814	4683323	0.273383794352	0.495097177794	0.0	0.0	-0.221713383442	-0.230024118779	-0.213397296353	N/A	N/A	
Cellular Processes	Cell Growth and Death	17914	25051	3649814	4683323	0.490819532173	0.534897977355	1.05596004792e-18	1.05596004792e-18	-0.0440784451815	-0.0538171806524	-0.0343180506738	N/A	N/A	
Cellular Processes and Signaling	Cellular Processes and Signaling_Unclassified	159576	191837	3649814	4683323	4.37216800637	4.09617273889	6.47562826124e-86	6.47562826124e-86	0.275995267483	0.248397784122	0.303616766974	N/A	N/A	
Environmental Information Processing	Membrane Transport	406605	450943	3649814	4683323	11.1404307178	9.6286974014	0.0	0.0	1.51173331644	1.46984314537	1.55364427581	N/A	N/A	
Environmental Information Processing	Signal Transduction	117695	122598	3649814	4683323	3.22468487435	2.61775666551	0.0	0.0	0.60692820884	0.583757072545	0.630127832289	N/A	N/A	
Environmental Information Processing	Signaling Molecules and Interaction	6968	6733	3649814	4683323	0.190913838349	0.14376544176	7.26311862652e-62	7.26311862652e-62	0.047148396589	0.0415225031948	0.052807767689	N/A	N/A	
Genetic Information Processing	Transcription	79587	120175	3649814	4683323	2.18057687323	2.56601989656	2.37634722898e-287	2.37634722898e-287	-0.385443023324	-0.406159963101	-0.364707078647	N/A	N/A	
Genetic Information Processing	Translation	173180	236205	3649814	4683323	4.74489932912	5.04353425976	2.32479018795e-87	2.32479018795e-87	-0.298634930639	-0.328095512756	-0.269153445681	N/A	N/A	
Genetic Information Processing	Genetic Information Processing_Unclassified	90267	118901	3649814	4683323	2.47319452443	2.53881698956	1.85427986354e-09	1.85427986354e-09	-0.0656224651273	-0.086984771954	-0.0442374747927	N/A	N/A	
