sequences per sample	T1	TS4	T9	T2	MN15	MN12	SM2	MN13	MT213	TL1	SM4	MT210	MT209	TS6	TS8	TL2	SM5	TL3
2374	93.0	72.4	99.1	108.0	79.4	100.6	40.1	70.7	66.5	88.8	82.4	38.8	59.8	42.6	50.9	89.2	28.3	85.7
3950	103.6	83.5	109.6	118.0	93.4	110.4	49.1	78.6	74.5	96.5	94.3	44.9	65.8	51.5	62.9	98.7	31.8	91.9
5526	110.6	91.5	114.9	125.2	102.0	119.1	53.5	83.9	80.3	101.9	99.0	52.0	68.9	61.0	71.5	105.6	35.5	95.3
1586	82.0	65.8	87.4	96.2	73.5	89.3	34.1	63.3	60.2	79.0	70.9	33.1	53.1	40.3	44.6	81.0	23.2	79.7
4738	109.0	88.3	112.8	123.6	95.4	115.4	51.7	80.4	78.4	99.3	95.8	48.3	67.2	55.7	69.1	104.7	34.8	94.3
10	7.1	6.1	7.1	7.5	5.5	7.0	3.4	6.0	4.3	7.2	5.0	2.9	4.8	3.8	3.9	7.0	3.1	7.0
7102	116.8	96.6	119.1	130.7	109.3	123.4	56.4	88.1	83.9	104.5	103.0	57.0	71.6	63.8	77.1	112.3	39.5	97.2
7890	119.0	99.0	121.0	133.0	112.0	125.0	58.0	90.0	85.0	106.0	104.0	59.0	73.0	66.9	79.9	113.9	41.0	99.0
3162	99.2	79.7	104.8	112.6	88.0	107.0	45.8	74.6	72.1	92.1	87.3	42.6	61.7	48.9	58.6	94.7	29.9	89.3
6314	114.5	95.0	116.7	129.5	106.3	120.5	55.3	85.6	82.5	103.6	101.3	54.6	70.0	61.8	76.4	108.8	38.5	96.3
798	66.6	50.0	72.2	78.9	59.0	73.8	25.4	53.4	48.2	66.0	52.5	24.2	43.2	30.3	35.0	64.7	17.4	67.5
