Samples name	No. of reads in rawdata	No. of reads after screen.seqs*	No. of reads after removing chimera	No. of cleaned reads for phylotype/OTUs step
MN12	30890	15914	13821	13813
MN13	20453	10105	8472	8459
MN15	22706	10890	10811	10808
MT209	43894	21818	21754	21714
MT210	41307	20093	19960	19928
MT213	60057	30390	30197	30027
SM2	44254	21891	21709	21480
SM4	26307	12926	12812	12733
SM5	32179	16131	15799	15758
T1	44796	22083	21997	21770
T2	22974	11448	11416	11294
T9	33483	16985	16884	16746
TL1	25562	12097	12055	11915
TL2	23120	10875	10774	10651
TL3	24709	11848	11830	11720
TS4	24331	11552	11501	11416
TS6	23337	11447	11429	11417
TS8	25002	12494	12449	12431
