# Constructed from biom file
#OTU ID	MN12	MN13	MN15	MT209	MT210	MT213	SM2	SM4	SM5	T1	T2	T9	TL1	TL2	TL3	TS4	TS6	TS8
Unassigned;Other	0.00278516267882	0.00341815419673	0.0192429421446	0.00911507785796	0.00253196607165	0.00835548803646	0.00354475250032	0.00417774401823	0.00405114571465	0.000253196607165	0.00113938473224	0.0132928218762	0.00987466767945	0.00607671857197	0.0111406507153	0.00341815419673	0.00696290669705	0.00607671857197
k__Bacteria;p__Acidobacteria	0.0	0.0	0.0	0.0	0.0	0.000126598303583	0.0	0.0	0.0	0.00151917964299	0.000759589821496	0.0	0.00253196607165	0.000126598303583	0.00341815419673	0.000126598303583	0.000253196607165	0.000506393214331
k__Bacteria;p__Actinobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.000886188125079	0.00253196607165	0.0	0.000759589821496	0.00696290669705	0.000506393214331	0.0112672490189	0.00557032535764	0.00265856437524	0.00278516267882	0.00101278642866	0.000126598303583
k__Bacteria;p__Armatimonadetes	0.0	0.0	0.0	0.0	0.000126598303583	0.0	0.0	0.00151917964299	0.0	0.00354475250032	0.00632991517914	0.00898847955437	0.00860868464363	0.00468413723256	0.00822888973288	0.000379794910748	0.0	0.0
k__Bacteria;p__Bacteroidetes	0.00708950500063	0.00316495758957	0.00835548803646	0.0353209266996	0.00468413723256	0.0639321433093	0.00569692366122	0.0263324471452	0.000759589821496	0.0881124192936	0.127357893404	0.0530446892012	0.227876946449	0.167869350551	0.230155715913	0.0197493353589	0.0036713508039	0.00303835928599
k__Bacteria;p__Chloroflexi	0.0	0.0	0.0	0.00303835928599	0.000126598303583	0.000126598303583	0.000253196607165	0.000632991517914	0.0	0.00215217116091	0.000253196607165	0.00784909482213	0.014558804912	0.0127864286619	0.0134194201798	0.000126598303583	0.0	0.0
k__Bacteria;p__Cyanobacteria	0.0	0.000253196607165	0.000253196607165	0.00924167616154	0.00101278642866	0.00101278642866	0.0	0.00544372705406	0.000126598303583	0.0140524116977	0.0181035574123	0.0202557285732	0.0472211672364	0.0308899860742	0.0389922775035	0.00569692366122	0.000253196607165	0.000759589821496
k__Bacteria;p__Firmicutes	0.119888593493	0.250158247879	0.0368401063426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00253196607165	0.0	0.0	0.0
k__Bacteria;p__Fusobacteria	0.00354475250032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00139258133941	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae	0.0177237625016	0.160020255729	0.413849854412	0.0	0.0	0.0	0.0	0.0	0.0	0.00177237625016	0.00139258133941	0.0	0.0	0.00278516267882	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes	0.0	0.0	0.0	0.0	0.0	0.00177237625016	0.000379794910748	0.000253196607165	0.0	0.00189897455374	0.00721610330422	0.00746929991138	0.00177237625016	0.00113938473224	0.0102544625902	0.00215217116091	0.000126598303583	0.0
k__Bacteria;p__Proteobacteria	0.848968223826	0.582985187998	0.521458412457	0.943283959995	0.99151791366	0.924674009368	0.989239144195	0.959108747943	0.99506266616	0.885934928472	0.828459298645	0.887454108115	0.676288137739	0.765160146854	0.677554120775	0.965565261425	0.987593366249	0.989492340803
k__Bacteria;p__SAR406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00202557285732	0.0	0.0	0.000759589821496	0.0	0.0	0.000126598303583	0.0
k__Bacteria;p__TM6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00113938473224	0.0	0.000632991517914	0.000253196607165	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00151917964299	0.0	0.0	0.0	0.0
