	sequences per sample	iteration	S1t1t16s	S2t1t16s	S4t1t16s	S3t1t16s
alpha_rarefaction_10_0.txt	10	0	1.92474	1.83429	2.03503	1.97535
alpha_rarefaction_10_1.txt	10	1	2.29403	1.73028	2.25312	2.0964
alpha_rarefaction_10_2.txt	10	2	2.26246	1.41619	2.71519	2.79761
alpha_rarefaction_10_3.txt	10	3	2.57408	1.88145	2.74543	2.71249
alpha_rarefaction_10_4.txt	10	4	2.23548	2.05845	3.09979	2.22059
alpha_rarefaction_10_5.txt	10	5	2.14571	1.92071	2.32883	2.40072
alpha_rarefaction_10_6.txt	10	6	2.07675	2.03963	1.64467	2.20062
alpha_rarefaction_10_7.txt	10	7	1.89573	2.76133	2.85152	2.69012
alpha_rarefaction_10_8.txt	10	8	2.74125	1.997	2.94081	2.55861
alpha_rarefaction_10_9.txt	10	9	1.20405	2.40596	1.96966	2.35984
alpha_rarefaction_78_0.txt	78	0	6.90265	5.94122	7.0616	4.74812
alpha_rarefaction_78_1.txt	78	1	7.39669	6.18123	7.24533	5.40029
alpha_rarefaction_78_2.txt	78	2	6.34074	6.81103	8.19239	4.83549
alpha_rarefaction_78_3.txt	78	3	7.41183	5.89539	7.72543	4.99272
alpha_rarefaction_78_4.txt	78	4	6.00078	6.29317	8.29836	5.44755
alpha_rarefaction_78_5.txt	78	5	5.69692	7.01885	7.32773	4.57349
alpha_rarefaction_78_6.txt	78	6	6.45489	6.18484	8.35268	5.1073
alpha_rarefaction_78_7.txt	78	7	7.49613	6.06599	7.56007	4.679
alpha_rarefaction_78_8.txt	78	8	7.48417	6.08969	8.76072	5.70223
alpha_rarefaction_78_9.txt	78	9	7.95765	6.3632	8.08363	4.34189
alpha_rarefaction_146_0.txt	146	0	8.71374	8.1451	10.10822	5.61452
alpha_rarefaction_146_1.txt	146	1	8.42649	8.06847	11.05522	5.15043
alpha_rarefaction_146_2.txt	146	2	9.64098	7.77739	10.03231	6.27715
alpha_rarefaction_146_3.txt	146	3	7.66468	9.17551	10.62723	5.73683
alpha_rarefaction_146_4.txt	146	4	8.52798	9.28827	9.59376	6.59471
alpha_rarefaction_146_5.txt	146	5	8.4476	7.46107	9.16716	6.10759
alpha_rarefaction_146_6.txt	146	6	9.70157	7.73145	10.37414	6.49183
alpha_rarefaction_146_7.txt	146	7	8.36253	9.46037	10.24427	5.71601
alpha_rarefaction_146_8.txt	146	8	8.84062	7.96455	10.83714	6.6889
alpha_rarefaction_146_9.txt	146	9	10.68234	9.36967	10.08818	5.97327
alpha_rarefaction_214_0.txt	214	0	11.03915	9.88148	11.12819	6.85484
alpha_rarefaction_214_1.txt	214	1	11.98125	8.74039	10.99385	6.22731
alpha_rarefaction_214_2.txt	214	2	10.83098	9.84547	11.69246	6.32546
alpha_rarefaction_214_3.txt	214	3	11.3995	9.51767	12.33317	6.83194
alpha_rarefaction_214_4.txt	214	4	10.74851	9.84927	11.49644	6.54931
alpha_rarefaction_214_5.txt	214	5	10.85634	9.90502	11.04089	5.85653
alpha_rarefaction_214_6.txt	214	6	10.78571	10.40599	12.31108	6.20161
alpha_rarefaction_214_7.txt	214	7	11.73583	10.13937	11.98525	6.81514
alpha_rarefaction_214_8.txt	214	8	10.62475	9.60394	10.68426	6.40852
alpha_rarefaction_214_9.txt	214	9	11.90487	9.44881	11.11017	5.87982
alpha_rarefaction_282_0.txt	282	0	11.35291	10.02692	13.74848	6.39156
alpha_rarefaction_282_1.txt	282	1	12.6206	10.23699	12.32305	6.3198
alpha_rarefaction_282_2.txt	282	2	11.13301	10.55967	11.07447	6.20046
alpha_rarefaction_282_3.txt	282	3	12.23538	10.94373	12.99573	6.20666
alpha_rarefaction_282_4.txt	282	4	12.01568	9.87174	12.48524	6.66384
alpha_rarefaction_282_5.txt	282	5	11.45652	10.82176	13.22999	6.44186
alpha_rarefaction_282_6.txt	282	6	11.50616	10.89844	11.98559	6.7015
alpha_rarefaction_282_7.txt	282	7	11.75065	9.85845	12.40956	6.81673
alpha_rarefaction_282_8.txt	282	8	12.3775	9.84057	12.49412	6.90925
alpha_rarefaction_282_9.txt	282	9	12.27721	10.01052	11.97568	7.2317
alpha_rarefaction_350_0.txt	350	0	13.24396	10.47277	14.53636	7.34028
alpha_rarefaction_350_1.txt	350	1	12.97335	10.65639	14.11472	7.34095
alpha_rarefaction_350_2.txt	350	2	12.59159	10.98416	13.40047	7.09855
alpha_rarefaction_350_3.txt	350	3	13.10516	10.83035	12.5502	7.17822
alpha_rarefaction_350_4.txt	350	4	13.08078	11.5931	12.70756	6.85898
alpha_rarefaction_350_5.txt	350	5	12.56268	11.18917	13.54382	6.78495
alpha_rarefaction_350_6.txt	350	6	12.18528	11.34213	13.92689	7.22618
alpha_rarefaction_350_7.txt	350	7	13.30285	11.46713	12.82412	7.23621
alpha_rarefaction_350_8.txt	350	8	12.52611	10.93191	14.14921	7.44444
alpha_rarefaction_350_9.txt	350	9	12.29784	10.75925	12.26475	6.71691
alpha_rarefaction_418_0.txt	418	0	13.32069	11.26816	13.79042	7.09811
alpha_rarefaction_418_1.txt	418	1	13.15577	11.17582	13.42558	7.06179
alpha_rarefaction_418_2.txt	418	2	13.45096	12.15753	14.07548	7.20162
alpha_rarefaction_418_3.txt	418	3	13.24549	12.01543	14.32879	6.79793
alpha_rarefaction_418_4.txt	418	4	13.80197	11.47869	13.74318	7.63987
alpha_rarefaction_418_5.txt	418	5	14.23784	12.30345	13.34218	7.3351
alpha_rarefaction_418_6.txt	418	6	13.15508	11.785	13.38796	7.10158
alpha_rarefaction_418_7.txt	418	7	14.13172	11.85099	13.79609	7.49332
alpha_rarefaction_418_8.txt	418	8	13.82978	11.56206	13.76925	7.51936
alpha_rarefaction_418_9.txt	418	9	13.40539	11.96628	13.8827	7.01622
alpha_rarefaction_486_0.txt	486	0	14.15859	12.51798	15.11792	7.70971
alpha_rarefaction_486_1.txt	486	1	14.63412	12.14377	14.6064	7.70971
alpha_rarefaction_486_2.txt	486	2	14.8893	12.65784	15.16597	7.46887
alpha_rarefaction_486_3.txt	486	3	14.98676	12.43283	14.37733	6.80122
alpha_rarefaction_486_4.txt	486	4	13.39359	11.91641	14.61277	7.38688
alpha_rarefaction_486_5.txt	486	5	13.77312	12.06256	14.91246	7.38468
alpha_rarefaction_486_6.txt	486	6	14.20356	11.90065	13.58976	7.70155
alpha_rarefaction_486_7.txt	486	7	14.15583	12.46987	14.35359	7.43699
alpha_rarefaction_486_8.txt	486	8	13.68305	12.16366	14.46557	6.66905
alpha_rarefaction_486_9.txt	486	9	14.38892	12.04132	14.19379	7.50683
alpha_rarefaction_554_0.txt	554	0	15.05085	12.06259	14.8451	7.46887
alpha_rarefaction_554_1.txt	554	1	14.61281	12.11724	15.09362	7.70971
alpha_rarefaction_554_2.txt	554	2	15.20668	12.54393	14.44034	7.63987
alpha_rarefaction_554_3.txt	554	3	14.51924	12.25802	15.23679	7.70971
alpha_rarefaction_554_4.txt	554	4	15.31044	12.65888	15.28012	7.63987
alpha_rarefaction_554_5.txt	554	5	14.29109	12.56793	15.04271	7.70971
alpha_rarefaction_554_6.txt	554	6	14.77013	13.00414	15.14702	7.50683
alpha_rarefaction_554_7.txt	554	7	15.46078	12.59664	14.50257	7.69344
alpha_rarefaction_554_8.txt	554	8	14.49623	11.86749	15.03524	7.70971
alpha_rarefaction_554_9.txt	554	9	15.26427	12.75319	14.68569	7.2845
alpha_rarefaction_622_0.txt	622	0	15.75792	12.48973	15.5329	7.70971
alpha_rarefaction_622_1.txt	622	1	15.15515	12.99772	15.27455	7.16959
alpha_rarefaction_622_2.txt	622	2	14.99233	13.16191	15.19693	7.69344
alpha_rarefaction_622_3.txt	622	3	15.42413	12.66457	15.39727	7.70971
alpha_rarefaction_622_4.txt	622	4	14.53154	13.12698	15.47428	7.69344
alpha_rarefaction_622_5.txt	622	5	14.78468	12.91755	15.48718	7.39903
alpha_rarefaction_622_6.txt	622	6	15.43833	13.08618	15.31761	7.70971
alpha_rarefaction_622_7.txt	622	7	14.97647	13.11414	15.05657	7.39903
alpha_rarefaction_622_8.txt	622	8	15.72644	12.86833	15.27459	7.63987
alpha_rarefaction_622_9.txt	622	9	15.54986	12.9122	15.28375	7.70971
alpha_rarefaction_690_0.txt	690	0	16.00181	13.29559	15.64029	7.70971
alpha_rarefaction_690_1.txt	690	1	16.00181	13.29559	15.64029	7.70971
alpha_rarefaction_690_2.txt	690	2	16.00181	13.29559	15.64029	7.70971
alpha_rarefaction_690_3.txt	690	3	16.00181	13.29559	15.64029	7.70971
alpha_rarefaction_690_4.txt	690	4	16.00181	13.29559	15.64029	7.70971
alpha_rarefaction_690_5.txt	690	5	16.00181	13.29559	15.64029	7.70971
alpha_rarefaction_690_6.txt	690	6	16.00181	13.29559	15.64029	7.70971
alpha_rarefaction_690_7.txt	690	7	16.00181	13.29559	15.64029	7.70971
alpha_rarefaction_690_8.txt	690	8	16.00181	13.29559	15.64029	7.70971
alpha_rarefaction_690_9.txt	690	9	16.00181	13.29559	15.64029	7.70971
