	sequences per sample	iteration	S1t1t16s	S2t1t16s	S4t1t16s	S3t1t16s
alpha_rarefaction_10_0.txt	10	0	55.0	23.0	55.0	12.0
alpha_rarefaction_10_1.txt	10	1	55.0	23.0	23.0	12.0
alpha_rarefaction_10_2.txt	10	2	55.0	23.0	55.0	23.0
alpha_rarefaction_10_3.txt	10	3	55.0	55.0	55.0	23.0
alpha_rarefaction_10_4.txt	10	4	23.0	55.0	55.0	13.0
alpha_rarefaction_10_5.txt	10	5	55.0	23.0	55.0	8.5
alpha_rarefaction_10_6.txt	10	6	23.0	23.0	13.0	12.0
alpha_rarefaction_10_7.txt	10	7	23.0	55.0	29.0	23.0
alpha_rarefaction_10_8.txt	10	8	55.0	55.0	55.0	23.0
alpha_rarefaction_10_9.txt	10	9	55.0	55.0	55.0	12.0
alpha_rarefaction_78_0.txt	78	0	173.0	143.142857143	167.875	31.8571428571
alpha_rarefaction_78_1.txt	78	1	179.75	162.625	131.0	33.8571428571
alpha_rarefaction_78_2.txt	78	2	167.875	120.363636364	180.75	34.25
alpha_rarefaction_78_3.txt	78	3	197.428571429	82.2142857143	105.1	38.2
alpha_rarefaction_78_4.txt	78	4	174.25	105.1	264.166666667	53.0
alpha_rarefaction_78_5.txt	78	5	139.5	123.375	166.875	55.0
alpha_rarefaction_78_6.txt	78	6	161.0	146.3	264.166666667	47.75
alpha_rarefaction_78_7.txt	78	7	262.0	96.75	175.5	33.0
alpha_rarefaction_78_8.txt	78	8	115.909090909	106.666666667	399.0	37.4285714286
alpha_rarefaction_78_9.txt	78	9	204.857142857	155.857142857	200.0	31.0
alpha_rarefaction_146_0.txt	146	0	242.214285714	169.4375	177.052631579	51.2
alpha_rarefaction_146_1.txt	146	1	223.583333333	158.666666667	220.071428571	31.5
alpha_rarefaction_146_2.txt	146	2	199.375	177.428571429	233.0	48.0
alpha_rarefaction_146_3.txt	146	3	223.5	170.352941176	208.0	46.125
alpha_rarefaction_146_4.txt	146	4	336.5	222.071428571	181.055555556	40.6
alpha_rarefaction_146_5.txt	146	5	219.071428571	138.588235294	213.0	41.3333333333
alpha_rarefaction_146_6.txt	146	6	188.666666667	138.333333333	266.230769231	49.3333333333
alpha_rarefaction_146_7.txt	146	7	240.866666667	242.583333333	235.0	46.6
alpha_rarefaction_146_8.txt	146	8	263.230769231	213.0	213.066666667	61.75
alpha_rarefaction_146_9.txt	146	9	391.111111111	155.956521739	181.055555556	37.0
alpha_rarefaction_214_0.txt	214	0	286.125	172.076923077	174.75	45.2
alpha_rarefaction_214_1.txt	214	1	316.333333333	232.058823529	182.666666667	44.6666666667
alpha_rarefaction_214_2.txt	214	2	241.217391304	332.071428571	293.555555556	44.25
alpha_rarefaction_214_3.txt	214	3	442.0	261.3	228.181818182	45.6666666667
alpha_rarefaction_214_4.txt	214	4	334.0	236.105263158	252.05	49.5
alpha_rarefaction_214_5.txt	214	5	261.15	215.037037037	262.0	36.5
alpha_rarefaction_214_6.txt	214	6	343.5	229.538461538	195.37037037	42.25
alpha_rarefaction_214_7.txt	214	7	366.75	315.571428571	232.105263158	48.1
alpha_rarefaction_214_8.txt	214	8	289.789473684	204.0	200.230769231	44.0
alpha_rarefaction_214_9.txt	214	9	280.038461538	192.5	176.2	46.1428571429
alpha_rarefaction_282_0.txt	282	0	338.041666667	345.789473684	232.294117647	41.0
alpha_rarefaction_282_1.txt	282	1	310.275862069	239.625	207.833333333	45.5
alpha_rarefaction_282_2.txt	282	2	259.7	220.4	207.357142857	43.0
alpha_rarefaction_282_3.txt	282	3	364.956521739	228.777777778	233.757575758	41.6666666667
alpha_rarefaction_282_4.txt	282	4	430.176470588	256.6	228.107142857	48.1666666667
alpha_rarefaction_282_5.txt	282	5	305.3	226.037037037	222.666666667	46.5
alpha_rarefaction_282_6.txt	282	6	262.0	272.636363636	200.303030303	43.2727272727
alpha_rarefaction_282_7.txt	282	7	281.75	293.0	211.689655172	49.4285714286
alpha_rarefaction_282_8.txt	282	8	302.538461538	281.05	226.617647059	50.75
alpha_rarefaction_282_9.txt	282	9	292.913043478	254.0	230.5	67.5
alpha_rarefaction_350_0.txt	350	0	321.529411765	254.517241379	319.090909091	49.1111111111
alpha_rarefaction_350_1.txt	350	1	294.181818182	260.0	347.037037037	56.5
alpha_rarefaction_350_2.txt	350	2	311.464285714	245.04	254.529411765	51.3333333333
alpha_rarefaction_350_3.txt	350	3	336.137931034	284.576923077	202.405405405	50.5
alpha_rarefaction_350_4.txt	350	4	262.588235294	308.53125	228.71875	51.25
alpha_rarefaction_350_5.txt	350	5	276.228571429	272.111111111	258.714285714	48.5833333333
alpha_rarefaction_350_6.txt	350	6	269.621621622	267.615384615	259.7	47.5
alpha_rarefaction_350_7.txt	350	7	289.027777778	300.038461538	232.071428571	55.1
alpha_rarefaction_350_8.txt	350	8	351.0	242.75	285.5	51.0769230769
alpha_rarefaction_350_9.txt	350	9	359.2	239.896551724	205.441860465	51.25
alpha_rarefaction_418_0.txt	418	0	343.578947368	268.692307692	250.756756757	51.875
alpha_rarefaction_418_1.txt	418	1	287.5	236.416666667	245.023809524	48.1111111111
alpha_rarefaction_418_2.txt	418	2	383.037037037	252.181818182	238.636363636	50.8571428571
alpha_rarefaction_418_3.txt	418	3	325.27027027	330.285714286	237.818181818	43.3636363636
alpha_rarefaction_418_4.txt	418	4	306.325	266.2	194.6875	52.5
alpha_rarefaction_418_5.txt	418	5	404.0	330.7	217.9	50.0
alpha_rarefaction_418_6.txt	418	6	364.028571429	289.823529412	240.170212766	53.3333333333
alpha_rarefaction_418_7.txt	418	7	354.5	248.885714286	263.527777778	48.5454545455
alpha_rarefaction_418_8.txt	418	8	300.263157895	359.04	248.075	49.0
alpha_rarefaction_418_9.txt	418	9	344.848484848	349.576923077	247.363636364	50.0909090909
alpha_rarefaction_486_0.txt	486	0	322.5	293.026315789	302.117647059	53.2307692308
alpha_rarefaction_486_1.txt	486	1	381.441176471	263.947368421	281.459459459	55.1111111111
alpha_rarefaction_486_2.txt	486	2	384.23255814	300.275	306.078947368	50.625
alpha_rarefaction_486_3.txt	486	3	381.567567568	292.363636364	262.133333333	46.1111111111
alpha_rarefaction_486_4.txt	486	4	379.387096774	323.676470588	256.346938776	48.1
alpha_rarefaction_486_5.txt	486	5	378.117647059	258.022222222	263.1	53.5
alpha_rarefaction_486_6.txt	486	6	322.893617021	279.0	255.583333333	51.1111111111
alpha_rarefaction_486_7.txt	486	7	376.277777778	289.621621622	256.139534884	49.8
alpha_rarefaction_486_8.txt	486	8	315.666666667	310.181818182	213.444444444	45.3333333333
alpha_rarefaction_486_9.txt	486	9	379.567567568	278.763157895	245.15	53.625
alpha_rarefaction_554_0.txt	554	0	349.666666667	313.837837838	267.025	50.3333333333
alpha_rarefaction_554_1.txt	554	1	372.255319149	313.459459459	241.714285714	51.3333333333
alpha_rarefaction_554_2.txt	554	2	361.4	322.794117647	261.622222222	49.875
alpha_rarefaction_554_3.txt	554	3	333.32	285.021276596	250.87755102	52.5
alpha_rarefaction_554_4.txt	554	4	368.632653061	319.775	251.117647059	59.1428571429
alpha_rarefaction_554_5.txt	554	5	327.538461538	346.96875	235.632653061	55.0
alpha_rarefaction_554_6.txt	554	6	399.024390244	305.0	256.434782609	50.625
alpha_rarefaction_554_7.txt	554	7	391.23255814	308.526315789	244.52	50.3333333333
alpha_rarefaction_554_8.txt	554	8	360.11627907	243.1875	249.307692308	51.3333333333
alpha_rarefaction_554_9.txt	554	9	364.813953488	305.825	277.146341463	48.875
alpha_rarefaction_622_0.txt	622	0	402.977272727	295.222222222	261.865384615	52.5
alpha_rarefaction_622_1.txt	622	1	396.318181818	350.666666667	254.132075472	46.375
alpha_rarefaction_622_2.txt	622	2	374.217391304	312.772727273	265.1875	49.875
alpha_rarefaction_622_3.txt	622	3	371.62	285.021276596	249.25	54.6
alpha_rarefaction_622_4.txt	622	4	329.659574468	303.046511628	264.1875	53.1428571429
alpha_rarefaction_622_5.txt	622	5	369.75	290.136363636	258.909090909	49.5
alpha_rarefaction_622_6.txt	622	6	396.318181818	324.25	256.1875	52.0
alpha_rarefaction_622_7.txt	622	7	368.065217391	296.021276596	284.066666667	48.6666666667
alpha_rarefaction_622_8.txt	622	8	412.75	281.0	262.12244898	53.6
alpha_rarefaction_622_9.txt	622	9	442.333333333	292.666666667	261.117647059	52.0
alpha_rarefaction_690_0.txt	690	0	395.714285714	312.456521739	257.185185185	52.0
alpha_rarefaction_690_1.txt	690	1	395.714285714	312.456521739	257.185185185	52.0
alpha_rarefaction_690_2.txt	690	2	395.714285714	312.456521739	257.185185185	52.0
alpha_rarefaction_690_3.txt	690	3	395.714285714	312.456521739	257.185185185	52.0
alpha_rarefaction_690_4.txt	690	4	395.714285714	312.456521739	257.185185185	52.0
alpha_rarefaction_690_5.txt	690	5	395.714285714	312.456521739	257.185185185	52.0
alpha_rarefaction_690_6.txt	690	6	395.714285714	312.456521739	257.185185185	52.0
alpha_rarefaction_690_7.txt	690	7	395.714285714	312.456521739	257.185185185	52.0
alpha_rarefaction_690_8.txt	690	8	395.714285714	312.456521739	257.185185185	52.0
alpha_rarefaction_690_9.txt	690	9	395.714285714	312.456521739	257.185185185	52.0
