	sequences per sample	iteration	S1t1t16s	S2t1t16s	S4t1t16s	S3t1t16s
alpha_rarefaction_10_0.txt	10	0	0.0	1.0	0.0	1.0
alpha_rarefaction_10_1.txt	10	1	0.0	1.0	1.0	0.0
alpha_rarefaction_10_2.txt	10	2	0.0	1.0	0.0	1.0
alpha_rarefaction_10_3.txt	10	3	0.0	0.0	0.0	1.0
alpha_rarefaction_10_4.txt	10	4	1.0	0.0	0.0	2.0
alpha_rarefaction_10_5.txt	10	5	0.0	1.0	0.0	3.0
alpha_rarefaction_10_6.txt	10	6	1.0	1.0	2.0	1.0
alpha_rarefaction_10_7.txt	10	7	1.0	0.0	0.0	1.0
alpha_rarefaction_10_8.txt	10	8	0.0	0.0	0.0	1.0
alpha_rarefaction_10_9.txt	10	9	0.0	0.0	0.0	1.0
alpha_rarefaction_78_0.txt	78	0	4.0	6.0	7.0	6.0
alpha_rarefaction_78_1.txt	78	1	7.0	7.0	9.0	6.0
alpha_rarefaction_78_2.txt	78	2	7.0	10.0	7.0	3.0
alpha_rarefaction_78_3.txt	78	3	6.0	13.0	9.0	4.0
alpha_rarefaction_78_4.txt	78	4	7.0	9.0	5.0	4.0
alpha_rarefaction_78_5.txt	78	5	5.0	7.0	7.0	1.0
alpha_rarefaction_78_6.txt	78	6	5.0	9.0	5.0	3.0
alpha_rarefaction_78_7.txt	78	7	4.0	11.0	5.0	2.0
alpha_rarefaction_78_8.txt	78	8	10.0	8.0	2.0	6.0
alpha_rarefaction_78_9.txt	78	9	6.0	6.0	7.0	3.0
alpha_rarefaction_146_0.txt	146	0	13.0	15.0	18.0	4.0
alpha_rarefaction_146_1.txt	146	1	11.0	14.0	13.0	7.0
alpha_rarefaction_146_2.txt	146	2	15.0	13.0	13.0	9.0
alpha_rarefaction_146_3.txt	146	3	9.0	16.0	14.0	7.0
alpha_rarefaction_146_4.txt	146	4	9.0	13.0	17.0	9.0
alpha_rarefaction_146_5.txt	146	5	13.0	16.0	11.0	8.0
alpha_rarefaction_146_6.txt	146	6	17.0	20.0	12.0	8.0
alpha_rarefaction_146_7.txt	146	7	14.0	11.0	9.0	4.0
alpha_rarefaction_146_8.txt	146	8	12.0	11.0	14.0	7.0
alpha_rarefaction_146_9.txt	146	9	8.0	22.0	17.0	8.0
alpha_rarefaction_214_0.txt	214	0	15.0	25.0	23.0	14.0
alpha_rarefaction_214_1.txt	214	1	17.0	16.0	26.0	8.0
alpha_rarefaction_214_2.txt	214	2	22.0	13.0	17.0	7.0
alpha_rarefaction_214_3.txt	214	3	12.0	19.0	21.0	8.0
alpha_rarefaction_214_4.txt	214	4	16.0	18.0	19.0	9.0
alpha_rarefaction_214_5.txt	214	5	19.0	26.0	18.0	7.0
alpha_rarefaction_214_6.txt	214	6	17.0	25.0	26.0	7.0
alpha_rarefaction_214_7.txt	214	7	15.0	13.0	18.0	9.0
alpha_rarefaction_214_8.txt	214	8	18.0	19.0	25.0	5.0
alpha_rarefaction_214_9.txt	214	9	25.0	25.0	24.0	6.0
alpha_rarefaction_282_0.txt	282	0	23.0	18.0	33.0	8.0
alpha_rarefaction_282_1.txt	282	1	28.0	23.0	29.0	9.0
alpha_rarefaction_282_2.txt	282	2	29.0	24.0	27.0	8.0
alpha_rarefaction_282_3.txt	282	3	22.0	26.0	32.0	5.0
alpha_rarefaction_282_4.txt	282	4	16.0	24.0	27.0	5.0
alpha_rarefaction_282_5.txt	282	5	19.0	26.0	32.0	9.0
alpha_rarefaction_282_6.txt	282	6	28.0	21.0	32.0	10.0
alpha_rarefaction_282_7.txt	282	7	23.0	20.0	28.0	6.0
alpha_rarefaction_282_8.txt	282	8	25.0	19.0	33.0	7.0
alpha_rarefaction_282_9.txt	282	9	22.0	26.0	23.0	5.0
alpha_rarefaction_350_0.txt	350	0	33.0	28.0	32.0	8.0
alpha_rarefaction_350_1.txt	350	1	32.0	26.0	26.0	9.0
alpha_rarefaction_350_2.txt	350	2	27.0	24.0	33.0	8.0
alpha_rarefaction_350_3.txt	350	3	28.0	25.0	36.0	11.0
alpha_rarefaction_350_4.txt	350	4	33.0	31.0	31.0	7.0
alpha_rarefaction_350_5.txt	350	5	34.0	26.0	27.0	11.0
alpha_rarefaction_350_6.txt	350	6	36.0	25.0	29.0	9.0
alpha_rarefaction_350_7.txt	350	7	35.0	25.0	41.0	9.0
alpha_rarefaction_350_8.txt	350	8	24.0	31.0	29.0	12.0
alpha_rarefaction_350_9.txt	350	9	29.0	28.0	42.0	7.0
alpha_rarefaction_418_0.txt	418	0	37.0	38.0	36.0	7.0
alpha_rarefaction_418_1.txt	418	1	43.0	35.0	41.0	8.0
alpha_rarefaction_418_2.txt	418	2	26.0	32.0	43.0	6.0
alpha_rarefaction_418_3.txt	418	3	36.0	27.0	43.0	10.0
alpha_rarefaction_418_4.txt	418	4	39.0	29.0	47.0	9.0
alpha_rarefaction_418_5.txt	418	5	27.0	29.0	39.0	8.0
alpha_rarefaction_418_6.txt	418	6	34.0	33.0	46.0	8.0
alpha_rarefaction_418_7.txt	418	7	37.0	34.0	35.0	10.0
alpha_rarefaction_418_8.txt	418	8	37.0	24.0	39.0	11.0
alpha_rarefaction_418_9.txt	418	9	32.0	25.0	32.0	10.0
alpha_rarefaction_486_0.txt	486	0	47.0	37.0	33.0	12.0
alpha_rarefaction_486_1.txt	486	1	33.0	37.0	36.0	8.0
alpha_rarefaction_486_2.txt	486	2	42.0	39.0	37.0	7.0
alpha_rarefaction_486_3.txt	486	3	36.0	32.0	44.0	8.0
alpha_rarefaction_486_4.txt	486	4	30.0	33.0	48.0	9.0
