	sequences per sample	iteration	S1t1t16s	S2t1t16s	S4t1t16s	S3t1t16s
alpha_rarefaction_10_0.txt	10	0	0.0	0.2	0.0	0.5
alpha_rarefaction_10_1.txt	10	1	0.0	0.2	0.2	0.6
alpha_rarefaction_10_2.txt	10	2	0.0	0.2	0.0	0.2
alpha_rarefaction_10_3.txt	10	3	0.0	0.0	0.0	0.2
alpha_rarefaction_10_4.txt	10	4	0.2	0.0	0.0	0.4
alpha_rarefaction_10_5.txt	10	5	0.0	0.2	0.0	0.6
alpha_rarefaction_10_6.txt	10	6	0.2	0.2	0.4	0.5
alpha_rarefaction_10_7.txt	10	7	0.2	0.0	0.3	0.2
alpha_rarefaction_10_8.txt	10	8	0.0	0.0	0.0	0.2
alpha_rarefaction_10_9.txt	10	9	0.0	0.0	0.0	0.5
alpha_rarefaction_78_0.txt	78	0	0.538461538462	0.525641025641	0.448717948718	0.858974358974
alpha_rarefaction_78_1.txt	78	1	0.423076923077	0.461538461538	0.487179487179	0.858974358974
alpha_rarefaction_78_2.txt	78	2	0.448717948718	0.5	0.423076923077	0.871794871795
alpha_rarefaction_78_3.txt	78	3	0.423076923077	0.602564102564	0.564102564103	0.846153846154
alpha_rarefaction_78_4.txt	78	4	0.435897435897	0.564102564103	0.358974358974	0.794871794872
alpha_rarefaction_78_5.txt	78	5	0.564102564103	0.551282051282	0.448717948718	0.846153846154
alpha_rarefaction_78_6.txt	78	6	0.525641025641	0.448717948718	0.358974358974	0.820512820513
alpha_rarefaction_78_7.txt	78	7	0.410256410256	0.564102564103	0.5	0.884615384615
alpha_rarefaction_78_8.txt	78	8	0.512820512821	0.576923076923	0.410256410256	0.846153846154
alpha_rarefaction_78_9.txt	78	9	0.410256410256	0.5	0.384615384615	0.884615384615
alpha_rarefaction_146_0.txt	146	0	0.547945205479	0.630136986301	0.595890410959	0.904109589041
alpha_rarefaction_146_1.txt	146	1	0.595890410959	0.657534246575	0.575342465753	0.945205479452
alpha_rarefaction_146_2.txt	146	2	0.582191780822	0.63698630137	0.561643835616	0.890410958904
alpha_rarefaction_146_3.txt	146	3	0.623287671233	0.623287671233	0.582191780822	0.897260273973
alpha_rarefaction_146_4.txt	146	4	0.513698630137	0.575342465753	0.595890410959	0.917808219178
alpha_rarefaction_146_5.txt	146	5	0.575342465753	0.678082191781	0.609589041096	0.917808219178
alpha_rarefaction_146_6.txt	146	6	0.582191780822	0.657534246575	0.534246575342	0.890410958904
alpha_rarefaction_146_7.txt	146	7	0.534246575342	0.575342465753	0.616438356164	0.91095890411
alpha_rarefaction_146_8.txt	146	8	0.534246575342	0.609589041096	0.575342465753	0.86301369863
alpha_rarefaction_146_9.txt	146	9	0.493150684932	0.616438356164	0.595890410959	0.931506849315
alpha_rarefaction_214_0.txt	214	0	0.644859813084	0.719626168224	0.719626168224	0.939252336449
alpha_rarefaction_214_1.txt	214	1	0.602803738318	0.68691588785	0.700934579439	0.939252336449
alpha_rarefaction_214_2.txt	214	2	0.640186915888	0.630841121495	0.626168224299	0.943925233645
alpha_rarefaction_214_3.txt	214	3	0.570093457944	0.640186915888	0.663551401869	0.939252336449
alpha_rarefaction_214_4.txt	214	4	0.598130841121	0.672897196262	0.654205607477	0.929906542056
alpha_rarefaction_214_5.txt	214	5	0.635514018692	0.654205607477	0.644859813084	0.96261682243
alpha_rarefaction_214_6.txt	214	6	0.579439252336	0.640186915888	0.682242990654	0.943925233645
alpha_rarefaction_214_7.txt	214	7	0.584112149533	0.644859813084	0.672897196262	0.934579439252
alpha_rarefaction_214_8.txt	214	8	0.616822429907	0.696261682243	0.677570093458	0.943925233645
alpha_rarefaction_214_9.txt	214	9	0.579439252336	0.691588785047	0.714953271028	0.939252336449
alpha_rarefaction_282_0.txt	282	0	0.652482269504	0.68085106383	0.712765957447	0.964539007092
alpha_rarefaction_282_1.txt	282	1	0.648936170213	0.734042553191	0.748226950355	0.960992907801
