	sequences per sample	iteration	S1t1t16s	S2t1t16s	S4t1t16s	S3t1t16s
alpha_rarefaction_10_0.txt	10	0	3.32192809489	3.12192809489	3.32192809489	2.64643934467
alpha_rarefaction_10_1.txt	10	1	3.32192809489	3.12192809489	3.12192809489	2.37095059445
alpha_rarefaction_10_2.txt	10	2	3.32192809489	3.12192809489	3.32192809489	3.12192809489
alpha_rarefaction_10_3.txt	10	3	3.32192809489	3.32192809489	3.32192809489	3.12192809489
alpha_rarefaction_10_4.txt	10	4	3.12192809489	3.32192809489	3.32192809489	2.92192809489
alpha_rarefaction_10_5.txt	10	5	3.32192809489	3.12192809489	3.32192809489	2.72192809489
alpha_rarefaction_10_6.txt	10	6	3.12192809489	3.12192809489	2.92192809489	2.64643934467
alpha_rarefaction_10_7.txt	10	7	3.12192809489	3.32192809489	2.84643934467	3.12192809489
alpha_rarefaction_10_8.txt	10	8	3.32192809489	3.32192809489	3.32192809489	3.12192809489
alpha_rarefaction_10_9.txt	10	9	3.32192809489	3.32192809489	3.32192809489	2.64643934467
alpha_rarefaction_78_0.txt	78	0	5.15785943807	5.13247849084	5.52534821226	3.92032407555
alpha_rarefaction_78_1.txt	78	1	5.53213443037	5.56906500116	5.40426047587	4.12618963919
alpha_rarefaction_78_2.txt	78	2	5.53374593062	5.46935754637	5.63002509734	3.95211976056
alpha_rarefaction_78_3.txt	78	3	5.56778467462	5.36840494405	5.31265474475	4.07350349164
alpha_rarefaction_78_4.txt	78	4	5.58842109096	5.30086391733	5.722911155	4.25261707439
alpha_rarefaction_78_5.txt	78	5	5.0910622766	5.32861772549	5.40926508517	3.75959660612
alpha_rarefaction_78_6.txt	78	6	5.35587025137	5.57820658478	5.722911155	4.01319004685
alpha_rarefaction_78_7.txt	78	7	5.47278583444	5.38957782167	5.4521494181	3.83830129186
alpha_rarefaction_78_8.txt	78	8	5.39714308405	5.29830326425	5.41840666879	4.34029323517
alpha_rarefaction_78_9.txt	78	9	5.6140621166	5.24913399549	5.68258747516	3.94594501482
alpha_rarefaction_146_0.txt	146	0	6.07161647007	5.85909493009	6.02091212501	4.23533005332
alpha_rarefaction_146_1.txt	146	1	5.80602228652	5.76938566857	5.87886379655	4.02781464851
alpha_rarefaction_146_2.txt	146	2	5.89572316249	5.80761778705	6.07888742259	4.2427990472
alpha_rarefaction_146_3.txt	146	3	5.57452059567	5.99079270939	6.01165148718	4.18522875272
alpha_rarefaction_146_4.txt	146	4	5.89841813803	6.04902153649	6.01655414118	4.2700311908
alpha_rarefaction_146_5.txt	146	5	5.88142866279	5.68516989043	5.82250428622	4.31125569805
alpha_rarefaction_146_6.txt	146	6	6.02308108427	5.8680866289	6.14209930607	4.36356890155
alpha_rarefaction_146_7.txt	146	7	5.97521897746	5.94066156953	5.92037712762	4.16921238718
alpha_rarefaction_146_8.txt	146	8	5.94692070428	5.80000967995	5.99163485361	4.3153340354
alpha_rarefaction_146_9.txt	146	9	5.98613423803	6.19240737434	6.0002998754	4.277737404
alpha_rarefaction_214_0.txt	214	0	6.10961643461	6.1964971851	6.09536562617	4.34449311478
alpha_rarefaction_214_1.txt	214	1	6.3116978268	6.02927155973	6.29044202932	4.11033325171
alpha_rarefaction_214_2.txt	214	2	6.20032727008	6.24706839928	6.40294956579	4.136588422
