	sequences per sample	iteration	S1t1t16s	S2t1t16s	S4t1t16s	S3t1t16s
alpha_rarefaction_10_0.txt	10	0	0.9	0.88	0.9	0.82
alpha_rarefaction_10_1.txt	10	1	0.9	0.88	0.88	0.78
alpha_rarefaction_10_2.txt	10	2	0.9	0.88	0.9	0.88
alpha_rarefaction_10_3.txt	10	3	0.9	0.9	0.9	0.88
alpha_rarefaction_10_4.txt	10	4	0.88	0.9	0.9	0.86
alpha_rarefaction_10_5.txt	10	5	0.9	0.88	0.9	0.84
alpha_rarefaction_10_6.txt	10	6	0.88	0.88	0.86	0.82
alpha_rarefaction_10_7.txt	10	7	0.88	0.9	0.84	0.88
alpha_rarefaction_10_8.txt	10	8	0.9	0.9	0.9	0.88
alpha_rarefaction_10_9.txt	10	9	0.9	0.9	0.9	0.82
alpha_rarefaction_78_0.txt	78	0	0.961538461538	0.955950032873	0.972057856673	0.907626561473
alpha_rarefaction_78_1.txt	78	1	0.970742932281	0.974687705457	0.965483234714	0.919789612097
alpha_rarefaction_78_2.txt	78	2	0.972715318869	0.971071663379	0.975673898751	0.91452991453
alpha_rarefaction_78_3.txt	78	3	0.973701512163	0.969756738988	0.966798159106	0.920775805391
alpha_rarefaction_78_4.txt	78	4	0.974687705457	0.965483234714	0.977317554241	0.925378040763
alpha_rarefaction_78_5.txt	78	5	0.957264957265	0.968770545694	0.964825772518	0.898093359632
alpha_rarefaction_78_6.txt	78	6	0.969099276792	0.973372781065	0.977317554241	0.918474687705
alpha_rarefaction_78_7.txt	78	7	0.969756738988	0.970414201183	0.972057856673	0.90959894806
alpha_rarefaction_78_8.txt	78	8	0.967126890204	0.968113083498	0.968113083498	0.934911242604
alpha_rarefaction_78_9.txt	78	9	0.975016436555	0.96120973044	0.976002629849	0.918474687705
alpha_rarefaction_146_0.txt	146	0	0.97860761869	0.974197785701	0.975511352974	0.920623006193
alpha_rarefaction_146_1.txt	146	1	0.971570651154	0.97072621505	0.970257083881	0.912272471383
alpha_rarefaction_146_2.txt	146	2	0.972039782323	0.971758303622	0.977387877651	0.915837868268
alpha_rarefaction_146_3.txt	146	3	0.964627509852	0.978232313755	0.977200225183	0.922405704635
alpha_rarefaction_146_4.txt	146	4	0.971007693751	0.978326139989	0.977012572715	0.921561268531
alpha_rarefaction_146_5.txt	146	5	0.97344717583	0.967348470632	0.972978044661	0.92794145243
alpha_rarefaction_146_6.txt	146	6	0.97663726778	0.973259523363	0.980296490899	0.930662413211
alpha_rarefaction_146_7.txt	146	7	0.974010133233	0.974010133233	0.976449615312	0.924282229311
alpha_rarefaction_146_8.txt	146	8	0.973541002064	0.971852129856	0.974103959467	0.925220491649
alpha_rarefaction_146_9.txt	146	9	0.973728654532	0.981985363108	0.975980484143	0.928035278664
alpha_rarefaction_214_0.txt	214	0	0.975325355926	0.978950126649	0.976286138527	0.924884269369
alpha_rarefaction_214_1.txt	214	1	0.978426063412	0.974015197834	0.980871691851	0.913092846537
alpha_rarefaction_214_2.txt	214	2	0.97405886977	0.97820770373	0.981090051533	0.908812996768
alpha_rarefaction_214_3.txt	214	3	0.97759629662	0.980915363787	0.981919818325	0.927198881998
alpha_rarefaction_214_4.txt	214	4	0.979648877631	0.98052231636	0.98454013451	0.919294261508
alpha_rarefaction_214_5.txt	214	5	0.974277229452	0.978950126649	0.978513407284	0.924971613241
alpha_rarefaction_214_6.txt	214	6	0.978338719539	0.980915363787	0.980347628614	0.924098174513
alpha_rarefaction_214_7.txt	214	7	0.979692549568	0.979168486331	0.975019652371	0.923224735785
alpha_rarefaction_214_8.txt	214	8	0.9758930911	0.969866363875	0.980347628614	0.912787142982
alpha_rarefaction_214_9.txt	214	9	0.981526770897	0.980828019914	0.974888636562	0.920124028299
alpha_rarefaction_282_0.txt	282	0	0.975604848851	0.979251546703	0.980483879081	0.92389718827
alpha_rarefaction_282_1.txt	282	1	0.976459936623	0.976459936623	0.976384487702	0.923972637191
alpha_rarefaction_282_2.txt	282	2	0.975303053166	0.97419646899	0.981741361099	0.921457673155
alpha_rarefaction_282_3.txt	282	3	0.97487550928	0.979276696343	0.983753332327	0.928147477491
