	sequences per sample	iteration	S1t1t16s	S2t1t16s	S4t1t16s	S3t1t16s
alpha_rarefaction_10_0.txt	10	0	10.0	8.0	10.0	5.0
alpha_rarefaction_10_1.txt	10	1	10.0	8.0	8.0	4.0
alpha_rarefaction_10_2.txt	10	2	10.0	8.0	10.0	8.0
alpha_rarefaction_10_3.txt	10	3	10.0	10.0	10.0	8.0
alpha_rarefaction_10_4.txt	10	4	8.0	10.0	10.0	6.0
alpha_rarefaction_10_5.txt	10	5	10.0	8.0	10.0	4.0
alpha_rarefaction_10_6.txt	10	6	8.0	8.0	6.0	5.0
alpha_rarefaction_10_7.txt	10	7	8.0	10.0	7.0	8.0
alpha_rarefaction_10_8.txt	10	8	10.0	10.0	10.0	8.0
alpha_rarefaction_10_9.txt	10	9	10.0	10.0	10.0	5.0
alpha_rarefaction_78_0.txt	78	0	36.0	37.0	43.0	11.0
alpha_rarefaction_78_1.txt	78	1	45.0	42.0	40.0	11.0
alpha_rarefaction_78_2.txt	78	2	43.0	39.0	45.0	10.0
alpha_rarefaction_78_3.txt	78	3	45.0	31.0	34.0	12.0
alpha_rarefaction_78_4.txt	78	4	44.0	34.0	50.0	16.0
alpha_rarefaction_78_5.txt	78	5	34.0	35.0	43.0	12.0
alpha_rarefaction_78_6.txt	78	6	37.0	43.0	50.0	14.0
alpha_rarefaction_78_7.txt	78	7	46.0	34.0	39.0	9.0
alpha_rarefaction_78_8.txt	78	8	38.0	33.0	46.0	12.0
alpha_rarefaction_78_9.txt	78	9	46.0	39.0	48.0	9.0
alpha_rarefaction_146_0.txt	146	0	66.0	54.0	59.0	14.0
alpha_rarefaction_146_1.txt	146	1	59.0	50.0	62.0	8.0
alpha_rarefaction_146_2.txt	146	2	61.0	53.0	64.0	16.0
alpha_rarefaction_146_3.txt	146	3	55.0	55.0	61.0	15.0
alpha_rarefaction_146_4.txt	146	4	71.0	62.0	59.0	12.0
alpha_rarefaction_146_5.txt	146	5	62.0	47.0	57.0	12.0
alpha_rarefaction_146_6.txt	146	6	61.0	50.0	68.0	16.0
alpha_rarefaction_146_7.txt	146	7	68.0	62.0	56.0	13.0
alpha_rarefaction_146_8.txt	146	8	68.0	57.0	62.0	20.0
alpha_rarefaction_146_9.txt	146	9	74.0	56.0	59.0	10.0
alpha_rarefaction_214_0.txt	214	0	76.0	60.0	60.0	13.0
alpha_rarefaction_214_1.txt	214	1	85.0	67.0	64.0	13.0
alpha_rarefaction_214_2.txt	214	2	77.0	79.0	80.0	12.0
alpha_rarefaction_214_3.txt	214	3	92.0	77.0	72.0	13.0
alpha_rarefaction_214_4.txt	214	4	86.0	70.0	74.0	15.0
alpha_rarefaction_214_5.txt	214	5	78.0	74.0	76.0	8.0
