	sequences per sample	iteration	S1t1t16s	S2t1t16s	S4t1t16s	S3t1t16s
alpha_rarefaction_10_0.txt	10	0	10.0	9.0	10.0	7.0
alpha_rarefaction_10_1.txt	10	1	10.0	9.0	9.0	6.0
alpha_rarefaction_10_2.txt	10	2	10.0	9.0	10.0	9.0
alpha_rarefaction_10_3.txt	10	3	10.0	10.0	10.0	9.0
alpha_rarefaction_10_4.txt	10	4	9.0	10.0	10.0	8.0
alpha_rarefaction_10_5.txt	10	5	10.0	9.0	10.0	7.0
alpha_rarefaction_10_6.txt	10	6	9.0	9.0	8.0	7.0
alpha_rarefaction_10_7.txt	10	7	9.0	10.0	8.0	9.0
alpha_rarefaction_10_8.txt	10	8	10.0	10.0	10.0	9.0
alpha_rarefaction_10_9.txt	10	9	10.0	10.0	10.0	7.0
alpha_rarefaction_78_0.txt	78	0	47.0	48.0	55.0	24.0
alpha_rarefaction_78_1.txt	78	1	56.0	55.0	53.0	26.0
alpha_rarefaction_78_2.txt	78	2	55.0	53.0	57.0	23.0
alpha_rarefaction_78_3.txt	78	3	56.0	49.0	49.0	25.0
alpha_rarefaction_78_4.txt	78	4	56.0	49.0	60.0	29.0
alpha_rarefaction_78_5.txt	78	5	46.0	49.0	54.0	22.0
alpha_rarefaction_78_6.txt	78	6	50.0	56.0	60.0	25.0
alpha_rarefaction_78_7.txt	78	7	55.0	50.0	52.0	21.0
alpha_rarefaction_78_8.txt	78	8	52.0	48.0	54.0	28.0
alpha_rarefaction_78_9.txt	78	9	57.0	50.0	59.0	22.0
alpha_rarefaction_146_0.txt	146	0	89.0	80.0	87.0	33.0
alpha_rarefaction_146_1.txt	146	1	81.0	77.0	85.0	28.0
alpha_rarefaction_146_2.txt	146	2	85.0	79.0	89.0	36.0
alpha_rarefaction_146_3.txt	146	3	75.0	83.0	86.0	33.0
alpha_rarefaction_146_4.txt	146	4	88.0	87.0	86.0	34.0
alpha_rarefaction_146_5.txt	146	5	84.0	75.0	80.0	34.0
alpha_rarefaction_146_6.txt	146	6	87.0	80.0	91.0	36.0
alpha_rarefaction_146_7.txt	146	7	89.0	85.0	81.0	31.0
alpha_rarefaction_146_8.txt	146	8	88.0	80.0	87.0	38.0
alpha_rarefaction_146_9.txt	146	9	91.0	89.0	86.0	32.0
alpha_rarefaction_214_0.txt	214	0	108.0	104.0	101.0	40.0
alpha_rarefaction_214_1.txt	214	1	118.0	102.0	108.0	36.0
alpha_rarefaction_214_2.txt	214	2	114.0	112.0	118.0	36.0
alpha_rarefaction_214_3.txt	214	3	120.0	115.0	112.0	37.0
alpha_rarefaction_214_4.txt	214	4	119.0	109.0	117.0	39.0
alpha_rarefaction_214_5.txt	214	5	111.0	115.0	112.0	33.0
alpha_rarefaction_214_6.txt	214	6	121.0	117.0	111.0	34.0
alpha_rarefaction_214_7.txt	214	7	122.0	112.0	105.0	39.0
alpha_rarefaction_214_8.txt	214	8	115.0	100.0	110.0	33.0
alpha_rarefaction_214_9.txt	214	9	126.0	110.0	103.0	35.0
alpha_rarefaction_282_0.txt	282	0	140.0	135.0	137.0	36.0
alpha_rarefaction_282_1.txt	282	1	143.0	124.0	125.0	40.0
alpha_rarefaction_282_2.txt	282	2	135.0	121.0	126.0	39.0
alpha_rarefaction_282_3.txt	282	3	141.0	126.0	138.0	37.0
alpha_rarefaction_282_4.txt	282	4	139.0	127.0	129.0	39.0
alpha_rarefaction_282_5.txt	282	5	131.0	126.0	134.0	41.0
alpha_rarefaction_282_6.txt	282	6	133.0	129.0	125.0	40.0
alpha_rarefaction_282_7.txt	282	7	133.0	127.0	126.0	40.0
alpha_rarefaction_282_8.txt	282	8	138.0	127.0	136.0	41.0
alpha_rarefaction_282_9.txt	282	9	134.0	131.0	124.0	42.0
alpha_rarefaction_350_0.txt	350	0	164.0	140.0	163.0	43.0
alpha_rarefaction_350_1.txt	350	1	156.0	140.0	160.0	46.0
alpha_rarefaction_350_2.txt	350	2	152.0	137.0	152.0	44.0
alpha_rarefaction_350_3.txt	350	3	155.0	144.0	139.0	44.0
alpha_rarefaction_350_4.txt	350	4	150.0	160.0	142.0	43.0
alpha_rarefaction_350_5.txt	350	5	154.0	143.0	143.0	44.0
alpha_rarefaction_350_6.txt	350	6	154.0	143.0	149.0	43.0
alpha_rarefaction_350_7.txt	350	7	157.0	146.0	153.0	46.0
alpha_rarefaction_350_8.txt	350	8	153.0	144.0	152.0	46.0
alpha_rarefaction_350_9.txt	350	9	163.0	139.0	146.0	43.0
alpha_rarefaction_418_0.txt	418	0	180.0	166.0	161.0	45.0
alpha_rarefaction_418_1.txt	418	1	175.0	153.0	164.0	45.0
alpha_rarefaction_418_2.txt	418	2	173.0	154.0	165.0	43.0
alpha_rarefaction_418_3.txt	418	3	172.0	164.0	166.0	42.0
alpha_rarefaction_418_4.txt	418	4	175.0	150.0	154.0	48.0
alpha_rarefaction_418_5.txt	418	5	178.0	169.0	154.0	45.0
alpha_rarefaction_418_6.txt	418	6	180.0	164.0	166.0	46.0
alpha_rarefaction_418_7.txt	418	7	185.0	154.0	162.0	46.0
alpha_rarefaction_418_8.txt	418	8	170.0	165.0	163.0	46.0
alpha_rarefaction_418_9.txt	418	9	173.0	163.0	154.0	46.0
alpha_rarefaction_486_0.txt	486	0	193.0	178.0	179.0	49.0
alpha_rarefaction_486_1.txt	486	1	192.0	170.0	178.0	49.0
alpha_rarefaction_486_2.txt	486	2	204.0	179.0	181.0	48.0
alpha_rarefaction_486_3.txt	486	3	195.0	171.0	179.0	45.0
alpha_rarefaction_486_4.txt	486	4	186.0	181.0	180.0	46.0
alpha_rarefaction_486_5.txt	486	5	192.0	171.0	183.0	46.0
alpha_rarefaction_486_6.txt	486	6	193.0	174.0	170.0	48.0
alpha_rarefaction_486_7.txt	486	7	191.0	174.0	177.0	47.0
alpha_rarefaction_486_8.txt	486	8	192.0	172.0	170.0	43.0
alpha_rarefaction_486_9.txt	486	9	193.0	171.0	172.0	48.0
alpha_rarefaction_554_0.txt	554	0	204.0	188.0	184.0	48.0
alpha_rarefaction_554_1.txt	554	1	210.0	185.0	182.0	49.0
alpha_rarefaction_554_2.txt	554	2	208.0	183.0	186.0	48.0
alpha_rarefaction_554_3.txt	554	3	209.0	188.0	188.0	49.0
alpha_rarefaction_554_4.txt	554	4	213.0	191.0	186.0	48.0
alpha_rarefaction_554_5.txt	554	5	208.0	186.0	179.0	49.0
alpha_rarefaction_554_6.txt	554	6	210.0	195.0	186.0	48.0
alpha_rarefaction_554_7.txt	554	7	211.0	186.0	186.0	48.0
alpha_rarefaction_554_8.txt	554	8	205.0	179.0	187.0	49.0
alpha_rarefaction_554_9.txt	554	9	207.0	187.0	188.0	47.0
alpha_rarefaction_622_0.txt	622	0	224.0	196.0	198.0	49.0
alpha_rarefaction_622_1.txt	622	1	223.0	199.0	196.0	46.0
alpha_rarefaction_622_2.txt	622	2	219.0	198.0	196.0	48.0
alpha_rarefaction_622_3.txt	622	3	224.0	194.0	197.0	49.0
alpha_rarefaction_622_4.txt	622	4	209.0	197.0	195.0	48.0
alpha_rarefaction_622_5.txt	622	5	221.0	195.0	200.0	47.0
alpha_rarefaction_622_6.txt	622	6	223.0	198.0	192.0	49.0
alpha_rarefaction_622_7.txt	622	7	218.0	199.0	199.0	47.0
alpha_rarefaction_622_8.txt	622	8	219.0	192.0	196.0	48.0
alpha_rarefaction_622_9.txt	622	9	224.0	193.0	196.0	49.0
alpha_rarefaction_690_0.txt	690	0	235.0	207.0	203.0	49.0
alpha_rarefaction_690_1.txt	690	1	235.0	207.0	203.0	49.0
alpha_rarefaction_690_2.txt	690	2	235.0	207.0	203.0	49.0
alpha_rarefaction_690_3.txt	690	3	235.0	207.0	203.0	49.0
alpha_rarefaction_690_4.txt	690	4	235.0	207.0	203.0	49.0
alpha_rarefaction_690_5.txt	690	5	235.0	207.0	203.0	49.0
alpha_rarefaction_690_6.txt	690	6	235.0	207.0	203.0	49.0
alpha_rarefaction_690_7.txt	690	7	235.0	207.0	203.0	49.0
alpha_rarefaction_690_8.txt	690	8	235.0	207.0	203.0	49.0
alpha_rarefaction_690_9.txt	690	9	235.0	207.0	203.0	49.0
