	observed_species	chao1	simpson	shannon	goods_coverage	observed	singles	doubles
TL3	138.0	146.571428571	0.87091469855	4.26861061502	0.999230732247	138.0	16.0	13.0
T2	183.0	195.75	0.952418856286	5.34728528422	0.999076733689	183.0	18.0	11.0
TL2	145.0	199.375	0.917698550993	4.46850937957	0.998529483849	145.0	30.0	7.0
TL1	118.0	119.666666667	0.906063593091	4.52408957584	0.999719796385	118.0	6.0	8.0
TS8	137.0	164.789473684	0.814398322157	3.68262842185	0.997423485322	137.0	33.0	18.0
MT209	93.0	94.6666666667	0.772831509369	3.05548153753	0.999852710134	93.0	6.0	8.0
T9	200.0	211.4	0.929069781566	4.92338299362	0.999399494311	200.0	19.0	14.0
T1	181.0	190.428571429	0.940690714904	5.11362180039	0.999702174129	181.0	12.0	6.0
MN13	155.0	190.0	0.887938777195	4.06093632957	0.997717329275	155.0	36.0	17.0
MN12	197.0	245.461538462	0.871713648408	4.59138583428	0.998303487276	197.0	36.0	12.0
MN15	158.0	171.142857143	0.790721053313	3.7863744436	0.998797534947	158.0	24.0	20.0
SM2	97.0	115.75	0.74163220207	2.25243082741	0.999399211766	97.0	25.0	15.0
MT213	110.0	125.111111111	0.765734792423	2.95038659908	0.999699168289	110.0	17.0	8.0
TS4	155.0	163.260869565	0.850889455859	3.7973043142	0.999036748061	155.0	20.0	22.0
SM4	136.0	181.090909091	0.800301693355	3.11462177889	0.998634287909	136.0	32.0	10.0
MT210	76.0	84.0769230769	0.695548621903	2.16514386062	0.999622878693	76.0	15.0	12.0
SM5	51.0	66.1111111111	0.728708340739	2.02269503203	0.999452548868	51.0	17.0	8.0
TS6	111.0	158.571428571	0.791970633299	2.91700342832	0.99793549827	111.0	37.0	13.0
