	sequences per sample	iteration	TL3	T2	TL2	TL1	TS8	MT209	T9	T1	MN13	MN12	MN15	SM2	MT213	TS4	SM4	MT210	SM5	TS6
alpha_rarefaction_10_0.txt	10	0	1.6405	1.68326	1.5922	2.14361	1.19293	0.97777	1.50588	1.29453	1.83051	1.3883	1.23909	1.37204	1.04945	1.52378	0.58974	0.5899	0.5899	0.5824
alpha_rarefaction_10_1.txt	10	1	1.69431	1.16917	1.84051	1.73258	0.45438	1.1567	1.61739	1.08954	0.95774	0.7124	1.35039	0.5899	1.57859	1.50599	1.20913	0.5899	0.5824	0.67504
alpha_rarefaction_10_2.txt	10	2	1.35345	1.68656	1.92576	1.27922	1.12131	1.12821	1.00976	1.91418	1.3064	1.3679	1.44083	0.58683	1.00346	0.78595	1.39763	1.00055	0.58683	0.84597
alpha_rarefaction_10_3.txt	10	3	1.56579	1.73538	1.658	2.21454	0.66784	1.21433	1.19213	1.30276	1.5374	1.30302	1.30764	0.58683	0.95988	1.23791	0.97078	1.00362	0.5899	0.81301
alpha_rarefaction_10_4.txt	10	4	1.72174	1.96284	1.55877	1.60107	0.78869	0.97777	1.34251	1.42547	1.61608	0.97208	1.26111	0.58683	1.10537	1.04811	0.5899	0.5899	0.58683	0.6741
alpha_rarefaction_10_5.txt	10	5	1.22556	1.60819	1.79943	1.64125	0.64674	1.42742	1.91228	0.92503	1.31803	0.90272	1.15933	0.5899	1.55981	0.60688	0.71954	0.58974	0.5899	0.67119
alpha_rarefaction_10_6.txt	10	6	1.50422	1.26164	1.77906	1.42059	1.44175	1.08542	1.58805	1.65236	1.49711	1.23435	1.25939	0.96004	0.95697	1.18023	0.71328	0.5899	0.58683	0.6741
alpha_rarefaction_10_7.txt	10	7	1.9569	1.44917	1.67003	2.41964	0.70498	1.18848	1.77618	1.29679	1.15816	1.13976	0.90491	0.5899	1.00346	0.63919	0.73033	0.95988	0.5899	0.79406
alpha_rarefaction_10_8.txt	10	8	1.89374	1.26648	1.66294	1.85851	0.79728	1.09485	1.33134	1.18465	1.50531	1.3702	1.03433	0.60688	1.20897	1.17282	0.92684	0.97793	0.58974	0.68387
alpha_rarefaction_10_9.txt	10	9	1.82873	1.58009	1.95731	1.31577	0.70586	1.17059	1.57716	1.25468	0.98185	1.57239	1.30927	0.5899	1.10828	0.83167	0.67132	0.9703	0.5899	0.6752
alpha_rarefaction_1289_0.txt	1289	0	7.68134	7.54717	7.71542	6.84192	4.85361	5.13108	6.4096	7.31769	6.20102	6.26776	5.46562	3.54946	4.97195	5.87715	6.29453	3.44512	1.62477	3.53073
alpha_rarefaction_1289_1.txt	1289	1	7.61688	8.49522	7.4689	7.76793	4.9505	5.09318	6.6529	7.57593	4.90845	6.00448	5.5206	3.04001	4.74507	5.98516	6.15998	2.92921	2.31517	3.87631
alpha_rarefaction_1289_2.txt	1289	2	7.36443	8.27876	6.40204	6.89959	4.70026	5.26228	6.88875	7.24803	5.84956	5.80248	5.79218	2.92294	4.67367	5.61851	5.97292	3.34853	2.48557	2.96421
alpha_rarefaction_1289_3.txt	1289	3	8.11684	8.0065	7.48088	7.16255	3.69344	4.87064	7.71665	6.75816	5.54036	6.09656	4.79755	2.63574	4.48439	6.29079	6.25334	2.80684	2.27241	3.96655
alpha_rarefaction_1289_4.txt	1289	4	7.55724	7.75008	7.08316	7.17484	4.1862	4.7298	6.52252	7.10289	5.84454	6.27898	5.39241	2.5369	4.5003	5.18709	5.27074	3.16205	1.93668	3.31101
alpha_rarefaction_1289_5.txt	1289	5	8.00112	7.57997	7.52727	7.07224	4.73333	5.06615	6.30721	6.49402	5.24591	5.87374	5.23594	2.87018	5.3763	6.32604	5.89504	3.22615	2.19327	3.74947
alpha_rarefaction_1289_6.txt	1289	6	7.74726	7.92069	7.20229	6.57593	5.11031	4.76692	6.55014	7.3064	5.44081	5.81659	5.20541	2.43048	4.99629	5.3553	5.68746	2.89484	3.2967	3.81409
alpha_rarefaction_1289_7.txt	1289	7	7.62115	8.31332	7.04882	6.54073	4.32743	5.47074	7.41052	7.62786	5.50221	5.69084	5.48451	3.09012	4.73416	5.35531	6.31332	2.74817	2.91063	3.62743
alpha_rarefaction_1289_8.txt	1289	8	8.22478	7.6281	6.97642	7.12649	4.28631	5.11116	6.72145	6.54965	5.45164	6.28266	5.63015	2.98051	5.6039	5.39175	6.06068	3.27832	1.49019	3.12285
alpha_rarefaction_1289_9.txt	1289	9	7.46024	7.27899	7.73938	7.01361	4.28447	5.05555	7.36334	6.37105	6.18333	6.3183	5.71923	4.13598	4.57297	5.56	6.06022	2.54892	2.18578	3.57899
alpha_rarefaction_2568_0.txt	2568	0	8.60165	8.45268	8.09944	8.1294	5.69004	5.59912	8.05722	8.68834	6.39352	6.69916	6.32722	3.72523	5.74558	6.61235	6.41057	4.09444	2.56297	4.24232
alpha_rarefaction_2568_1.txt	2568	1	8.85005	9.06272	8.11651	7.4309	5.38415	5.26764	7.76524	8.51484	7.41666	7.32234	6.07071	3.45943	5.39739	6.94309	7.4655	3.79679	3.35241	4.73848
alpha_rarefaction_2568_2.txt	2568	2	8.02743	9.4077	8.91464	7.19443	5.34935	4.69382	7.69651	7.9217	6.82566	7.1741	6.57789	3.60627	5.41108	6.33514	6.64527	3.97909	2.66549	4.51971
alpha_rarefaction_2568_3.txt	2568	3	9.01782	8.82777	8.09632	7.69387	6.53249	5.52103	8.09837	8.70725	6.76636	6.89589	6.66816	3.55427	5.61758	6.7353	7.10899	3.29264	2.42344	5.17841
alpha_rarefaction_2568_4.txt	2568	4	8.18707	8.89065	7.9475	7.44421	5.34187	5.20057	7.61364	8.67076	6.89399	7.45507	6.98448	4.69836	5.61671	6.91674	7.42585	4.01596	2.48226	4.56096
alpha_rarefaction_2568_5.txt	2568	5	8.50885	8.87203	8.27992	7.44882	5.57718	5.86326	7.944	7.82822	5.85653	7.08742	6.26006	3.47458	5.73134	6.03598	6.69643	4.08481	3.15475	4.5645
alpha_rarefaction_2568_6.txt	2568	6	9.19047	8.93013	8.2769	7.23649	5.82739	5.38883	8.45055	8.00074	6.68815	6.89921	6.26583	4.54348	5.70869	6.59966	7.51338	3.09908	2.74338	4.90699
alpha_rarefaction_2568_7.txt	2568	7	9.24901	9.23869	8.40823	7.76612	5.00525	5.49836	8.40528	8.51829	5.97625	6.64832	5.80943	3.76344	5.57093	6.86701	6.89507	3.43598	2.66857	5.02045
alpha_rarefaction_2568_8.txt	2568	8	8.93432	8.55729	7.54619	7.53011	5.18603	5.48897	7.70842	8.10668	6.6291	7.56829	6.39631	3.98785	5.36964	6.77748	7.32201	3.46689	3.50618	4.14074
alpha_rarefaction_2568_9.txt	2568	9	8.18098	8.84552	8.87717	7.59161	5.80512	5.30049	8.63901	8.25708	6.1228	6.41393	6.55405	4.02384	5.54745	7.00677	6.77032	3.36773	2.75237	4.80793
alpha_rarefaction_3847_0.txt	3847	0	8.66556	9.17949	9.23259	8.28123	6.0072	5.97234	8.0588	8.70398	7.52023	8.13822	6.98744	4.31009	5.80567	7.25381	7.48855	4.67591	2.9314	5.54512
alpha_rarefaction_3847_1.txt	3847	1	8.57518	8.99837	8.99181	7.85652	6.42638	5.42955	8.28135	8.83158	6.08235	7.38732	6.01871	3.83505	5.81349	7.27328	7.24633	4.8376	3.07458	6.23648
alpha_rarefaction_3847_2.txt	3847	2	8.93663	9.51556	8.7526	8.34598	6.76466	5.8072	9.00695	9.47935	7.0017	6.80704	6.51906	3.9134	6.11514	6.8426	7.50493	3.47143	2.77611	4.9591
alpha_rarefaction_3847_3.txt	3847	3	8.81892	9.48834	8.38156	7.84385	5.95387	5.91114	8.38021	9.07062	6.60298	8.44352	7.06482	5.15932	5.85568	7.19947	7.55838	2.96929	3.75413	4.88853
alpha_rarefaction_3847_4.txt	3847	4	9.03749	9.30273	8.42105	7.79818	6.24358	5.9134	8.18484	9.04514	6.60018	7.38925	6.35453	4.74949	5.93539	6.99326	7.91072	3.88665	3.63578	6.55174
