	sequences per sample	iteration	TL3	T2	TL2	TL1	TS8	MT209	T9	T1	MN13	MN12	MN15	SM2	MT213	TS4	SM4	MT210	SM5	TS6
alpha_rarefaction_10_0.txt	10	0	9.0	13.0	6.2	23.0	29.0	5.0	13.0	23.0	29.0	5.5	9.0	9.0	6.5	12.0	3.0	4.0	4.0	2.0
alpha_rarefaction_10_1.txt	10	1	29.0	13.0	13.0	12.0	7.0	9.0	13.0	55.0	5.0	5.33333333333	7.0	5.0	9.0	29.0	5.0	4.0	2.0	5.0
alpha_rarefaction_10_2.txt	10	2	11.0	55.0	13.0	8.5	13.0	16.0	8.0	55.0	8.5	29.0	9.0	3.0	4.0	7.0	5.33333333333	5.0	3.0	5.33333333333
alpha_rarefaction_10_3.txt	10	3	12.0	55.0	9.0	23.0	6.5	12.0	12.0	23.0	7.0	13.0	9.0	3.0	4.0	29.0	5.5	6.5	5.0	6.2
alpha_rarefaction_10_4.txt	10	4	12.0	55.0	12.0	8.0	7.0	4.5	22.0	13.0	12.0	11.0	6.5	3.0	8.0	12.0	4.0	5.0	3.0	4.0
alpha_rarefaction_10_5.txt	10	5	5.33333333333	7.0	9.0	7.0	9.0	11.0	7.0	13.0	7.0	4.0	16.0	4.0	29.0	8.0	7.0	3.0	4.0	4.0
alpha_rarefaction_10_6.txt	10	6	7.0	5.33333333333	5.5	5.33333333333	16.0	3.0	12.0	29.0	13.0	13.0	9.0	5.33333333333	4.5	8.0	4.5	4.0	3.0	5.0
alpha_rarefaction_10_7.txt	10	7	13.0	23.0	29.0	55.0	8.0	11.0	23.0	13.0	22.0	12.0	7.0	4.0	4.5	6.5	5.0	4.0	4.0	9.0
alpha_rarefaction_10_8.txt	10	8	7.0	13.0	23.0	12.0	22.0	4.5	8.5	12.0	8.5	13.0	5.33333333333	6.5	5.0	29.0	5.0	6.5	3.0	4.0
alpha_rarefaction_10_9.txt	10	9	16.0	12.0	29.0	4.0	13.0	5.33333333333	29.0	13.0	12.0	13.0	12.0	4.0	5.5	9.0	4.0	11.0	4.0	9.0
alpha_rarefaction_1289_0.txt	1289	0	97.0	115.777777778	103.0	85.7142857143	91.3125	64.3636363636	109.5	142.391304348	95.1428571429	148.4	102.4	62.0	70.0	94.0555555556	75.0909090909	48.5	16.0	43.25
alpha_rarefaction_1289_1.txt	1289	1	130.875	162.047619048	114.0	90.5454545455	98.2	56.6	195.625	133.84	132.0	144.714285714	96.5	47.0	70.5	111.2	80.0769230769	34.0	10.3333333333	50.1666666667
alpha_rarefaction_1289_2.txt	1289	2	93.2142857143	152.615384615	101.0	95.0	114.0	69.6	144.681818182	142.315789474	95.4	132.105263158	113.5	24.6	58.75	142.545454545	89.3333333333	56.25	23.0	54.0
alpha_rarefaction_1289_3.txt	1289	3	93.9285714286	138.666666667	103.090909091	89.4	64.5833333333	60.1	139.315789474	134.142857143	105.0	131.352941176	121.875	19.6666666667	70.8571428571	109.0	82.2727272727	39.75	26.0	72.5
alpha_rarefaction_1289_4.txt	1289	4	83.1052631579	151.0	112.666666667	95.1764705882	80.8333333333	87.0	127.0	132.666666667	138.090909091	162.0	98.2307692308	30.0	63.0	85.8666666667	67.5	63.6	22.5	88.5
alpha_rarefaction_1289_5.txt	1289	5	88.12	143.0625	93.25	95.8333333333	101.909090909	74.0909090909	134.315789474	144.157894737	100.090909091	146.5	109.166666667	30.2	99.2	110.461538462	110.166666667	77.3333333333	15.3333333333	36.5
alpha_rarefaction_1289_6.txt	1289	6	108.090909091	155.681818182	94.125	91.6153846154	102.0	55.375	126.333333333	121.043478261	104.0	131.166666667	93.4	42.5	79.1	100.882352941	68.4	46.1666666667	28.25	71.0
