	sequences per sample	iteration	TL3	T2	TL2	TL1	TS8	MT209	T9	T1	MN13	MN12	MN15	SM2	MT213	TS4	SM4	MT210	SM5	TS6
alpha_rarefaction_10_0.txt	10	0	1.0	2.0	4.0	1.0	0.0	0.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
alpha_rarefaction_10_1.txt	10	1	0.0	2.0	2.0	1.0	0.0	1.0	2.0	0.0	3.0	2.0	0.0	0.0	1.0	0.0	3.0	2.0	0.0	3.0
alpha_rarefaction_10_2.txt	10	2	0.0	0.0	2.0	3.0	2.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	2.0	2.0	2.0	0.0	0.0	2.0
alpha_rarefaction_10_3.txt	10	3	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	4.0
alpha_rarefaction_10_4.txt	10	4	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0
alpha_rarefaction_10_5.txt	10	5	2.0	2.0	1.0	0.0	1.0	0.0	2.0	2.0	2.0	0.0	0.0	2.0	0.0	0.0	2.0	2.0	2.0	0.0
alpha_rarefaction_10_6.txt	10	6	2.0	2.0	1.0	2.0	0.0	1.0	1.0	0.0	2.0	2.0	1.0	2.0	1.0	0.0	1.0	2.0	0.0	0.0
alpha_rarefaction_10_7.txt	10	7	2.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0
alpha_rarefaction_10_8.txt	10	8	2.0	2.0	1.0	0.0	0.0	1.0	3.0	1.0	3.0	2.0	2.0	1.0	0.0	0.0	3.0	1.0	0.0	2.0
alpha_rarefaction_10_9.txt	10	9	0.0	1.0	0.0	1.0	2.0	2.0	0.0	2.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	0.0	2.0	1.0
alpha_rarefaction_1289_0.txt	1289	0	14.0	26.0	14.0	13.0	15.0	10.0	23.0	22.0	20.0	14.0	14.0	2.0	8.0	17.0	10.0	3.0	1.0	3.0
alpha_rarefaction_1289_1.txt	1289	1	7.0	20.0	9.0	10.0	14.0	9.0	7.0	24.0	10.0	13.0	13.0	2.0	11.0	14.0	12.0	3.0	2.0	5.0
alpha_rarefaction_1289_2.txt	1289	2	13.0	25.0	11.0	13.0	8.0	9.0	21.0	18.0	14.0	18.0	9.0	4.0	11.0	10.0	8.0	3.0	3.0	2.0
alpha_rarefaction_1289_3.txt	1289	3	13.0	23.0	10.0	14.0	11.0	9.0	18.0	20.0	9.0	16.0	7.0	5.0	6.0	14.0	10.0	3.0	3.0	5.0
alpha_rarefaction_1289_4.txt	1289	4	18.0	20.0	8.0	16.0	11.0	5.0	14.0	23.0	10.0	14.0	12.0	3.0	6.0	14.0	13.0	4.0	1.0	1.0
alpha_rarefaction_1289_5.txt	1289	5	24.0	15.0	11.0	11.0	10.0	10.0	18.0	18.0	10.0	9.0	17.0	4.0	4.0	12.0	5.0	2.0	2.0	7.0
alpha_rarefaction_1289_6.txt	1289	6	10.0	21.0	15.0	12.0	13.0	7.0	17.0	22.0	11.0	17.0	14.0	1.0	9.0	16.0	14.0	5.0	3.0	3.0
alpha_rarefaction_1289_7.txt	1289	7	12.0	18.0	16.0	10.0	12.0	9.0	14.0	17.0	13.0	14.0	10.0	3.0	5.0	12.0	13.0	2.0	3.0	10.0
alpha_rarefaction_1289_8.txt	1289	8	11.0	21.0	15.0	13.0	9.0	8.0	16.0	13.0	16.0	15.0	13.0	2.0	9.0	7.0	14.0	7.0	1.0	4.0
alpha_rarefaction_1289_9.txt	1289	9	11.0	29.0	18.0	10.0	10.0	12.0	14.0	15.0	11.0	16.0	14.0	1.0	8.0	14.0	12.0	6.0	2.0	9.0
alpha_rarefaction_2568_0.txt	2568	0	13.0	13.0	10.0	10.0	16.0	13.0	27.0	25.0	11.0	12.0	16.0	5.0	17.0	17.0	15.0	6.0	2.0	12.0
alpha_rarefaction_2568_1.txt	2568	1	10.0	20.0	17.0	6.0	8.0	12.0	17.0	29.0	16.0	11.0	21.0	5.0	6.0	18.0	11.0	6.0	4.0	7.0
alpha_rarefaction_2568_2.txt	2568	2	12.0	22.0	16.0	13.0	12.0	5.0	19.0	17.0	7.0	15.0	14.0	5.0	12.0	13.0	11.0	4.0	0.0	11.0
alpha_rarefaction_2568_3.txt	2568	3	13.0	19.0	15.0	9.0	8.0	7.0	12.0	20.0	10.0	19.0	11.0	4.0	9.0	16.0	11.0	2.0	2.0	11.0
alpha_rarefaction_2568_4.txt	2568	4	12.0	13.0	11.0	9.0	6.0	12.0	15.0	24.0	15.0	14.0	15.0	4.0	10.0	15.0	17.0	3.0	2.0	5.0
alpha_rarefaction_2568_5.txt	2568	5	14.0	14.0	8.0	8.0	14.0	7.0	23.0	19.0	12.0	14.0	13.0	4.0	11.0	13.0	12.0	7.0	3.0	5.0
alpha_rarefaction_2568_6.txt	2568	6	12.0	16.0	7.0	7.0	11.0	8.0	21.0	14.0	12.0	18.0	12.0	5.0	15.0	16.0	15.0	2.0	3.0	7.0
alpha_rarefaction_2568_7.txt	2568	7	12.0	19.0	13.0	8.0	5.0	9.0	13.0	15.0	12.0	11.0	7.0	4.0	13.0	16.0	13.0	1.0	3.0	7.0
alpha_rarefaction_2568_8.txt	2568	8	10.0	16.0	11.0	8.0	10.0	5.0	21.0	20.0	6.0	11.0	18.0	5.0	9.0	10.0	5.0	3.0	5.0	9.0
alpha_rarefaction_2568_9.txt	2568	9	7.0	27.0	10.0	13.0	14.0	9.0	22.0	18.0	18.0	12.0	17.0	11.0	9.0	11.0	15.0	6.0	3.0	5.0
alpha_rarefaction_3847_0.txt	3847	0	12.0	16.0	17.0	6.0	10.0	7.0	19.0	18.0	19.0	13.0	12.0	8.0	7.0	20.0	15.0	5.0	4.0	12.0
alpha_rarefaction_3847_1.txt	3847	1	11.0	14.0	10.0	6.0	16.0	6.0	18.0	18.0	13.0	15.0	10.0	3.0	12.0	13.0	5.0	6.0	2.0	14.0
alpha_rarefaction_3847_2.txt	3847	2	12.0	13.0	14.0	9.0	15.0	6.0	21.0	12.0	16.0	16.0	17.0	9.0	11.0	16.0	9.0	6.0	2.0	10.0
alpha_rarefaction_3847_3.txt	3847	3	6.0	12.0	9.0	10.0	12.0	8.0	19.0	16.0	15.0	17.0	19.0	6.0	6.0	15.0	11.0	6.0	5.0	7.0
alpha_rarefaction_3847_4.txt	3847	4	7.0	19.0	12.0	9.0	13.0	10.0	20.0	17.0	11.0	16.0	19.0	5.0	10.0	14.0	14.0	5.0	9.0	13.0
alpha_rarefaction_3847_5.txt	3847	5	15.0	17.0	11.0	7.0	15.0	8.0	17.0	21.0	13.0	19.0	14.0	5.0	2.0	17.0	18.0	8.0	3.0	6.0
alpha_rarefaction_3847_6.txt	3847	6	17.0	17.0	10.0	8.0	13.0	9.0	10.0	19.0	15.0	18.0	11.0	8.0	11.0	13.0	10.0	1.0	4.0	12.0
alpha_rarefaction_3847_7.txt	3847	7	15.0	18.0	15.0	6.0	12.0	4.0	19.0	23.0	12.0	12.0	14.0	10.0	10.0	14.0	13.0	7.0	1.0	8.0
alpha_rarefaction_3847_8.txt	3847	8	10.0	16.0	10.0	7.0	13.0	9.0	18.0	18.0	17.0	16.0	15.0	12.0	8.0	19.0	19.0	3.0	5.0	12.0
alpha_rarefaction_3847_9.txt	3847	9	11.0	19.0	16.0	11.0	12.0	10.0	21.0	19.0	14.0	22.0	11.0	6.0	10.0	18.0	11.0	7.0	4.0	6.0
alpha_rarefaction_5126_0.txt	5126	0	10.0	15.0	8.0	7.0	12.0	11.0	21.0	19.0	24.0	20.0	12.0	6.0	7.0	16.0	12.0	4.0	1.0	10.0
alpha_rarefaction_5126_1.txt	5126	1	6.0	12.0	6.0	10.0	15.0	10.0	16.0	15.0	10.0	15.0	9.0	6.0	8.0	12.0	14.0	7.0	5.0	12.0
alpha_rarefaction_5126_2.txt	5126	2	8.0	13.0	10.0	10.0	15.0	3.0	22.0	17.0	14.0	24.0	8.0	7.0	7.0	16.0	13.0	6.0	1.0	8.0
alpha_rarefaction_5126_3.txt	5126	3	5.0	12.0	13.0	11.0	15.0	10.0	20.0	16.0	7.0	17.0	16.0	7.0	12.0	14.0	16.0	0.0	2.0	9.0
alpha_rarefaction_5126_4.txt	5126	4	9.0	13.0	11.0	13.0	14.0	3.0	21.0	21.0	17.0	15.0	9.0	11.0	9.0	19.0	14.0	4.0	4.0	14.0
alpha_rarefaction_5126_5.txt	5126	5	12.0	22.0	16.0	8.0	14.0	10.0	23.0	14.0	13.0	22.0	15.0	11.0	4.0	21.0	9.0	2.0	1.0	14.0
alpha_rarefaction_5126_6.txt	5126	6	8.0	13.0	7.0	8.0	20.0	5.0	19.0	23.0	15.0	15.0	17.0	6.0	9.0	12.0	16.0	8.0	1.0	9.0
alpha_rarefaction_5126_7.txt	5126	7	5.0	16.0	9.0	7.0	18.0	9.0	19.0	21.0	14.0	20.0	11.0	9.0	10.0	23.0	16.0	9.0	3.0	7.0
alpha_rarefaction_5126_8.txt	5126	8	11.0	12.0	9.0	6.0	12.0	8.0	17.0	10.0	17.0	16.0	15.0	5.0	9.0	19.0	15.0	2.0	3.0	13.0
alpha_rarefaction_5126_9.txt	5126	9	9.0	14.0	11.0	13.0	17.0	5.0	23.0	17.0	15.0	17.0	9.0	8.0	5.0	12.0	20.0	9.0	5.0	7.0
alpha_rarefaction_6405_0.txt	6405	0	9.0	13.0	9.0	8.0	13.0	5.0	30.0	13.0	15.0	12.0	15.0	9.0	8.0	14.0	14.0	5.0	4.0	14.0
alpha_rarefaction_6405_1.txt	6405	1	6.0	8.0	10.0	12.0	15.0	7.0	18.0	14.0	14.0	13.0	14.0	4.0	7.0	16.0	16.0	7.0	3.0	21.0
alpha_rarefaction_6405_2.txt	6405	2	12.0	12.0	11.0	8.0	10.0	8.0	14.0	21.0	12.0	14.0	14.0	8.0	10.0	18.0	15.0	5.0	5.0	14.0
alpha_rarefaction_6405_3.txt	6405	3	7.0	14.0	13.0	6.0	14.0	11.0	15.0	14.0	12.0	14.0	14.0	9.0	4.0	18.0	10.0	8.0	3.0	10.0
alpha_rarefaction_6405_4.txt	6405	4	6.0	9.0	12.0	10.0	22.0	11.0	27.0	18.0	12.0	16.0	15.0	8.0	9.0	13.0	9.0	5.0	6.0	7.0
alpha_rarefaction_6405_5.txt	6405	5	8.0	10.0	11.0	10.0	21.0	8.0	14.0	22.0	13.0	19.0	14.0	4.0	9.0	17.0	14.0	7.0	6.0	14.0
alpha_rarefaction_6405_6.txt	6405	6	8.0	10.0	9.0	9.0	12.0	7.0	21.0	15.0	10.0	12.0	10.0	7.0	9.0	9.0	10.0	11.0	4.0	10.0
alpha_rarefaction_6405_7.txt	6405	7	9.0	16.0	10.0	10.0	16.0	2.0	22.0	12.0	11.0	15.0	6.0	8.0	8.0	18.0	11.0	4.0	2.0	6.0
alpha_rarefaction_6405_8.txt	6405	8	6.0	15.0	12.0	8.0	9.0	8.0	12.0	14.0	12.0	14.0	15.0	11.0	6.0	19.0	12.0	9.0	6.0	11.0
alpha_rarefaction_6405_9.txt	6405	9	8.0	12.0	10.0	15.0	10.0	9.0	23.0	14.0	16.0	11.0	12.0	10.0	4.0	21.0	20.0	7.0	2.0	10.0
alpha_rarefaction_7684_0.txt	7684	0	11.0	9.0	8.0	8.0	13.0	6.0	21.0	8.0	7.0	13.0	17.0	10.0	6.0	14.0	15.0	9.0	6.0	14.0
alpha_rarefaction_7684_1.txt	7684	1	16.0	11.0	8.0	9.0	15.0	5.0	17.0	9.0	12.0	15.0	13.0	11.0	9.0	12.0	11.0	8.0	4.0	10.0
alpha_rarefaction_7684_2.txt	7684	2	9.0	11.0	7.0	9.0	17.0	7.0	27.0	17.0	17.0	20.0	17.0	7.0	15.0	13.0	14.0	8.0	7.0	14.0
alpha_rarefaction_7684_3.txt	7684	3	9.0	15.0	10.0	10.0	17.0	10.0	21.0	11.0	13.0	12.0	6.0	10.0	9.0	20.0	11.0	7.0	5.0	20.0
alpha_rarefaction_7684_4.txt	7684	4	11.0	9.0	6.0	11.0	14.0	8.0	13.0	16.0	16.0	17.0	11.0	8.0	10.0	14.0	16.0	5.0	4.0	14.0
alpha_rarefaction_7684_5.txt	7684	5	13.0	12.0	14.0	6.0	16.0	9.0	20.0	14.0	13.0	16.0	15.0	9.0	7.0	21.0	12.0	7.0	7.0	14.0
alpha_rarefaction_7684_6.txt	7684	6	11.0	10.0	10.0	9.0	16.0	5.0	17.0	9.0	16.0	13.0	13.0	12.0	12.0	21.0	14.0	10.0	4.0	10.0
alpha_rarefaction_7684_7.txt	7684	7	11.0	15.0	17.0	11.0	15.0	5.0	20.0	18.0	9.0	16.0	15.0	8.0	5.0	20.0	11.0	3.0	5.0	11.0
alpha_rarefaction_7684_8.txt	7684	8	6.0	8.0	10.0	10.0	17.0	8.0	24.0	8.0	14.0	15.0	10.0	7.0	4.0	19.0	16.0	4.0	5.0	13.0
alpha_rarefaction_7684_9.txt	7684	9	8.0	10.0	13.0	7.0	20.0	5.0	22.0	18.0	7.0	17.0	15.0	8.0	6.0	13.0	12.0	10.0	3.0	8.0
alpha_rarefaction_8963_0.txt	8963	0	8.0	8.0	13.0	8.0	16.0	6.0	21.0	10.0	16.0	21.0	13.0	9.0	4.0	15.0	13.0	8.0	3.0	10.0
alpha_rarefaction_8963_1.txt	8963	1	12.0	14.0	9.0	9.0	16.0	5.0	19.0	12.0	15.0	15.0	16.0	8.0	8.0	21.0	18.0	7.0	6.0	17.0
alpha_rarefaction_8963_2.txt	8963	2	6.0	12.0	8.0	10.0	14.0	6.0	19.0	13.0	13.0	11.0	16.0	13.0	8.0	13.0	11.0	8.0	6.0	10.0
alpha_rarefaction_8963_3.txt	8963	3	9.0	17.0	9.0	10.0	16.0	10.0	20.0	17.0	15.0	16.0	17.0	10.0	5.0	16.0	8.0	7.0	3.0	13.0
alpha_rarefaction_8963_4.txt	8963	4	9.0	14.0	13.0	7.0	20.0	12.0	11.0	7.0	13.0	16.0	17.0	12.0	9.0	22.0	19.0	9.0	6.0	10.0
alpha_rarefaction_8963_5.txt	8963	5	7.0	7.0	8.0	5.0	9.0	8.0	15.0	9.0	12.0	15.0	14.0	6.0	8.0	14.0	12.0	10.0	5.0	13.0
