	sequences per sample	iteration	TL3	T2	TL2	TL1	TS8	MT209	T9	T1	MN13	MN12	MN15	SM2	MT213	TS4	SM4	MT210	SM5	TS6
alpha_rarefaction_10_0.txt	10	0	0.76	0.86	0.82	0.88	0.84	0.66	0.86	0.88	0.84	0.76	0.76	0.76	0.68	0.82	0.62	0.7	0.7	0.5
alpha_rarefaction_10_1.txt	10	1	0.84	0.86	0.86	0.82	0.48	0.76	0.86	0.9	0.78	0.74	0.48	0.66	0.76	0.84	0.78	0.66	0.42	0.78
alpha_rarefaction_10_2.txt	10	2	0.6	0.9	0.86	0.84	0.86	0.7	0.72	0.9	0.84	0.84	0.76	0.66	0.66	0.8	0.74	0.66	0.58	0.74
alpha_rarefaction_10_3.txt	10	3	0.82	0.9	0.76	0.88	0.68	0.78	0.82	0.88	0.8	0.86	0.76	0.62	0.7	0.84	0.76	0.68	0.64	0.82
alpha_rarefaction_10_4.txt	10	4	0.82	0.9	0.82	0.72	0.48	0.58	0.78	0.86	0.82	0.6	0.68	0.58	0.72	0.78	0.7	0.64	0.46	0.74
alpha_rarefaction_10_5.txt	10	5	0.74	0.8	0.76	0.48	0.76	0.6	0.8	0.86	0.8	0.34	0.7	0.74	0.84	0.72	0.8	0.56	0.74	0.72
alpha_rarefaction_10_6.txt	10	6	0.8	0.74	0.76	0.74	0.7	0.46	0.82	0.84	0.86	0.86	0.76	0.74	0.58	0.72	0.58	0.66	0.58	0.64
alpha_rarefaction_10_7.txt	10	7	0.86	0.88	0.84	0.9	0.72	0.6	0.88	0.86	0.78	0.82	0.48	0.72	0.58	0.68	0.64	0.7	0.72	0.76
alpha_rarefaction_10_8.txt	10	8	0.8	0.86	0.88	0.78	0.78	0.58	0.84	0.82	0.84	0.86	0.74	0.68	0.66	0.84	0.78	0.68	0.66	0.74
alpha_rarefaction_10_9.txt	10	9	0.7	0.82	0.84	0.7	0.86	0.74	0.84	0.86	0.82	0.86	0.82	0.66	0.76	0.76	0.7	0.6	0.66	0.76
