	sequences per sample	iteration	TL3	T2	TL2	TL1	TS8	MT209	T9	T1	MN13	MN12	MN15	SM2	MT213	TS4	SM4	MT210	SM5	TS6
alpha_rarefaction_10_0.txt	10	0	4.0	6.0	2.0	8.0	7.0	2.0	6.0	8.0	7.0	2.0	4.0	4.0	3.0	5.0	0.0	1.0	1.0	0.0
alpha_rarefaction_10_1.txt	10	1	7.0	6.0	6.0	5.0	3.0	4.0	6.0	10.0	1.0	2.0	3.0	2.0	4.0	7.0	1.0	1.0	0.0	1.0
alpha_rarefaction_10_2.txt	10	2	4.0	10.0	6.0	4.0	6.0	5.0	3.0	10.0	4.0	7.0	4.0	0.0	1.0	3.0	2.0	2.0	1.0	2.0
alpha_rarefaction_10_3.txt	10	3	5.0	10.0	4.0	8.0	3.0	4.0	5.0	8.0	3.0	6.0	4.0	0.0	1.0	7.0	2.0	3.0	2.0	2.0
alpha_rarefaction_10_4.txt	10	4	5.0	10.0	5.0	3.0	3.0	2.0	6.0	6.0	5.0	4.0	3.0	1.0	3.0	4.0	1.0	2.0	1.0	0.0
alpha_rarefaction_10_5.txt	10	5	2.0	3.0	4.0	3.0	4.0	4.0	3.0	6.0	3.0	2.0	5.0	0.0	7.0	3.0	3.0	0.0	0.0	1.0
alpha_rarefaction_10_6.txt	10	6	3.0	2.0	2.0	2.0	5.0	1.0	5.0	7.0	6.0	6.0	4.0	2.0	2.0	3.0	2.0	1.0	1.0	2.0
alpha_rarefaction_10_7.txt	10	7	6.0	8.0	7.0	10.0	3.0	4.0	8.0	6.0	6.0	5.0	3.0	1.0	2.0	3.0	2.0	1.0	1.0	4.0
alpha_rarefaction_10_8.txt	10	8	3.0	6.0	8.0	4.0	6.0	2.0	4.0	5.0	4.0	6.0	2.0	3.0	2.0	7.0	1.0	3.0	0.0	0.0
alpha_rarefaction_10_9.txt	10	9	5.0	5.0	7.0	1.0	6.0	2.0	7.0	6.0	5.0	6.0	5.0	1.0	2.0	4.0	1.0	4.0	1.0	4.0
alpha_rarefaction_1289_0.txt	1289	0	21.0	21.0	25.0	17.0	26.0	17.0	24.0	36.0	24.0	34.0	24.0	15.0	18.0	26.0	21.0	13.0	5.0	10.0
alpha_rarefaction_1289_1.txt	1289	1	27.0	41.0	25.0	15.0	28.0	12.0	39.0	32.0	34.0	33.0	22.0	12.0	21.0	33.0	25.0	9.0	2.0	14.0
alpha_rarefaction_1289_2.txt	1289	2	19.0	37.0	24.0	21.0	28.0	17.0	39.0	35.0	24.0	32.0	26.0	8.0	15.0	37.0	25.0	15.0	8.0	12.0
alpha_rarefaction_1289_3.txt	1289	3	18.0	32.0	24.0	19.0	14.0	14.0	35.0	33.0	25.0	31.0	27.0	5.0	18.0	31.0	25.0	11.0	9.0	19.0
alpha_rarefaction_1289_4.txt	1289	4	13.0	36.0	24.0	20.0	20.0	21.0	31.0	32.0	35.0	40.0	24.0	9.0	15.0	23.0	22.0	18.0	7.0	15.0
alpha_rarefaction_1289_5.txt	1289	5	13.0	31.0	19.0	20.0	27.0	21.0	35.0	36.0	24.0	31.0	30.0	9.0	22.0	30.0	26.0	17.0	5.0	9.0
