Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
MT	TL	6.27837833333	0.740749926368	9.82240033333	0.810019422406	-4.56611003077	1.0
MN	MT	9.02117433333	0.60528314535	6.27837833333	0.740749926368	4.05489315335	1.0
MN	TA	9.02117433333	0.60528314535	10.2146136667	0.3151314839	-2.47328197524	1.0
TC	TA	8.11973066667	0.320026605479	10.2146136667	0.3151314839	-6.59621855753	0.27
MN	SM	9.02117433333	0.60528314535	6.749361	1.96895014247	1.55971178197	1.0
MN	TC	9.02117433333	0.60528314535	8.11973066667	0.320026605479	1.86194508739	1.0
TL	TC	9.82240033333	0.810019422406	8.11973066667	0.320026605479	2.76473634648	0.795
TL	SM	9.82240033333	0.810019422406	6.749361	1.96895014247	2.04124546667	1.0
MT	SM	6.27837833333	0.740749926368	6.749361	1.96895014247	-0.316621185415	1.0
SM	TC	6.749361	1.96895014247	8.11973066667	0.320026605479	-0.971529181418	1.0
MT	TC	6.27837833333	0.740749926368	8.11973066667	0.320026605479	-3.22714798864	1.0
TL	TA	9.82240033333	0.810019422406	10.2146136667	0.3151314839	-0.638171726495	1.0
MN	TL	9.02117433333	0.60528314535	9.82240033333	0.810019422406	-1.1205688708	1.0
MT	TA	6.27837833333	0.740749926368	10.2146136667	0.3151314839	-6.91516291512	0.96
SM	TA	6.749361	1.96895014247	10.2146136667	0.3151314839	-2.45766540369	1.0
