Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
MT	TL	87.2429279054	11.4710797824	143.355880786	19.4900465417	-3.50895303102	1.0
MN	MT	192.333613313	20.7271408006	87.2429279054	11.4710797824	6.27365130871	1.0
MN	TA	192.333613313	20.7271408006	193.354764655	6.09805844691	-0.0668404505954	1.0
TC	TA	156.243482051	15.3129429151	193.354764655	6.09805844691	-3.18418353595	1.0
MN	SM	192.333613313	20.7271408006	100.601380286	41.8159164121	2.77964644017	1.0
MN	TC	192.333613313	20.7271408006	156.243482051	15.3129429151	1.98055326844	1.0
TL	TC	143.355880786	19.4900465417	156.243482051	15.3129429151	-0.735325821057	1.0
TL	SM	143.355880786	19.4900465417	100.601380286	41.8159164121	1.31059004671	1.0
MT	SM	87.2429279054	11.4710797824	100.601380286	41.8159164121	-0.435686536857	1.0
SM	TC	100.601380286	41.8159164121	156.243482051	15.3129429151	-1.76705845279	1.0
MT	TC	87.2429279054	11.4710797824	156.243482051	15.3129429151	-5.10016685384	0.615
TL	TA	143.355880786	19.4900465417	193.354764655	6.09805844691	-3.46243927802	1.0
MN	TL	192.333613313	20.7271408006	143.355880786	19.4900465417	2.43451026129	0.75
MT	TA	87.2429279054	11.4710797824	193.354764655	6.09805844691	-11.5512410457	1.0
SM	TA	100.601380286	41.8159164121	193.354764655	6.09805844691	-3.10408467809	1.0
