Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
MT	TL	0.998940104167	0.000156813221014	0.998651041667	0.000405163477595	0.94094831471	1.0
MN	MT	0.99746875	0.000298991904329	0.998940104167	0.000156813221014	-6.16318814807	1.0
MN	TA	0.99746875	0.000298991904329	0.998416666667	0.000312586793502	-3.09913526037	1.0
TC	TA	0.997520833333	0.000118539652883	0.998416666667	0.000312586793502	-3.78961278346	1.0
MN	SM	0.99746875	0.000298991904329	0.9982421875	0.000490925133782	-1.90290806749	1.0
MN	TC	0.99746875	0.000298991904329	0.997520833333	0.000118539652883	-0.229009301688	1.0
TL	TC	0.998651041667	0.000405163477595	0.997520833333	0.000118539652883	3.78624378268	1.0
TL	SM	0.998651041667	0.000405163477595	0.9982421875	0.000490925133782	0.908379871177	1.0
MT	SM	0.998940104167	0.000156813221014	0.9982421875	0.000490925133782	1.91516532894	1.0
SM	TC	0.9982421875	0.000490925133782	0.997520833333	0.000118539652883	2.0199615382	1.0
MT	TC	0.998940104167	0.000156813221014	0.997520833333	0.000118539652883	10.2105768327	1.0
TL	TA	0.998651041667	0.000405163477595	0.998416666667	0.000312586793502	0.647716724741	1.0
MN	TL	0.99746875	0.000298991904329	0.998651041667	0.000405163477595	-3.32050955034	1.0
MT	TA	0.998940104167	0.000156813221014	0.998416666667	0.000312586793502	2.11672784361	1.0
SM	TA	0.9982421875	0.000490925133782	0.998416666667	0.000312586793502	-0.423974214387	1.0
