Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
MT	TL	76.3666666667	12.2009107128	125.433333333	8.59857869392	-4.64885633989	1.0
MN	MT	158.466666667	15.890528276	76.3666666667	12.2009107128	5.7954224606	1.0
MN	TA	158.466666667	15.890528276	173.633333333	4.81963576309	-1.29168615372	1.0
TC	TA	126.933333333	19.9306018195	173.633333333	4.81963576309	-3.22085136137	1.0
MN	SM	158.466666667	15.890528276	74.0	34.0526063613	3.17884487907	1.0
MN	TC	158.466666667	15.890528276	126.933333333	19.9306018195	1.74950754648	1.0
TL	TC	125.433333333	8.59857869392	126.933333333	19.9306018195	-0.097728222992	1.0
TL	SM	125.433333333	8.59857869392	74.0	34.0526063613	2.07103459669	1.0
MT	SM	76.3666666667	12.2009107128	74.0	34.0526063613	0.0925283498115	1.0
SM	TC	74.0	34.0526063613	126.933333333	19.9306018195	-1.89725886123	1.0
MT	TC	76.3666666667	12.2009107128	126.933333333	19.9306018195	-3.06017857459	1.0
TL	TA	125.433333333	8.59857869392	173.633333333	4.81963576309	-6.91525740111	1.0
MN	TL	158.466666667	15.890528276	125.433333333	8.59857869392	2.58560843916	1.0
MT	TA	76.3666666667	12.2009107128	173.633333333	4.81963576309	-10.4857575391	1.0
SM	TA	74.0	34.0526063613	173.633333333	4.81963576309	-4.09696608026	0.99
