Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
MT	TL	13.5666666667	2.00720922898	17.2666666667	5.18609251321	-0.940948314711	1.0
MN	MT	32.4	3.82709637541	13.5666666667	2.00720922898	6.16318814807	1.0
MN	TA	32.4	3.82709637541	20.2666666667	4.00111095683	3.09913526037	1.0
TC	TA	31.7333333333	1.5173075569	20.2666666667	4.00111095683	3.78961278346	1.0
MN	SM	32.4	3.82709637541	22.5	6.28384171241	1.90290806749	1.0
MN	TC	32.4	3.82709637541	31.7333333333	1.5173075569	0.229009301688	1.0
TL	TC	17.2666666667	5.18609251321	31.7333333333	1.5173075569	-3.78624378268	0.945
TL	SM	17.2666666667	5.18609251321	22.5	6.28384171241	-0.908379871177	1.0
MT	SM	13.5666666667	2.00720922898	22.5	6.28384171241	-1.91516532894	1.0
SM	TC	22.5	6.28384171241	31.7333333333	1.5173075569	-2.0199615382	1.0
MT	TC	13.5666666667	2.00720922898	31.7333333333	1.5173075569	-10.2105768327	1.0
TL	TA	17.2666666667	5.18609251321	20.2666666667	4.00111095683	-0.64771672474	1.0
MN	TL	32.4	3.82709637541	17.2666666667	5.18609251321	3.32050955034	1.0
MT	TA	13.5666666667	2.00720922898	20.2666666667	4.00111095683	-2.1167278436	1.0
SM	TA	22.5	6.28384171241	20.2666666667	4.00111095683	0.423974214387	1.0
