# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within groupA	All between groupA	-5.36155813582	3.03307588267e-07	7.67368198317e-05	0.001	0.253
All within groupA	MN vs. MN	-3.0387229408	0.00675606030506	1	0.008	1.000
All within groupA	MT vs. MT	1.27474283399	0.217769701134	1	0.160	1.000
All within groupA	TL vs. TL	0.24756977201	0.807122956991	1	0.821	1.000
All within groupA	SM vs. SM	0.684530078666	0.501905904698	1	0.525	1.000
All within groupA	TC vs. TC	1.01008492598	0.325145916035	1	0.320	1.000
All within groupA	TA vs. TA	-0.0464370819846	0.963446502152	1	0.963	1.000
All within groupA	MN vs. MT	-25.4451214646	2.16123609804e-19	5.46792732805e-17	0.001	0.253
All within groupA	MN vs. TL	-10.8394712198	6.15097167879e-11	1.55619583473e-08	0.001	0.253
All within groupA	MN vs. SM	-12.6865860122	2.15937540759e-12	5.46321978121e-10	0.001	0.253
All within groupA	MN vs. TC	-13.1267898227	1.02460424503e-12	2.59224873993e-10	0.001	0.253
All within groupA	MN vs. TA	-8.81496619929	3.8334329594e-09	9.69858538727e-07	0.001	0.253
All within groupA	MT vs. TL	-1.46351081181	0.155788512102	1	0.139	1.000
All within groupA	MT vs. SM	0.908143564119	0.372473972431	1	0.380	1.000
All within groupA	MT vs. TC	-4.59999563599	0.000105088333685	0.0265873484222	0.001	0.253
All within groupA	MT vs. TA	-16.0296199691	1.15974211877e-14	2.9341475605e-12	0.001	0.253
All within groupA	TL vs. SM	-2.02998507248	0.0531272123093	1	0.042	1.000
All within groupA	TL vs. TC	-5.39995803214	1.32888319799e-05	0.00336207449091	0.001	0.253
All within groupA	TL vs. TA	-10.2901880852	1.79446119202e-10	4.5399868158e-08	0.001	0.253
All within groupA	SM vs. TC	-2.04441080475	0.0515797109616	1	0.027	1.000
All within groupA	SM vs. TA	-9.69372998437	5.98441195255e-10	1.514056224e-07	0.001	0.253
All within groupA	TC vs. TA	-7.11301641019	1.86753936324e-07	4.724874589e-05	0.001	0.253
All between groupA	MN vs. MN	1.33540661683	0.183974059783	1	0.211	1.000
All between groupA	MT vs. MT	2.54140574759	0.0121626708345	1	0.008	1.000
All between groupA	TL vs. TL	2.26405311871	0.0251534696604	1	0.020	1.000
All between groupA	SM vs. SM	2.38581538604	0.018419273535	1	0.014	1.000
All between groupA	TC vs. TC	2.46973654402	0.0147594584418	1	0.016	1.000
All between groupA	TA vs. TA	2.18420956014	0.0306610051169	1	0.022	1.000
All between groupA	MN vs. MT	-3.93003583283	0.000132179475403	0.0334414072769	0.001	0.253
All between groupA	MN vs. TL	-2.40641265009	0.0173959785753	1	0.019	1.000
